year,plusieurs_DET airs_NOUN,plusieurs_DET terres_NOUN
1800,1.7292904752608251e-07,3.961647174755001e-07
1801,1.5477686554632442e-07,3.4765265133351875e-07
1802,8.503792514602537e-08,4.31903146136392e-07
1803,6.436119459607426e-08,3.7641546901667766e-07
1804,3.213406074564773e-08,2.669598884175173e-07
1805,5.970043259750923e-08,2.1037295239167975e-07
1806,7.492339904047185e-08,2.881669161070022e-07
1807,1.5088861937684328e-07,4.128084847287994e-07
1808,5.4385776326881796e-08,3.5803969211656295e-07
1809,9.26202483597649e-08,4.924686354268459e-07
1810,1.7082924808065059e-07,4.53984590365053e-07
1811,1.3287506828163487e-07,7.27052263727046e-07
1812,1.0135391326215881e-07,5.147712158759532e-07
1813,3.3358602280486593e-07,3.105800914227075e-07
1814,1.0069366851439554e-07,4.185080513252615e-07
1815,4.315557666778602e-08,3.0208904133743886e-07
1816,3.476405652236281e-08,4.3339194100155964e-07
1817,7.784366895524641e-08,4.001164548572689e-07
1818,9.65615398751396e-08,5.36452972044188e-07
1819,5.796588153916815e-08,4.6372705020392146e-07
1820,1.008650931666466e-07,3.2395494375947465e-07
1821,7.001656587846128e-08,1.5975611233898235e-07
1822,7.719724237631453e-08,2.3058916553964082e-07
1823,6.917880579493385e-08,3.478705767889778e-07
1824,7.747423769188799e-08,2.947389532437228e-07
1825,9.509878795554982e-08,3.275624738119376e-07
1826,5.6371100232155413e-08,5.108631196959479e-07
1827,5.438191230666689e-08,2.5255327429363206e-07
1828,7.979901983645732e-08,3.164443805880879e-07
1829,4.2865879568143583e-08,3.952234131077148e-07
1830,1.565525344915386e-07,2.880566614127389e-07
1831,8.886987146183856e-08,2.3230897649995086e-07
1832,6.088486359523415e-08,1.569476442142559e-07
1833,7.29768601104297e-08,2.8032379972842136e-07
1834,4.480574888887645e-08,2.1096039848345072e-07
1835,8.168134968400409e-08,2.465566808496078e-07
1836,7.056787687531596e-08,2.641254637225643e-07
1837,1.0506415115685286e-07,2.4213461080613286e-07
1838,6.249040174211018e-08,4.721497237625272e-07
1839,8.040196608494199e-08,1.9436301290642888e-07
1840,6.624476167615967e-08,4.1020794006030314e-07
1841,6.741575875324202e-08,3.1396483546330956e-07
1842,4.494537408916699e-08,3.394382184218614e-07
1843,4.961805233349992e-08,3.0656867266998233e-07
1844,6.421616793872431e-08,3.062617051075023e-07
1845,3.5713458523822794e-08,2.72315117177957e-07
1846,4.156696142842975e-08,2.447181621789696e-07
1847,2.9662729161827883e-08,3.554134346828164e-07
1848,4.505324158188273e-08,2.751465917327778e-07
1849,5.195237151589538e-08,2.589239269656929e-07
1850,2.2403686905647646e-08,2.668075511635948e-07
1851,2.3217978650791338e-08,2.1799103144815035e-07
1852,3.841221940525941e-08,2.2917120556797954e-07
1853,5.076142151061447e-08,2.5918184687334644e-07
1854,4.0006614743237634e-08,2.82644159632639e-07
1855,4.086341576226005e-08,2.1068540334567842e-07
1856,5.539592551340178e-08,4.084802296411283e-07
