year,deux_DET humeurs_NOUN,deux_DET tumeurs_NOUN
1800,9.432493897065797e-09,6.288328791015374e-08
1801,1.1905912700171939e-08,6.905429472681135e-08
1802,2.2378401354217203e-09,6.713520406265161e-09
1803,1.1702034896643454e-08,6.436119548425268e-08
1804,4.943701892301533e-09,6.426812504400914e-08
1805,2.842877755426798e-08,3.1271653710973624e-08
1806,2.881669125542885e-09,2.881669125542885e-08
1807,8.540865792383556e-09,7.68677872464707e-08
1808,0.0,3.6257183921861724e-08
1809,0.0,3.840352036377226e-08
1810,0.0,1.0296557917399696e-07
1811,3.008491944456182e-08,1.0028307073639553e-08
1812,0.0,2.6138641828765685e-07
1813,2.8757416448144113e-09,1.6391727797326894e-07
1814,9.440030979135372e-09,4.720015578385528e-08
1815,2.1577788444915313e-08,8.631115377966125e-08
1816,9.270415546325239e-09,2.3407799965013965e-07
1817,2.80237220096069e-08,1.4790297275801834e-07
1818,1.668964877410417e-08,1.9908365800347383e-07
1819,0.0,8.798392825415391e-08
1820,1.6613073583471305e-08,1.0798498095709874e-07
1821,0.0,7.691961201317099e-08
1822,1.0025615893027862e-09,7.819980396561732e-08
1823,0.0,5.336650943377208e-08
1824,8.421112696055388e-10,1.1368502139674774e-07
1825,3.522177216552791e-09,6.692136711450303e-08
1826,2.642395191543301e-09,7.662946188702335e-08
1827,1.8434546111834038e-09,7.28164568641887e-08
1828,0.0,1.2382606451311062e-07
1829,3.429270423183084e-09,9.859152516611402e-08
1830,7.305785310052215e-09,1.1167414593060698e-07
1831,1.5591206103948707e-09,9.04289956249471e-08
1832,2.705993873419743e-09,7.982681737850328e-08
1833,1.853380560135065e-08,1.5290389621114286e-07
1834,5.600718555598405e-09,9.894602470694736e-08
1835,1.663879345414898e-08,1.293288036663398e-07
1836,1.68018754465038e-08,1.2971047480547782e-07
1837,1.3915781860163179e-09,2.0247462728661958e-07
1838,8.2058102535143e-09,1.1298769853063106e-07
1839,3.4957374772659477e-09,1.6429966742670388e-07
1840,1.4013314952876499e-08,1.1911317709945024e-07
1841,8.988767952189392e-09,1.6372398548014644e-07
1842,1.8783142152756227e-08,1.4221522315338575e-07
1843,4.7255288571079745e-09,1.3290549216726788e-07
1844,9.879410178825765e-09,1.4215374077863885e-07
1845,2.2320911785556063e-09,1.1718478676314703e-07
1846,1.0538101946622191e-08,1.0596647115335145e-07
1847,0.0,1.2080820699367223e-07
1848,6.43617736884039e-09,1.029788361250894e-07
1849,8.379414939696517e-10,8.29562072368617e-08
1850,2.0366988096043315e-09,1.289909192792038e-07
1851,1.5478653025979838e-08,1.5285169929768472e-07
1852,3.2552727180501506e-09,9.896029018463537e-08
1853,5.971931837933653e-09,1.492982903972262e-07
1854,5.195664454227256e-10,9.663936051396149e-08
1855,8.491099379170919e-09,1.3798036135881375e-07
1856,5.177189232874468e-10,1.4237270162809068e-07
1857,4.393358121745905e-09,1.1813251887815568e-07
1858,3.9149408159744326e-09,1.0129909533418413e-07
1859,1.5276520048956854e-09,1.5683893295204143e-07
1860,2.288591982591015e-09,1.725598330892808e-07
1861,4.715963619617014e-09,9.290448677035101e-08
1862,2.2589932147099034e-09,8.990792865759545e-08
1863,0.0,7.891500919399164e-08
1864,0.0,1.1603241567570421e-07
1865,0.0,8.566456966008218e-08
1866,3.4059290943133647e-09,1.4353558341895223e-07
1867,1.067618526917613e-08,1.0142376360988692e-07
1868,5.9278488784286765e-09,1.3732850590031376e-07
1869,3.4184632902167778e-09,1.55784260158498e-07
1870,1.7202146374017957e-09,7.454263784012483e-08
1871,8.496941816815706e-09,9.346636020701737e-08
1872,3.0236697590169115e-09,7.559174042270911e-08
1873,5.9860045809045914e-09,1.4366410655552997e-07
1874,6.572069999322139e-09,2.0194179395360834e-07
1875,0.0,1.4532679415424354e-07
1876,1.209202959984168e-09,1.4873195852693755e-07
1877,0.0,1.1318213566369195e-07
1878,5.435179861734696e-09,9.481369511732396e-08
1879,3.665595160740054e-09,1.1302251756717396e-07
1880,6.417846254436199e-09,1.1167052749172512e-07
1881,0.0,1.2759689127506135e-07
1882,0.0,9.849970350472859e-08
1883,0.0,1.0932456229184595e-07
1884,3.9610181801208455e-09,1.260924138435371e-07
