year,les_DET humeurs_NOUN,les_DET tumeurs_NOUN
1800,4.992933057224036e-06,1.3079724610065568e-06
1801,7.674551369518667e-06,2.5478653356003633e-06
1802,6.469595888347612e-06,2.810727153246262e-06
1803,6.931505481588829e-06,3.812913121237216e-06
1804,4.8052780243779125e-06,2.5237598038074793e-06
1805,6.746148912384342e-06,3.02766486015571e-06
1806,4.2475804349351165e-06,1.0806259282958308e-06
1807,3.4106521411558788e-06,1.1786394082946572e-06
1808,2.6331780560440166e-06,1.026531528225405e-06
1809,2.5843308861794867e-06,1.8185195642672625e-06
1810,3.0234436962928157e-06,1.734033915568034e-06
1811,2.4343716376051816e-06,1.398948839437253e-06
1812,3.328675788338842e-06,6.134578768524079e-06
1813,3.9627718990686844e-06,3.045410380764224e-06
1814,3.983693318332371e-06,2.78480922588642e-06
1815,8.604143118873253e-06,3.64664623475619e-06
1816,4.389541828686561e-06,3.4856763022617088e-06
1817,3.64152695908615e-06,4.1724208017512865e-06
1818,7.47577053061832e-06,2.938570304422683e-06
1819,3.0815076854651124e-06,2.5059893289380852e-06
1820,4.016803970330329e-06,2.2759910081049384e-06
1821,3.3489613784354333e-06,3.2227342785517976e-06
1822,2.464296315451975e-06,1.7925801785168005e-06
1823,2.379750995373797e-06,1.550593594856764e-06
1824,2.8033883268108184e-06,1.6884330875654996e-06
1825,1.6254848240748743e-06,1.402707098918654e-06
1826,1.313270413305645e-06,1.8012327984706644e-06
1827,1.2867313401443425e-06,1.1097596654963127e-06
1828,1.4794921767702363e-06,2.6865670292863797e-06
1829,1.9701158606721947e-06,1.9083890094862e-06
1830,1.348439148785019e-06,2.1593812959963543e-06
1831,1.708796148136571e-06,2.146909054090429e-06
1832,1.5870653733429663e-06,2.926532260971726e-06
1833,1.396985584989352e-06,2.5982077715980267e-06
1834,1.4431184212071457e-06,2.3635031425328634e-06
1835,1.8113595103841362e-06,2.2129594867692504e-06
1836,1.7016938755887168e-06,1.8898748805895593e-06
1837,2.073451405237847e-06,3.4580718306642666e-06
1838,1.7263763325559012e-06,1.943514661206791e-06
1839,1.1920465468051589e-06,3.4768606269608426e-06
1840,1.446556261441856e-06,2.669536570465425e-06
1841,2.0321035378856322e-06,3.62439971013373e-06
1842,1.4946014026406829e-06,2.626285663609451e-06
1843,1.5641500326069036e-06,2.3485877704843006e-06
1844,1.5466765610483435e-06,3.8140011611176305e-06
1845,1.3230720163903698e-06,3.92792236425521e-06
1846,1.4928978941952664e-06,3.070685977490939e-06
1847,7.561299497638174e-07,1.8487970123715058e-06
1848,1.238964117078467e-06,2.3266781568054284e-06
1849,9.401703362499347e-07,2.8699495260298136e-06
1850,1.1860376076811008e-06,3.2695803895421705e-06
1851,1.0828607699409076e-06,4.043798071506899e-06
1852,9.524928081816597e-07,3.054096936239148e-06
1853,2.59181841499867e-06,4.253209965554561e-06
1854,1.142526606656702e-06,3.426540814643886e-06
1855,1.5618315920562509e-06,4.069890053415293e-06
1856,1.6007869305667555e-06,2.7097408690224256e-06
1857,1.015842068241568e-06,2.782460171601997e-06
1858,1.140715880865173e-06,2.6093079839029087e-06
1859,1.0958356924106738e-06,2.8001861096527136e-06
