year,mais_CONJ elle_PRON,mais_CONJ telle_ADJ
1800,5.905998477828689e-05,6.319770591289853e-07
1801,5.576967623710516e-05,7.524536727032682e-07
1802,6.0634277815552196e-05,4.923248297927785e-07
1803,6.580249601029209e-05,6.962710727975718e-07
1804,6.598111804123619e-05,6.42681243334664e-07
1805,6.279632725636475e-05,7.050336705560767e-07
1806,5.850652996741701e-05,6.1091387237866e-07
1807,6.102448151068529e-05,8.59780470818805e-07
1808,5.914679832130787e-05,5.347934575183899e-07
1809,6.546670601892401e-05,4.743964154840796e-07
1810,6.074266866562539e-05,5.148278887645574e-07
1811,5.2854192745144246e-05,3.560049037787394e-07
1812,6.155916753414203e-05,6.161250922787076e-07
1813,6.139420975159737e-05,5.895270476230507e-07
1814,5.0570246912684524e-05,5.821352857537931e-07
1815,5.723508320443216e-05,7.714059222507785e-07
1816,6.033881663825014e-05,7.462684550318954e-07
1817,6.110416870797053e-05,7.083774136162901e-07
1818,5.821349441248458e-05,7.56994751327511e-07
1819,5.315264252203633e-05,7.918553137642448e-07
1820,5.607861612588749e-05,7.914943012110598e-07
1821,5.43003143320675e-05,7.100271659510327e-07
1822,5.312072516971966e-05,5.34365327098385e-07
1823,5.3129324442124926e-05,7.678847850911552e-07
1824,5.177047341931029e-05,7.882161696670664e-07
1825,5.5567627896380145e-05,9.096022495214129e-07
1826,5.148795162313036e-05,7.196123306130175e-07
1827,5.207206322666025e-05,7.52129494685505e-07
1828,5.438991365736001e-05,8.998027851703227e-07
1829,5.3566917131320224e-05,8.55602962701596e-07
1830,5.488523129315581e-05,9.727131100589759e-07
1831,5.3183162890491076e-05,7.062816393954563e-07
1832,5.7172237575287e-05,8.036801659727644e-07
1833,5.5090578371164156e-05,9.602828185961698e-07
1834,5.2330315611470724e-05,7.346276049702283e-07
1835,5.228362579146051e-05,7.041234937332774e-07
1836,5.082836105430033e-05,6.747632994574815e-07
1837,5.2843789489998017e-05,6.874396376588265e-07
1838,5.253612198430346e-05,7.132742894100375e-07
1839,5.171804104975308e-05,6.453131504713383e-07
1840,5.1375360271777026e-05,6.541670245496789e-07
1841,4.968284702044912e-05,6.696632226521615e-07
1842,5.288058173391619e-05,7.043678351692506e-07
1843,5.190521051190444e-05,7.484056538942241e-07
1844,5.450196385936579e-05,6.954007290005393e-07
1845,5.43296573596308e-05,6.841359549980552e-07
1846,5.296391782394494e-05,6.72096774678721e-07
1847,4.999086695534061e-05,6.471868516655377e-07
1848,5.030355259805219e-05,5.856921490021705e-07
1849,5.1663280828506686e-05,7.499576497593807e-07
1850,5.315919725035201e-05,6.897620039580943e-07
1851,5.124723884364357e-05,5.798045492610981e-07
1852,5.08551738676033e-05,6.256634037526965e-07
1853,5.210749486650457e-05,5.565840694998769e-07
1854,5.066915991847054e-05,6.286753944095835e-07
1855,5.5802443966967985e-05,6.24626494527547e-07
1856,5.4574304613197455e-05,5.430871681255667e-07
1857,5.366291816244484e-05,6.336198907774815e-07
1858,5.555545567403897e-05,6.376459964485548e-07
1859,5.8010548855236266e-05,5.779616856216307e-07
1860,5.726331573896459e-05,5.886258520604315e-07
1861,5.491173715199693e-05,6.055297490092926e-07
1862,5.569005452343845e-05,4.978820982159959e-07
1863,5.452427922136849e-05,6.063469868422544e-07
1864,5.410131370808813e-05,5.739289292705507e-07
1865,5.444359840112156e-05,5.497594202097389e-07
1866,5.381222081268788e-05,4.914269169375984e-07
1867,5.522790752365836e-05,4.920750882320135e-07
1868,5.3539838972938014e-05,5.0139720997322e-07
1869,5.774517103418475e-05,5.210714846271003e-07
1870,5.5339306072710315e-05,4.862473446110016e-07
1871,5.2210522426321404e-05,4.2166072944382904e-07
1872,5.525453843802097e-05,5.230948545431602e-07
1873,5.3620830385625595e-05,4.4715454805555055e-07
1874,5.3087987453181995e-05,3.5668416842327133e-07
1875,5.400034388003405e-05,4.211043886925836e-07
1876,5.307615128913312e-05,4.147566272649783e-07
1877,5.237920686340658e-05,5.325126579691641e-07
1878,5.0243405894434545e-05,4.535355628831894e-07
1879,5.221090532359085e-05,3.8122189494060876e-07
1880,5.0935880153701873e-05,3.741604359674966e-07
1881,5.0651083711272804e-05,3.62570403922291e-07
1882,5.2175558266753796e-05,3.600563331929152e-07
1883,5.013005193177378e-05,3.5957037880507414e-07
1884,5.143118141859304e-05,4.1854758592307917e-07
1885,5.1103577789035626e-05,3.2357091583889996e-07
1886,4.991625291950186e-05,3.5945794252256746e-07
1887,5.182464337849524e-05,3.734544833378095e-07
1888,5.037238042859826e-05,3.34784445499281e-07
1889,4.98278873237723e-05,3.652574775969697e-07
1890,4.992607227904955e-05,3.1067791894656693e-07
1891,5.109064841235522e-05,3.371962407072715e-07
1892,4.759806597576244e-05,3.196941236183193e-07
1893,5.043250530434307e-05,3.1900597718959034e-07
1894,4.951497430738527e-05,2.8230896020886576e-07
1895,4.897286453342531e-05,3.1236609743245936e-07
1896,4.9195372412214056e-05,2.7892947684904357e-07
1897,4.851846006204141e-05,2.563753866979823e-07
1898,4.985463237971999e-05,2.970636359123091e-07
1899,4.916891430184478e-05,2.642182437284646e-07
1900,4.904143770545488e-05,3.182115619893011e-07
1901,4.875839476881083e-05,2.615529766103464e-07
1902,4.5495251470129006e-05,2.4993344283075203e-07
1903,4.886929218628211e-05,2.538103558435978e-07
1904,4.8288857215084136e-05,2.902297637774609e-07
1905,4.756362068292219e-05,2.730041614995571e-07
1906,4.924990935251117e-05,2.566948040794159e-07
1907,4.863278354605427e-05,2.915992212138008e-07
1908,5.05219868500717e-05,2.406580676961312e-07
1909,5.0527084567875136e-05,2.530452434257313e-07
1910,5.1066031119262334e-05,2.559848155669897e-07
1911,4.8284521653840784e-05,2.452692413612567e-07
1912,4.8995126235240605e-05,2.5161504879633867e-07
1913,5.035347930970602e-05,2.5030112027479845e-07
1914,4.947621073370101e-05,2.9197801865166184e-07
1915,4.5483165195037145e-05,2.980532798346758e-07
1916,4.9212843805435114e-05,2.6150159726512356e-07
1917,4.8789623178890906e-05,2.1494192026239034e-07
1918,4.707461630459875e-05,2.3087616796146904e-07
1919,4.7582475417584646e-05,2.5137426717947164e-07
1920,5.057796624896582e-05,2.2186638659604796e-07
1921,5.057232283434132e-05,2.5974522799288025e-07
1922,5.090185095468769e-05,2.7224582765938976e-07
1923,4.942997929902049e-05,2.7919944045606826e-07
1924,4.948836794937961e-05,2.745916063418008e-07
1925,4.990533307136502e-05,2.617566252638426e-07
1926,5.0770661800925154e-05,2.42985819909336e-07
1927,5.5435060858144425e-05,2.486277068669551e-07
1928,5.0279150855203625e-05,2.1823738904913625e-07
1929,4.8583312491246033e-05,2.3060640330641036e-07
1930,4.8641137254890054e-05,2.1427351271086081e-07
1931,4.5758292799291667e-05,2.3152874462084583e-07
1932,4.676763001043582e-05,2.1590287246908701e-07
