year,aux_ADP unes_PRON,aux_ADP thunes_NOUN
1800,3.552905738501977e-07,0.0
1801,4.690929671369304e-07,0.0
1802,4.095247447821748e-07,0.0
1803,6.338602567268481e-07,0.0
1804,5.017857496181222e-07,0.0
1805,4.0368862563866514e-07,0.0
1806,4.034336722469334e-07,0.0
1807,4.156554567202875e-07,0.0
1808,4.1015938911925787e-07,0.0
1809,3.4337264054329353e-07,0.0
1810,4.3526358384227137e-07,0.0
1811,3.0586335242333007e-07,0.0
1812,2.5871921138787e-07,0.0
1813,3.105800914227075e-07,0.0
1814,2.8005426777610865e-07,0.0
1815,3.991890764609707e-07,0.0
1816,4.0094547415492343e-07,0.0
1817,3.6430837013767814e-07,0.0
1818,4.077042725647573e-07,0.0
1819,3.61251650815575e-07,0.0
1820,3.4175465124519633e-07,0.0
1821,4.0826561065188116e-07,0.0
1822,3.920015814173894e-07,0.0
1823,4.48673983299841e-07,0.0
1824,3.4779195523526596e-07,0.0
1825,3.0642941606373597e-07,0.0
1826,3.073986665214079e-07,0.0
1827,2.949527289075604e-07,0.0
1828,3.3203731186759455e-07,0.0
1829,2.2804648303065278e-07,0.0
1830,2.9953719504760556e-07,0.0
1831,1.9644919801997673e-07,0.0
1832,4.667839537120244e-07,0.0
1833,3.1391633337207736e-07,0.0
1834,2.464316164463298e-07,0.0
1835,3.335321849817774e-07,2.2689263801112247e-09
1836,2.607650997354938e-07,2.016224964762614e-09
1837,3.06147194706341e-07,0.0
1838,3.3517578579278506e-07,6.312161904276081e-10
1839,3.2160785501389455e-07,0.0
1840,2.9746446550404926e-07,0.0
1841,2.953452327147943e-07,0.0
1842,2.824179450300335e-07,0.0
1843,3.6859125618349253e-07,0.0
1844,2.980288664744535e-07,0.0
1845,4.2130719979383e-07,0.0
1846,2.8277240904373e-07,0.0
1847,2.901554241319104e-07,0.0
1848,2.78364664652031e-07,0.0
1849,2.4719274449580553e-07,0.0
1850,3.3605530980196363e-07,0.0
1851,3.2376183156657135e-07,0.0
1852,3.724032104912567e-07,0.0
1853,2.705285035986549e-07,0.0
1854,3.0134853012953045e-07,0.0
1855,2.706537785002183e-07,5.306937111981824e-10
1856,2.795682103595709e-07,5.177189232874468e-10
1857,2.670185548225845e-07,0.0
1858,3.3472745109008883e-07,0.0
1859,3.152055167987555e-07,0.0
1860,3.153679708489676e-07,0.0
1861,3.065376521504959e-07,0.0
1862,3.4924033442962354e-07,4.517986262886353e-10
