year,étiez_VERB au_ADP,etiez_VERB au_ADP
1800,1.1947824418712116e-07,0.0
1801,5.714838380299625e-08,0.0
1802,7.608656460433849e-08,0.0
1803,5.655983770225248e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,6.538618890772341e-08,0.0
1806,1.4696512096179504e-07,0.0
1807,4.839823830593559e-08,0.0
1808,7.251436784372345e-08,0.0
1809,6.09938268780752e-08,2.259030518203531e-09
1810,1.2402671245581587e-07,0.0
1811,7.019814773912003e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,5.176335093892703e-08,2.8757416448144113e-09
1814,8.496028414128887e-08,3.1466771410748606e-09
1815,1.4565007688815967e-07,0.0
1816,7.879853569647821e-08,2.3176038865813098e-09
1817,9.808302792180257e-08,0.0
1818,1.0490636270787945e-07,0.0
1819,7.14222423425781e-08,0.0
1820,1.1391821885808895e-07,0.0
1821,1.4003313708599308e-07,0.0
1822,1.4837911521681235e-07,1.0025615893027862e-09
1823,1.0080340473450633e-07,0.0
1824,1.0863235644364977e-07,0.0
1825,9.862095851076447e-08,0.0
1826,8.896063974361823e-08,0.0
1827,9.585964022562621e-08,0.0
1828,1.2932945026022935e-07,0.0
1829,9.944884027390799e-08,0.0
1830,1.0123730476152559e-07,0.0
1831,9.510635834431014e-08,0.0
1832,8.659180394943178e-08,0.0
1833,8.108539617524002e-08,0.0
1834,8.307732457524253e-08,0.0
1835,1.4067343556689593e-07,7.563087933704082e-10
1836,1.0484369994401277e-07,0.0
1837,6.95789097449051e-08,0.0
1838,9.973215497893761e-08,0.0
1839,7.550793412747225e-08,0.0
1840,1.1274349276391149e-07,0.0
1841,6.934192242624704e-08,0.0
1842,8.049917710195587e-08,0.0
1843,7.619915010081968e-08,0.0
1844,5.872760411307354e-08,0.0
1845,7.14269177137794e-08,0.0
1846,8.723206690319785e-08,0.0
1847,5.177494699637464e-08,5.393223645455691e-10
1848,6.838438793010937e-08,8.045221711050488e-10
1849,8.128032646936845e-08,0.0
1850,9.911934029105396e-08,6.788996032014438e-10
1851,5.93348374877678e-08,6.449438760824933e-10
1852,8.724131106419009e-08,0.0
1853,7.823230419035099e-08,0.0
1854,5.0397943596180994e-08,0.0
1855,8.331890910540096e-08,0.0
1856,8.387046790403474e-08,5.177189232874468e-10
1857,6.980557998303993e-08,0.0
1858,9.39585760306727e-08,4.893676019968041e-10
1859,7.281808223069675e-08,0.0
1860,8.37624654081992e-08,0.0
1861,1.0941035810674293e-07,0.0
1862,5.647482836934614e-08,0.0
1863,7.392038980924553e-08,0.0
1864,1.0260718141807956e-07,0.0
1865,8.990073041559299e-08,0.0
1866,5.741423336758089e-08,0.0
1867,6.26012663929032e-08,0.0
1868,7.360412013213136e-08,0.0
1869,9.620532637200085e-08,0.0
1870,9.289158953151855e-08,0.0
1871,5.8416475212652585e-08,0.0
1872,1.015952975080836e-07,6.047339295989218e-10
1873,9.996627170494321e-08,2.3944017879529156e-09
1874,8.364452952491774e-08,0.0
1875,1.0985331755364314e-07,0.0
1876,8.222580305528027e-08,0.0
1877,6.679601227688181e-08,0.0
1878,6.03908887342186e-08,0.0
1879,8.797428563411813e-08,0.0
1880,4.55667077403632e-08,0.0
1881,9.343160201069622e-08,2.091752326904839e-09
1882,5.657077295495583e-08,0.0
1883,7.267239965358385e-08,0.0
1884,5.743476449993068e-08,0.0
1885,4.576401479994274e-08,0.0
1886,7.615087582735214e-08,0.0
1887,5.941321390423582e-08,0.0
1888,5.960177773545183e-08,0.0
1889,8.08202642588185e-08,0.0
1890,5.636772471007134e-08,0.0
1891,4.9081492647928826e-08,0.0
1892,5.5162907131034444e-08,0.0
1893,7.636436549773862e-08,0.0
1894,5.230277722034771e-08,0.0
1895,5.2963805785566365e-08,0.0
1896,5.7201180680976904e-08,0.0
1897,8.448734689636694e-08,0.0
1898,5.6583548513344795e-08,0.0
