year,serons_VERB en_PRON,serons_VERB tant_ADV
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,2.2378401354217203e-09,1.1189200677108602e-08
1803,5.851017448321727e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,0.0,2.842877711017877e-09
1806,3.458002950651462e-08,0.0
1807,0.0,0.0
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,0.0,0.0
1810,7.020380277111826e-09,1.4040760554223652e-08
1811,5.0141535368197765e-09,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,7.152706427149269e-09,0.0
1819,1.8631890696951814e-08,5.175524897538253e-09
1820,9.493184904840746e-09,3.5599443393152796e-09
1821,0.0,9.86148829262845e-10
1822,7.017931125119503e-09,0.0
1823,4.941343334508019e-09,2.174191138237802e-08
1824,2.189489300974401e-08,8.421112696055388e-10
1825,2.1133063299316746e-08,1.7610886970942374e-08
1826,1.7615968683770689e-09,0.0
1827,2.7651818612639545e-09,0.0
1828,1.8344602503717056e-09,0.0
1829,1.714635211591542e-09,0.0
1830,0.0,6.262101504006523e-09
1831,0.0,0.0
1832,0.0,0.0
1833,1.1583628500844156e-09,0.0
1834,1.3068342852307069e-08,4.667265685043276e-09
1835,1.5126175867408165e-09,2.117664621437143e-08
1836,8.064899859050456e-09,6.72075017860152e-09
1837,2.0873671680021744e-09,1.3915781860163179e-09
1838,1.1361890983607736e-08,8.2058102535143e-09
1839,8.38977065598101e-09,6.9914749545318955e-09
1840,8.917564464638872e-09,7.64362617644565e-09
1841,3.2102742686390684e-09,0.0
1842,8.049918065466954e-09,0.0
1843,2.3627644285539873e-09,7.678984559333912e-09
1844,1.975882035765153e-08,0.0
1845,2.2320911785556063e-09,1.674068439427856e-09
1846,2.9272506640865004e-09,0.0
1847,7.550513103637968e-09,7.011190739092399e-09
1848,1.045878850192139e-08,0.0
