year,quelles_DET erreurs_NOUN,quelles_DET terreurs_NOUN
1800,1.351990706055517e-07,6.288328968651058e-09
1801,9.28661187948876e-08,4.7623651688866175e-09
1802,7.832440473976021e-08,1.3427040812530322e-08
1803,1.0336797551246946e-07,3.900678446910888e-09
1804,1.8044511373993544e-07,2.2246657849223084e-08
1805,1.36458125687966e-07,2.842877711017877e-09
1806,9.221341201737232e-08,2.881669125542885e-09
1807,9.394951661079176e-08,2.8469551160981155e-09
1808,9.517511045942229e-08,1.3596443970698147e-08
1809,9.036122428085491e-08,2.259030518203531e-09
1810,9.126494093791848e-08,7.020380277111826e-09
1811,1.1783260855935396e-07,2.5070767684098882e-09
1812,5.601137331723294e-08,0.0
1813,9.777521370324394e-08,5.751483289628823e-09
1814,3.776012391654149e-08,9.440030979135372e-09
1815,1.1328339155625144e-07,2.4275012000529728e-08
1816,7.416332259424507e-08,2.5493642752394408e-08
1817,1.5724421909002473e-07,3.113746815941454e-09
1818,1.287487187973113e-07,3.5763532135746345e-09
1819,9.522966148978185e-08,2.070210003424222e-09
1820,5.933240565525466e-08,2.4919611263385377e-08
1821,1.173517074626318e-07,1.3806083387635226e-08
1822,9.42407893944619e-08,8.02049271442229e-09
1823,8.004976204123437e-08,1.482403055863557e-08
1824,1.2042190622452154e-07,1.6842225392110777e-09
1825,8.101007864524945e-08,1.1447076175841175e-08
1826,6.165588728457294e-08,1.3211976401805714e-08
1827,9.309445481164857e-08,4.608636583469661e-09
1828,8.071625234862267e-08,5.503380862137419e-09
1829,9.344761570106996e-08,8.57317605795771e-10
1830,1.586398981068271e-07,2.5048405349892278e-08
1831,1.1381580833358385e-07,4.677361609140007e-09
1832,1.3394669151622907e-07,1.8941957335982806e-08
1833,7.876867158529421e-08,1.737544208513242e-08
1834,7.28093425550469e-08,1.4001796166951408e-08
1835,7.260564416355919e-08,3.479020449503878e-08
1836,9.745087758972204e-08,4.368487438455304e-08
1837,1.231546720159571e-07,9.74104708006962e-09
1838,8.963269948480956e-08,2.7773512600859362e-08
1839,6.502072036340678e-08,1.3283802502428443e-08
1840,7.834716908572403e-08,1.7835127485987812e-08
1841,8.089891245788294e-08,2.247191943638427e-08
1842,8.921992300514603e-08,2.6162234156856812e-08
1843,1.210916773519699e-07,2.3627644951673688e-08
1844,9.769639097712002e-08,3.402908110849978e-08
1845,1.4229581390967638e-07,2.7343116215661212e-08
1846,1.7036598620734367e-07,2.0490755092694712e-08
1847,1.407631309291446e-07,1.4022381478184798e-08
1848,1.1585119352730544e-07,2.494018680465615e-08
1849,9.049767868418712e-08,1.8434713311421547e-08
1850,6.313766309773428e-08,1.0862393651223101e-08
