year,deux_DET toutes_ADJ
1800,1.5720822421627645e-08
1801,1.904946067554647e-08
1802,8.951360541686881e-09
1803,7.801356893821776e-09
1804,2.4718509905596875e-08
1805,1.7057266488151868e-08
1806,2.0171682990621775e-08
1807,2.562259648897225e-08
1808,1.8128591960930862e-08
1809,3.162642658871562e-08
1810,2.3401266702194334e-08
1811,4.763445815569867e-08
1812,1.0668832928217853e-08
1813,1.7254450312975678e-08
1814,4.090680150170556e-08
1815,1.1598061178119679e-07
1816,4.6352077731626196e-08
1817,1.2454986930698908e-08
1818,3.2187177367859476e-08
1819,2.070209959015301e-08
1820,2.4919611263385377e-08
1821,2.3667572568442097e-08
1822,1.9048670196752937e-08
1823,5.040170203418626e-08
1824,3.2842340402794434e-08
1825,3.6982861217893515e-08
1826,3.082794464148719e-08
1827,1.751281847317543e-08
1828,3.393751413227619e-08
1829,8.573175946935407e-09
1830,4.174734336004349e-09
1831,2.6505050598757407e-08
1832,1.8941957335982806e-08
1833,2.4325620628928846e-08
1834,2.333632664885954e-08
1835,1.5126175867408165e-08
1836,3.427582484505365e-08
1837,1.2524203785169163e-08
1838,3.787297275792412e-08
1839,1.9576131049525713e-08
1840,3.057450503884951e-08
1841,3.274479842829692e-08
1842,1.609983613093391e-08
1843,2.8353173364692452e-08
1844,2.2503100771675832e-08
1845,1.1160456225844939e-08
1846,2.1661654248106288e-08
1847,1.7258315665458213e-08
1848,2.7353753817571658e-08
1849,4.524883934209356e-08
1850,1.765138879505912e-08
1851,1.289887774369447e-08
1852,1.8229528109259263e-08
1853,2.5679307125159312e-08
1854,8.832629738719788e-09
1855,2.0697054736729115e-08
1856,8.801221973442352e-09
1857,1.9526035899275485e-08
1858,1.761723295023998e-08
1859,4.1755821911237945e-08
1860,2.5174511364411956e-08
1861,4.2443672521041975e-08
1862,1.8975542970256498e-08
1863,3.995696706837748e-08
1864,3.452204211384924e-08
1865,3.435996331901947e-08
1866,1.1677470823645564e-08
1867,1.358787216076962e-08
1868,3.556709482488429e-08
1869,2.0510780629479086e-08
1870,1.9495765446464475e-08
1871,1.8056001360733376e-08
1872,2.9631962439324866e-08
1873,3.172582230259735e-08
1874,3.047050717297495e-08
1875,1.5448122836492217e-08
1876,2.9625473185745932e-08
1877,3.401648807077606e-08
1878,3.683843963209199e-08
1879,2.260450426838645e-08
1880,1.9895322722618403e-08
1881,1.7431268650724974e-08
1882,2.861815628918407e-08
1883,2.780509089639338e-08
1884,4.159069089126888e-08
1885,2.964992351639495e-08
1886,2.5813855941692054e-08
1887,2.6115697659978565e-08
1888,2.4094336747992884e-08
1889,1.942192379145169e-08
1890,2.81838614113461e-08
1891,4.716922796799139e-08
1892,2.695460366020086e-08
1893,2.7712873829077722e-08
1894,3.465846631911518e-08
1895,1.625025980445116e-08
1896,2.94851449922362e-08
1897,2.155884004650943e-08
1898,2.7160103610590625e-08
1899,2.819064981451902e-08
1900,2.024510803444457e-08
1901,2.7943693914345147e-08
1902,2.6515532214332893e-08
1903,3.672149784250678e-08
1904,2.741058935384899e-08
1905,3.664139019976531e-08
1906,2.6749759185484834e-08
1907,2.8285639330771772e-08
1908,2.455694603220593e-08
1909,2.8605114443802648e-08
1910,4.221879090771097e-08
1911,2.0217422180834888e-08
1912,3.177746898952449e-08
1913,1.7499865334613673e-08
1914,5.6252648761301316e-08
1915,1.1780761921542648e-08
1916,3.5159878564172686e-08
1917,3.61891991929042e-08
1918,3.6756403254400993e-08
1919,2.9465113904336704e-08
1920,4.316171953178127e-08
1921,3.029098993856394e-08
1922,3.098732870299159e-08
1923,5.201814445854325e-08
1924,5.672314884463958e-08
1925,2.0896537833436923e-08
1926,4.569916645102978e-08
1927,2.675813981500852e-08
1928,2.7422499271345657e-08
1929,2.1166771446701205e-08
1930,2.2057568216382606e-08
1931,2.167017854048936e-08
1932,2.1919073112108833e-08
1933,2.1794258175944492e-08
1934,1.5576054224197833e-08
1935,1.9149254626427137e-08
1936,3.516167268458048e-08
1937,1.888667711114067e-08
1938,1.4261735792331365e-08
1939,1.988226472349197e-08
1940,3.550096194793184e-08
1941,1.1806010391524069e-08
1942,2.4273694165799498e-08
1943,3.774205858952939e-08
1944,1.6065930807940276e-08
1945,1.3071024262956144e-08
1946,2.9234318077442367e-08
1947,1.6689218895749036e-08
1948,3.479004262452179e-08
1949,3.141442572740516e-08
1950,1.2762433998503298e-08
1951,1.4925962688039363e-08
1952,1.370824520563474e-08
1953,2.0470272810158008e-08
1954,3.713563656582153e-08
1955,2.627970197011109e-08
1956,1.1337484284723587e-08
1957,2.385460257103844e-08
1958,1.9026159592261394e-08
1959,1.0851047171911432e-08
1960,2.560708367571607e-08
1961,3.474079646181849e-08
1962,2.4733629200301976e-08
1963,1.1638895625054602e-08
1964,2.7377857758636992e-08
1965,1.9699356201829943e-08
1966,1.7171132404847356e-08
1967,2.4158645084426666e-08
1968,2.7397636465087416e-08
1969,1.9983734889095217e-08
1970,2.2533753002429435e-08
1971,2.7233506449952927e-08
1972,1.7955513686995772e-08
1973,1.9847533394568018e-08
1974,1.3501371687318908e-08
1975,1.0851811893530794e-08
1976,1.7140580288455e-08
1977,1.645498848290572e-08
1978,1.2475242172627077e-08
1979,1.580032804593401e-08
1980,4.889229582305532e-08
1981,1.9609204038317785e-08
1982,1.4898005606944764e-08
1983,2.7155859338989785e-08
1984,3.421414973558967e-08
1985,1.5038895129215746e-08
1986,2.6975183919919488e-08
1987,2.1387859316934765e-08
1988,1.7390005602191394e-08
1989,1.262268123358723e-08
1990,1.3621627881210685e-08
1991,1.4653663171770859e-08
1992,1.7631821336294706e-08
1993,1.8279384506048046e-08
1994,2.004472099415011e-08
1995,1.5182862078688686e-08
1996,1.921713232988509e-08
1997,1.198723642570343e-08
1998,1.573482644179336e-08
1999,2.5136106196477215e-08
2000,1.4579503826439577e-08
2001,2.409666527425358e-08
2002,1.7086764669826948e-08
2003,1.8751152908169644e-08
2004,7.928623979580607e-09
2005,1.936612259445525e-08
2006,2.100123841497492e-08
2007,1.2782334496419523e-08
2008,2.341591839871704e-08
