year,seules_ADJ erreurs_NOUN,seules_ADJ terreurs_NOUN
1800,5.973912209356058e-08,0.0
1801,3.809892135109294e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,2.3404069793286908e-08,0.0
1804,4.449331569844617e-08,0.0
1805,5.685755422035754e-09,2.2743021688143017e-08
1806,2.0171682990621775e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,5.211970233176544e-08,0.0
1809,1.581321384946932e-08,0.0
1810,0.0,0.0
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,6.901780125190271e-08,0.0
1814,6.293354282149721e-09,0.0
1815,1.6183340889597275e-08,0.0
1816,3.0128852301913867e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,2.98029441125891e-08,0.0
1819,1.035105001712111e-09,0.0
1820,5.458581142647745e-08,0.0
1821,9.86148829262845e-10,0.0
1822,1.2030739071633434e-08,3.0076847679083585e-09
1823,1.680056804787e-08,0.0
1824,9.263223965660927e-09,0.0
1825,7.044354433105582e-09,0.0
1826,8.80798456392995e-09,8.807984341885344e-10
1827,1.474763688946723e-08,0.0
1828,1.1006761724274838e-08,0.0
1829,3.943661042171698e-08,0.0
1830,1.6698937344017395e-08,0.0
1831,2.6505050598757407e-08,0.0
1832,6.764984572527055e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,5.600718555598405e-09,0.0
1835,1.2100940693926532e-08,0.0
1836,3.1587525484155776e-08,0.0
1837,6.957891152126194e-09,6.957890930081589e-10
1838,6.943378316748294e-09,0.0
1839,4.194885327990505e-09,6.9914751765765e-10
1840,5.095750932326837e-09,0.0
1841,0.0,0.0
1842,1.542900918138912e-08,8.049918065466954e-09
1843,2.953455480181333e-09,0.0
1844,9.330554107123135e-09,0.0
1845,8.37034175305007e-09,0.0
1846,1.6392604607062822e-08,5.854501328173001e-10
1847,1.833696039454935e-08,0.0
1848,1.689496542667257e-08,0.0
1849,2.9327951622803994e-08,0.0
1850,1.0183494048021657e-08,6.788996032014438e-10
1851,1.096404567135778e-08,0.0
1852,7.161600201754936e-09,6.510545436100301e-10
1853,8.360704129017904e-09,1.1943863675867306e-09
1854,2.0782657816909023e-09,5.195664454227256e-10
1855,1.4859423913549108e-08,2.653468555990912e-09
1856,6.212626857404757e-09,1.0354378465748937e-09
1857,1.2203773103180993e-08,0.0
