year,mais_CONJ elle_PRON,mais_CONJ tel_ADJ
1800,5.905998477828689e-05,9.62114313551865e-07
1801,5.576967623710516e-05,1.3120315998094156e-06
1802,6.0634277815552196e-05,9.980767003980873e-07
1803,6.580249601029209e-05,1.0570838924195414e-06
1804,6.598111804123619e-05,1.1667136163850955e-06
1805,6.279632725636475e-05,1.0547076385591936e-06
1806,5.850652996741701e-05,1.02875586094342e-06
1807,6.102448151068529e-05,7.943004618482519e-07
1808,5.914679832130787e-05,9.653474819515395e-07
1809,6.546670601892401e-05,8.155100204021437e-07
1810,6.074266866562539e-05,8.213845035243139e-07
1811,5.2854192745144246e-05,8.975334537808521e-07
1812,6.155916753414203e-05,1.1735716043403954e-06
1813,6.139420975159737e-05,1.1876812777700252e-06
1814,5.0570246912684524e-05,1.0195233528520475e-06
1815,5.723508320443216e-05,7.39039251129725e-07
1816,6.033881663825014e-05,8.088437652986613e-07
1817,6.110416870797053e-05,1.0898113771418139e-06
1818,5.821349441248458e-05,8.988567685719318e-07
1819,5.315264252203633e-05,9.916305714341433e-07
1820,5.607861612588749e-05,1.0122108164978272e-06
1821,5.43003143320675e-05,1.106458995536741e-06
1822,5.312072516971966e-05,8.952874850365333e-07
1823,5.3129324442124926e-05,1.0198932898219937e-06
1824,5.177047341931029e-05,1.2193771112833929e-06
1825,5.5567627896380145e-05,1.0196702930898027e-06
1826,5.148795162313036e-05,1.1203755718725006e-06
1827,5.207206322666025e-05,9.687354065590625e-07
1828,5.438991365736001e-05,1.2520191035036987e-06
1829,5.3566917131320224e-05,1.1513775461935438e-06
1830,5.488523129315581e-05,1.0374214696184936e-06
1831,5.3183162890491076e-05,9.666547953202098e-07
1832,5.7172237575287e-05,8.564470590499695e-07
1833,5.5090578371164156e-05,9.463824142130761e-07
1834,5.2330315611470724e-05,9.129171019139903e-07
1835,5.228362579146051e-05,8.742929367144825e-07
1836,5.082836105430033e-05,9.106616118970123e-07
1837,5.2843789489998017e-05,9.010468886572198e-07
1838,5.253612198430346e-05,7.814456637333933e-07
1839,5.171804104975308e-05,7.872401113218075e-07
1840,5.1375360271777026e-05,8.204158916669257e-07
1841,4.968284702044912e-05,8.770469150931604e-07
1842,5.288058173391619e-05,8.57987089375456e-07
1843,5.190521051190444e-05,8.754042255532113e-07
1844,5.450196385936579e-05,9.116500052641641e-07
1845,5.43296573596308e-05,6.819038560479385e-07
1846,5.296391782394494e-05,9.127167572842154e-07
1847,4.999086695534061e-05,8.909605639928486e-07
1848,5.030355259805219e-05,7.482056219032529e-07
1849,5.1663280828506686e-05,8.019100334877294e-07
1850,5.315919725035201e-05,8.635603023776639e-07
1851,5.124723884364357e-05,7.868315492487454e-07
1852,5.08551738676033e-05,7.754059652143042e-07
1853,5.210749486650457e-05,7.882950114890264e-07
1854,5.066915991847054e-05,8.879390804850118e-07
1855,5.5802443966967985e-05,7.259889969191136e-07
1856,5.4574304613197455e-05,8.174781953584898e-07
1857,5.366291816244484e-05,8.527996442353469e-07
1858,5.555545567403897e-05,7.986479317878548e-07
1859,5.8010548855236266e-05,9.283031943141395e-07
1860,5.726331573896459e-05,7.405883764022292e-07
1861,5.491173715199693e-05,9.370619977744354e-07
1862,5.569005452343845e-05,8.394418671286985e-07
