year,légères_ADJ erreurs_NOUN
1800,6.917161954334006e-08
1801,8.334139067756041e-08
1802,9.398928568771225e-08
1803,5.070882025393075e-08
1804,6.426812149129546e-08
1805,1.02343598484822e-07
1806,5.187004603612877e-08
1807,6.832692633906845e-08
1808,1.540930298915555e-07
1809,1.1521055398588942e-07
1810,1.263668423234776e-07
1811,8.524060746140094e-08
1812,1.6269970615212515e-07
1813,9.202373263406116e-08
1814,5.034683425719777e-08
1815,8.361393355471591e-08
1816,5.7940098940889584e-08
1817,5.1376822796100896e-08
1818,7.27191817873063e-08
1819,6.624672010957511e-08
1820,7.831877724129299e-08
1821,6.212737702071536e-08
1822,9.825103575167304e-08
1823,1.0080340473450633e-07
1824,1.027375731155189e-07
1825,7.660735690251386e-08
1826,5.725189922145546e-08
1827,1.0507691428074395e-07
1828,7.521286704559316e-08
1829,6.086955295359076e-08
1830,8.871310797076148e-08
1831,1.153749238369528e-07
1832,8.794479811058409e-08
1833,9.266902623039641e-08
1834,1.4281832250162552e-07
1835,9.680752555141225e-08
1836,7.460032236394909e-08
1837,6.401259611266141e-08
1838,4.229148586887277e-08
1839,9.438491588298348e-08
1840,5.223144583510475e-08
1841,7.640452537316378e-08
1842,8.787826999423487e-08
1843,4.666459574309556e-08
1844,5.4885614275690386e-08
1845,4.51998474204629e-08
1846,5.971591576781066e-08
1847,6.903326266183285e-08
1848,3.298540818263973e-08
1849,7.54147322368226e-08
1850,2.987158254086353e-08
1851,3.8696633453128015e-08
1852,9.440290682505292e-08
1853,7.524634071387482e-08
1854,7.014146774508845e-08
1855,6.315255518529739e-08
1856,3.36517302912398e-08
1857,7.859229356199648e-08
1858,5.970284888690003e-08
1859,4.786642904264227e-08
1860,5.309533435138292e-08
1861,4.527325359049428e-08
1862,4.9697849391350246e-08
1863,3.49623441309177e-08
1864,5.0824116470948866e-08
1865,4.471502279557171e-08
1866,5.6441109563820646e-08
1867,3.2513838732484146e-08
1868,6.076044911651479e-08
1869,5.3718711257033647e-08
1870,5.103303379883073e-08
1871,2.8677177965619194e-08
1872,7.01491345012073e-08
1873,6.345164393906089e-08
1874,5.317401985394099e-08
1875,9.097227859911072e-08
1876,4.292670396921494e-08
1877,6.061119961486838e-08
1878,4.831271027683215e-08
1879,8.003215867802282e-08
1880,7.059630746653056e-08
1881,8.994534539397137e-08
1882,7.720246486542237e-08
1883,7.835980397885578e-08
1884,8.120087358065575e-08
1885,5.672159275604827e-08
1886,9.16391869054678e-08
1887,5.027272109714431e-08
1888,8.87686084638517e-08
1889,5.7639258699282436e-08
1890,7.799719980994269e-08
1891,8.031517495510343e-08
1892,6.143142172732041e-08
1893,6.220000869916475e-08
1894,7.687877712214686e-08
1895,6.19917273070314e-08
1896,4.2458609073037223e-08
1897,6.059782009515402e-08
1898,7.695362569393183e-08
1899,5.3617512207893014e-08
1900,7.994221817853031e-08
1901,7.097698073721403e-08
1902,6.677986164049798e-08
1903,7.506306332061286e-08
1904,5.697102523072317e-08
1905,6.915416861374979e-08
1906,4.78409170057148e-08
1907,4.422845378826423e-08
1908,8.594930989147542e-08
1909,7.97642627503592e-08
1910,4.008112952647025e-08
1911,3.777465806820146e-08
1912,6.980624789321155e-08
1913,6.522677153952827e-08
1914,6.027069332503743e-08
1915,6.715034572835066e-08
1916,4.8344833913915863e-08
1917,6.908847183240141e-08
1918,3.2161853624756986e-08
1919,3.6831394822911534e-08
1920,4.997673030970873e-08
1921,7.118382683302116e-08
1922,4.943216680430851e-08
1923,5.201814445854325e-08
1924,4.383152329978657e-08
1925,5.169143690864075e-08
1926,4.56991671171636e-08
1927,6.355057990958812e-08
1928,3.7705934374798744e-08
1929,6.238627747734427e-08
1930,4.936693542845205e-08
1931,3.877821086462063e-08
1932,5.8085543486186e-08
1933,4.932384811695556e-08
1934,6.230421689679133e-08
1935,4.547948151412129e-08
1936,6.30485175179274e-08
1937,3.5255130370615007e-08
1938,4.019216603978748e-08
1939,6.423501019980904e-08
1940,5.325144059042941e-08
1941,6.198155233505531e-08
1942,8.49579322448335e-08
1943,3.774205836748479e-08
1944,3.534504600111177e-08
1945,4.7927088075994106e-08
1946,3.480275978517966e-08
1947,5.1259746669529704e-08
1948,4.4574740343250596e-08
1949,3.9268034157657894e-08
1950,4.0414374069541736e-08
1951,4.051332780363737e-08
1952,4.639713679921442e-08
1953,3.016671712430252e-08
1954,3.322662323057557e-08
1955,3.191106756617046e-08
1956,4.447782231409292e-08
1957,3.0922631566454584e-08
1958,2.9780077070995503e-08
1959,2.1702094343822864e-08
1960,3.18358317485945e-08
1961,3.752005994783758e-08
1962,2.473363025501385e-08
1963,3.814971449855875e-08
1964,4.015419108327478e-08
1965,4.6512369067386317e-08
1966,2.9357096309468034e-08
1967,3.3526280418527676e-08
1968,2.919420261093819e-08
1969,3.633406109315729e-08
1970,1.8854771965948203e-08
1971,2.8261185391897925e-08
1972,3.026786643545165e-08
1973,2.260413545229767e-08
1974,1.912694358452427e-08
1975,2.227477224892027e-08
1976,1.9997344224975677e-08
1977,1.7630345183761165e-08
1978,1.841583241457556e-08
1979,2.0481905949054635e-08
1980,1.9329512213062117e-08
1981,1.3283654176632353e-08
1982,2.7313010519947056e-08
1983,2.462973291983417e-08
1984,1.6237223121606803e-08
1985,1.8648229627160617e-08
1986,1.1389522214244607e-08
1987,1.8943532964499354e-08
1988,9.594486094499644e-09
1989,1.3720305780395847e-08
1990,7.083246433836621e-09
1991,7.6199047072123e-09
