year,les_DET huiles_NOUN,les_DET tuiles_NOUN
1800,1.1815770221801358e-05,1.0595834112336888e-06
1801,7.2054584734360105e-06,6.953053173219814e-07
1802,4.198188094051147e-06,9.622712866530492e-07
1803,9.17829629543121e-06,7.528309602378158e-07
1804,3.856087516851403e-06,7.959360033282792e-07
1805,4.358131519666131e-06,6.680762358879377e-07
1806,3.1525460997272603e-06,7.838139950422374e-07
1807,7.171479978751449e-06,4.583597643659232e-07
1808,3.5803969069547747e-06,4.5774694257261217e-07
1809,7.985672709764913e-06,5.240950855522897e-07
1810,5.164659910406044e-06,6.52895366215489e-07
1811,4.670683949825616e-06,7.897291780523119e-07
1812,5.2997429520473816e-06,8.001624962616916e-07
1813,3.445138503366252e-06,5.866512751140363e-07
1814,3.7634258376328944e-06,6.922689905763946e-07
1815,5.979744514661434e-06,4.4773912399875826e-07
1816,4.201815727356006e-06,6.651522994616244e-07
1817,4.754691588004789e-06,4.686188823654902e-07
1818,4.376264143957087e-06,5.066500126105211e-07
1819,2.9986991876285174e-06,5.23763142190603e-07
1820,4.123602309391572e-06,5.209385278703849e-07
1821,2.9545019231136394e-06,4.5658692116035127e-07
1822,2.0071283302058873e-06,3.2382739334479993e-07
1823,4.129974740862963e-06,6.206327185509508e-07
1824,3.6236046980775427e-06,5.221089871554341e-07
1825,2.4153330571152765e-06,4.4115270014799535e-07
1826,1.9950084038100613e-06,3.9195530021629565e-07
1827,4.013200793906435e-06,6.184790493080072e-07
1828,4.58615051002198e-06,4.953042811450814e-07
1829,3.5372924571674957e-06,4.3808929817146236e-07
1830,3.365879535977001e-06,1.0885620014278174e-06
1831,5.860734233920084e-06,6.267665142445367e-07
1832,4.8680830104785855e-06,1.129752391193506e-06
1833,4.043844654688655e-06,1.1351956175076339e-06
1834,2.621136303559979e-06,5.218002669948874e-07
1835,2.9246461963339243e-06,4.817686942715227e-07
1836,2.6708261202657013e-06,6.008350297292964e-07
1837,3.0405983864056907e-06,6.2273122125589e-07
1838,3.1857482269970205e-06,4.5763174583157706e-07
1839,4.236833945014951e-06,5.418393556055889e-07
1840,2.359332682999593e-06,5.051163149971671e-07
1841,3.0176578889040684e-06,6.208670626506319e-07
1842,3.4158486812430056e-06,4.460996265720496e-07
1843,3.202136554136814e-06,4.075768771372168e-07
1844,3.86504487437378e-06,5.790432240360133e-07
1845,2.6857636328259105e-06,6.579088633884567e-07
1846,2.5109956709457038e-06,5.345159621583662e-07
