year,aux_ADP août_NOUN,aux_ADP toutes_ADJ
1800,0.0,9.432493452976587e-09
1801,0.0,2.3811825844433088e-09
1802,2.2378401354217203e-09,8.951360541686881e-09
1803,0.0,3.900678446910888e-09
1804,0.0,7.4155526164076946e-09
1805,5.685755422035754e-09,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,5.693910232196231e-09
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,1.2535384286138651e-08
1812,5.3344164641089264e-09,0.0
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,0.0,0.0
1815,0.0,1.3486118000116676e-08
1816,0.0,2.3176038865813098e-09
1817,0.0,1.556873407970727e-09
1818,1.1921177378582115e-09,0.0
1819,2.070210003424222e-09,3.1053151161586356e-09
1820,0.0,3.5599443393152796e-09
1821,0.0,1.9722976807301507e-08
1822,0.0,3.0076847679083585e-09
1823,0.0,0.0
1824,1.6842225392110777e-09,1.2631669044083083e-08
1825,2.641632912414593e-09,2.641632912414593e-09
1826,8.807984341885344e-10,1.7615968683770689e-09
1827,9.217273055917019e-10,4.6086365279585095e-09
1828,0.0,3.668920500743411e-09
1829,8.57317605795771e-10,3.429270423183084e-09
1830,3.1310507520032616e-09,1.0436835840010872e-09
1831,0.0,4.677361609140007e-09
1832,0.0,1.3529969367098715e-09
1833,0.0,3.475088550253247e-09
1834,1.8669061851994684e-09,5.600718555598405e-09
1835,9.832014313815307e-09,3.781543966852041e-09
1836,0.0,1.6129800606279332e-08
1837,6.957890930081589e-10,7.653680134112051e-09
1838,1.2624323808552163e-09,2.5248647617104325e-09
1839,0.0,2.09744255297295e-09
1840,1.2739377330817092e-09,1.0828470731194528e-08
1841,0.0,5.778493683550323e-09
1842,0.0,8.720745015011744e-09
1843,0.0,5.906910960362666e-09
1844,5.488561272137815e-10,7.1351298203126134e-09
1845,5.580227946389016e-10,4.464182468133515e-09
1846,2.3418005312692003e-09,1.1709002878390606e-08
1847,1.6179670936367074e-09,7.011190739092399e-09
1848,0.0,2.011305383353701e-08
1849,8.379414939696517e-10,2.513824481908955e-09
1850,6.788996032014438e-10,4.073397619208663e-09
1851,4.514607132577453e-09,8.384270389072412e-09
1852,0.0,7.812654523320361e-09
1853,5.971931837933653e-10,4.777545470346922e-09
1854,0.0,1.2989161302101593e-08
1855,5.306937111981824e-10,7.960405667972736e-09
1856,5.177189232874468e-10,8.283502550554545e-09
1857,0.0,4.393358121745905e-09
1858,0.0,5.383043732987147e-09
1859,1.018434669930457e-09,1.7313389610862373e-08
1860,4.577183909670879e-10,1.6935580493537827e-08
1861,0.0,1.3676294596809413e-08
1862,4.517986262886353e-10,6.776979449840681e-09
1863,0.0,1.2486552458668143e-08
1864,4.794727948009836e-10,8.151037178549814e-09
1865,9.41368871743009e-10,4.706844247692743e-09
1866,9.731225825149181e-10,1.216403244796993e-08
1867,4.85281148598915e-10,1.6984840200962026e-08
1868,4.93987406535723e-10,6.421836173942097e-09
1869,4.883519144627257e-10,9.278686263769487e-09
1870,0.0,8.027667863785837e-09
1871,0.0,5.3105884134652115e-09
1872,0.0,8.466274681317998e-09
1873,5.986004469882289e-10,1.3767810447262718e-08
1874,5.974609140757536e-10,1.2546679584168885e-08
1875,1.1443054281912168e-09,1.8881038954532414e-08
1876,6.04601479992084e-10,1.269663085778916e-08
1877,0.0,1.6080522136086017e-08
1878,0.0,1.8721174610547564e-08
1879,0.0,1.5273313280772527e-08
1880,0.0,8.984984534166074e-09
1881,1.3945015142624584e-09,1.4642265844244662e-08
1882,6.655385131892899e-10,4.658769592325029e-09
1883,6.319338941018771e-10,1.8326082873443283e-08
1884,0.0,1.7824581810543805e-08
1885,1.9336907075562237e-09,2.2559724810466975e-08
1886,1.2906927748801422e-09,1.2261581472383654e-08
1887,1.3057849246322917e-09,1.63223117244371e-08
1888,0.0,9.510922049926762e-09
1889,0.0,1.0024218788373673e-08
1890,9.831579994568074e-09,1.8352282304956447e-08
1891,6.374220040683554e-10,1.5935549213530464e-08
1892,6.268512375839919e-10,1.3790727448892426e-08
1893,0.0,1.5396041108672875e-08
1894,1.8904617871129403e-09,2.3945849969564392e-08
1895,0.0,2.7083764564395096e-08
1896,0.0,4.540712339462516e-08
1897,2.330685422435863e-09,3.787363667129284e-08
1898,5.6583548957434e-10,4.1871826339523466e-08
1899,0.0,3.316546859366554e-08
1900,2.595526460424935e-09,3.1665425836990835e-08
1901,5.588738916095792e-10,3.129693848524795e-08
1902,0.0,3.9773298987633154e-08
1903,1.6200660812870638e-09,4.3741784416795326e-08
1904,0.0,5.213386344848914e-08
1905,1.0321518084666081e-09,2.9932402889620846e-08
1906,0.0,3.4980455032584956e-08
1907,5.142843373384665e-10,6.274269054307169e-08
1908,9.822778146428846e-10,4.6658194863269387e-08
1909,0.0,5.225934307517832e-08
1910,1.6032452032632705e-09,5.0235017590161135e-08
1911,5.320374141248863e-10,3.883873089804979e-08
1912,1.0418842455450772e-09,5.834551630723439e-08
1913,0.0,4.1363318548093275e-08
1914,2.0090231700464756e-09,4.018046095843886e-08
1915,5.890380849749022e-09,4.4766895412884367e-08
1916,0.0,4.724608615447323e-08
1917,0.0,4.386569640857374e-08
1918,0.0,5.513460621386912e-08
1919,2.762354511798293e-09,6.169258093269292e-08
1920,7.572231730534895e-10,5.224839805251236e-08
1921,7.572747429129834e-10,4.0892835007078077e-08
1922,7.377935484775833e-10,5.902348210184982e-08
1923,1.0615948120573648e-09,7.643482557995185e-08
1924,0.0,6.316896139502148e-08
1925,0.0,4.8391984641682484e-08
1926,1.1146138456652466e-09,5.684530757221751e-08
1927,0.0,7.135503765631768e-08
1928,1.1426041224282812e-09,6.85562485669422e-08
1929,1.1140406375176326e-09,4.121950469837543e-08
