year,as_VERB eu_VERB,as_VERB tu_VERB
1800,2.200915076855381e-07,3.772997425599556e-08
1801,1.619204113012529e-07,3.8098922461315965e-08
1802,1.7231369042747247e-07,1.1189200677108602e-07
1803,1.2677205063482688e-07,3.705644502360883e-08
1804,1.3842365831351344e-07,3.460591235793231e-08
1805,2.5301611117356515e-07,6.538618890772341e-08
1806,6.916005901302924e-08,5.76333825108577e-09
1807,1.537355700520493e-07,5.4092147649953404e-08
1808,1.0423940466353088e-07,2.2660739062985158e-08
1809,9.93973401364201e-08,4.518061036407062e-09
1810,1.591286178381779e-07,2.106114083133548e-08
1811,1.3287507272252697e-07,4.26203050629681e-08
1812,1.6269970615212515e-07,2.6672082320544632e-09
1813,1.0352670187785407e-07,1.1502966579257645e-08
1814,7.552024783308298e-08,6.293354282149721e-09
1815,8.091670622434322e-08,1.6183340889597275e-08
1816,7.879853569647821e-08,2.7811246638975717e-08
1817,1.214361304846534e-07,1.8682481339737933e-08
1818,1.2755660350194375e-07,2.2650237241350624e-08
1819,1.35598753558952e-07,1.449147024601416e-08
1820,1.3053129066520341e-07,2.1359666035891678e-08
1821,2.169527419937367e-07,1.2819935113483893e-08
1822,2.546506436829077e-07,3.208197085768916e-08
1823,2.174191138237802e-07,1.0376821535373892e-07
1824,2.450543661325355e-07,3.621078548121659e-08
1825,3.10832149352791e-07,4.754939197937347e-08
1826,1.418085417981274e-07,3.170874407487645e-08
1827,1.1798109511573784e-07,1.2904182611350734e-08
1828,1.2657775982916064e-07,1.1923991571904935e-08
1829,1.2002446680980938e-07,2.4862210068476998e-08
1830,1.5655253093882493e-07,1.1480519646056564e-08
1831,2.1204040479005926e-07,3.274153215215847e-08
1832,2.1512651926514081e-07,1.8941957335982806e-08
1833,1.6796261093077192e-07,9.266902467608418e-09
1834,2.4549817112529126e-07,2.0535967593104942e-08
1835,3.0327981903610635e-07,3.1764969321557146e-08
1836,3.0646620530205837e-07,2.6210926040715066e-08
1837,2.1708619613036717e-07,4.1051556820548285e-08
1838,1.988331064239901e-07,1.9567702125300457e-08
1839,1.8247750688260567e-07,6.292327547896548e-09
1840,1.840840013755951e-07,1.0828470564661075e-08
1841,2.221509731725746e-07,5.1364388298225094e-09
1842,2.743680340699939e-07,2.0795621225033756e-08
1843,2.658109963249444e-07,1.5357969118667825e-08
1844,2.1130961158633e-07,9.879410234336916e-09
1845,2.1539679551096924e-07,1.6182660544927785e-08
1846,1.6978053452021413e-07,8.781752214304106e-09
1847,1.5316754797822796e-07,8.629157832729106e-09
1848,1.4240042389701557e-07,1.367687652020777e-08
1849,1.0055298105271504e-07,1.0893239199560867e-08
1850,1.575047008373076e-07,9.504594444820214e-09
1851,1.5672135589284153e-07,1.1608989325395669e-08
1852,2.0963956615105417e-07,1.5625309046640723e-08
1853,1.9767094272538088e-07,1.4332636188996162e-08
1854,1.7041779187820794e-07,1.8184826089395756e-08
1855,2.069705544727185e-07,1.2736649068756378e-08
1856,2.2727860482518736e-07,1.501384794266869e-08
1857,2.5969629291466845e-07,2.538384707984065e-08
1858,2.6915216722045443e-07,1.7127865348243176e-08
1859,2.6021007215604186e-07,2.036869339860914e-08
1860,2.842431285898783e-07,1.1900677776566226e-08
1861,2.664519627160189e-07,1.1789909493131745e-08
1862,2.3041729946271516e-07,1.7168348520613108e-08
1863,2.9068692697364895e-07,6.99246927027275e-09
1864,3.5624827887659194e-07,1.1027874391444925e-08
1865,2.574643929165177e-07,8.47231973466478e-09
1866,2.875577251870709e-07,1.4110277390955162e-08
1867,2.7563970661503845e-07,9.7056229719783e-09
1868,2.5341554987790005e-07,1.8771521559379778e-08
1869,2.6517508899814857e-07,2.68593545182938e-08
1870,2.322289702760827e-07,2.0069170325598407e-08
1871,3.1544897183266585e-07,1.0621176826930423e-08
1872,3.0962377195464796e-07,2.4189358072135292e-08
1873,2.2986256453805254e-07,3.7711828326791874e-08
1874,2.820015652105212e-07,3.6445114481864493e-08
