year,mais_CONJ elles_PRON,mais_CONJ telle_ADJ
1800,2.2402171111934877e-05,6.319770591289853e-07
1801,1.803031500458019e-05,7.524536727032682e-07
1802,2.0223361843818566e-05,4.923248297927785e-07
1803,2.5409019940525468e-05,6.962710727975718e-07
1804,2.0733885605750402e-05,6.42681243334664e-07
1805,1.896767957987322e-05,7.050336705560767e-07
1806,1.8759665465495345e-05,6.1091387237866e-07
1807,1.9276733723927464e-05,8.59780470818805e-07
1808,1.9275224588000128e-05,5.347934575183899e-07
1809,2.0778562657142174e-05,4.743964154840796e-07
1810,1.8447218621986394e-05,5.148278887645574e-07
1811,1.7479338850989734e-05,3.560049037787394e-07
1812,1.7318182187864295e-05,6.161250922787076e-07
1813,1.883610798358859e-05,5.895270476230507e-07
1814,1.733819146920723e-05,5.821352857537931e-07
1815,1.7793583651837253e-05,7.714059222507785e-07
1816,2.109483045842353e-05,7.462684550318954e-07
1817,1.935504934635901e-05,7.083774136162901e-07
1818,1.800932238893438e-05,7.56994751327511e-07
1819,1.6631032110581145e-05,7.918553137642448e-07
1820,1.5855992216984305e-05,7.914943012110598e-07
1821,1.572019857576379e-05,7.100271659510327e-07
1822,1.548356112834881e-05,5.34365327098385e-07
1823,1.5179806666765217e-05,7.678847850911552e-07
1824,1.4203890884800785e-05,7.882161696670664e-07
1825,1.592552439433348e-05,9.096022495214129e-07
1826,1.533822364763182e-05,7.196123306130175e-07
1827,1.4866539913782617e-05,7.52129494685505e-07
1828,1.6840344471802382e-05,8.998027851703227e-07
1829,1.5910100501059787e-05,8.55602962701596e-07
1830,1.5775277063312387e-05,9.727131100589759e-07
1831,1.4796054415455728e-05,7.062816393954563e-07
1832,1.5516168843987543e-05,8.036801659727644e-07
1833,1.6938739690885996e-05,9.602828185961698e-07
1834,1.546078362935077e-05,7.346276049702283e-07
1835,1.54097913878104e-05,7.041234937332774e-07
1836,1.5112278617834818e-05,6.747632994574815e-07
1837,1.6155526395777997e-05,6.874396376588265e-07
1838,1.4801388829255302e-05,7.132742894100375e-07
1839,1.530713581132659e-05,6.453131504713383e-07
1840,1.4773218708796776e-05,6.541670245496789e-07
1841,1.5253297021899925e-05,6.696632226521615e-07
1842,1.4625359824549378e-05,7.043678351692506e-07
1843,1.5098655694600893e-05,7.484056538942241e-07
1844,1.4923398168775748e-05,6.954007290005393e-07
1845,1.490590477715159e-05,6.841359549980552e-07
1846,1.5467592106688244e-05,6.72096774678721e-07
1847,1.4210605002062948e-05,6.471868516655377e-07
1848,1.4627822565671522e-05,5.856921490021705e-07
1849,1.4104231070177775e-05,7.499576497593807e-07
1850,1.4376378430824843e-05,6.897620039580943e-07
1851,1.4391277318281936e-05,5.798045492610981e-07
1852,1.4799771975049225e-05,6.256634037526965e-07
1853,1.5270229937414115e-05,5.565840694998769e-07
1854,1.4686584620449139e-05,6.286753944095835e-07
1855,1.4672088980205444e-05,6.24626494527547e-07
1856,1.4292148989625275e-05,5.430871681255667e-07
1857,1.4523953836942383e-05,6.336198907774815e-07
1858,1.433847103271546e-05,6.376459964485548e-07
