year,autres_ADJ airs_NOUN,autres_ADJ terres_NOUN
1800,6.60274537267469e-08,2.0091210259920445e-06
1801,6.429193177837078e-08,1.745406819964046e-06
1802,3.5805442166747525e-08,1.6224340981807472e-06
1803,4.6808139586573816e-08,1.433499319913878e-06
1804,8.651478111687538e-08,1.4682795139719929e-06
1805,3.980028751016107e-08,7.988486458998523e-07
1806,1.2103009794373065e-07,1.2708160461727402e-06
1807,2.8469550272802735e-08,1.9302356690786837e-06
1808,3.172503681980743e-08,1.2372763871226766e-06
1809,9.036122294858728e-09,1.881772373479862e-06
1810,9.594519356781461e-08,1.2683486509956765e-06
1811,4.763445815569867e-08,1.2159322841931441e-06
1812,8.801787032552966e-08,2.013742120166029e-06
1813,3.163315653864629e-08,9.892551464663057e-07
1814,1.5733386149463513e-08,1.135950469688396e-06
1815,1.8880564667256294e-08,9.143587931248476e-07
1816,5.7940098940889584e-08,1.1611195507299499e-06
1817,8.56280379935015e-08,8.1891543080026e-07
1818,6.079800130009971e-08,2.003949925555304e-06
1819,7.866798057420965e-08,1.4729543954539182e-06
1820,4.390598107306687e-08,1.1795282262028195e-06
1821,5.719663320746804e-08,8.26392722141911e-07
1822,6.015369535816717e-08,1.2411711907134304e-06
1823,4.249555374258307e-08,1.1167435953751692e-06
1824,5.3053010873327366e-08,1.1191658586540143e-06
1825,6.251864448358901e-08,1.3120109882969189e-06
1826,5.5490302908189904e-08,1.7448617199988803e-06
1827,3.041700225026034e-08,1.037864990394155e-06
1828,2.7516904310687096e-08,9.988635885638253e-07
1829,2.4862210068476998e-08,9.962030274590639e-07
1830,5.218418053232199e-08,1.144920854345699e-06
1831,4.5214498811674275e-08,8.341295387737091e-07
1832,3.788391467196561e-08,7.833852464500524e-07
1833,7.52935847003755e-08,1.0413682516308143e-06
1834,3.733812548034621e-08,7.290268602133665e-07
1835,3.6302822081779595e-08,9.416044264298762e-07
1836,1.0753200108126748e-08,1.2910560456269593e-06
1837,2.99189295560609e-08,1.0102857661564713e-06
1838,4.86036455527028e-08,1.285787361249291e-06
1839,5.2436064379435265e-08,8.725361074768401e-07
1840,5.159447979963261e-08,1.0166022760826898e-06
1841,2.6966304744746594e-08,1.0080261430012172e-06
1842,3.287049921141261e-08,8.915284297472681e-07
1843,2.4809025944705354e-08,9.994493055387466e-07
1844,3.622450606144412e-08,1.047217480065754e-06
1845,4.0177642546268544e-08,7.678393581511678e-07
1846,1.5807152919933287e-08,9.618945593370398e-07
1847,2.9123407685460734e-08,1.1649363589327777e-06
1848,2.654923214606697e-08,9.549678452458465e-07
1849,2.8490010350878947e-08,8.08613549452275e-07
1850,1.425689166723032e-08,7.630831433402818e-07
1851,3.353708066811123e-08,9.274292951388929e-07
1852,6.640756566866912e-08,7.656401477262875e-07
1853,3.4040009921909586e-08,9.471483881640097e-07
1854,2.5458755104068587e-08,7.814279410212066e-07
1855,3.131092896069276e-08,8.926268186826292e-07
1856,4.711242240773572e-08,6.414537467303028e-07
1857,2.0502337605421417e-08,8.518233585164126e-07
1858,1.859596826525589e-08,8.054990581207733e-07
1859,3.258990943777462e-08,6.706392075006562e-07
1860,2.654766717569146e-08,6.046460082620442e-07
1861,3.3483342321005694e-08,7.022070160900284e-07
1862,3.7047489076513784e-08,8.552548256268722e-07
1863,2.8469337998160427e-08,7.626786207026726e-07
