year,quelques_DET tissus_NOUN
1800,4.0874139628499506e-08
1801,1.1905912700171939e-08
1802,2.2378401354217203e-09
1803,1.950339223455444e-09
1804,0.0
1805,3.1271653710973624e-08
1806,1.4408345627714425e-08
1807,4.27043254092041e-08
1808,1.8128591960930862e-08
1809,2.4849335034105025e-08
1810,4.680253518074551e-09
1811,1.0028307073639553e-08
1812,0.0
1813,6.326631307729258e-08
1814,6.293354282149721e-09
1815,3.506390555685357e-08
1816,7.879853569647821e-08
1817,2.0239355080775567e-08
1818,1.7881765401739358e-08
1819,7.14222423425781e-08
1820,4.9839222526770754e-08
1821,4.930744168518686e-08
1822,1.604098542884458e-08
1823,1.9765374226210497e-08
1824,3.8737120178211626e-08
1825,4.6668848341369085e-08
1826,2.290075862276808e-08
1827,5.530363678118988e-08
1828,6.145441960869746e-08
1829,5.486832677092934e-08
1830,7.410153557430021e-08
1831,2.0268567268999504e-08
1832,2.976593327375099e-08
1833,3.4750887167867006e-08
1834,2.8937046536725575e-08
1835,1.663879345414898e-08
1836,5.107770206791429e-08
1837,7.375364674544471e-08
1838,4.670999942391063e-08
1839,1.0766871705314429e-07
1840,4.6498725925214757e-08
1841,5.393260726904714e-08
1842,3.5553806565502555e-08
1843,4.4892522643724675e-08
1844,4.8299337862545144e-08
1845,3.292334388449447e-08
1846,4.3323311160747835e-08
1847,3.7752563741833e-08
1848,6.597081536607874e-08
1849,2.1786478399121734e-08
1850,3.59816780814981e-08
1851,8.835730924694474e-08
1852,4.9480145536406894e-08
1853,9.077336082796705e-08
1854,4.10457505761741e-08
1855,7.48278168316574e-08
1856,4.452382884601036e-08
1857,3.856392183365642e-08
1858,3.768130385495283e-08
1859,3.97189512391094e-08
1860,3.9363783344015246e-08
1861,6.696668575223441e-08
1862,5.963741900316677e-08
1863,6.642845740145731e-08
1864,3.691940619887646e-08
1865,1.7415323905201063e-08
1866,3.357272798654165e-08
1867,6.114542294710645e-08
1868,7.903798215913582e-08
1869,4.6393430874758224e-08
1870,4.300536460277726e-08
1871,7.22240054429335e-08
1872,2.0560953828407946e-08
1873,8.619846436630496e-08
1874,6.333085589282916e-08
1875,4.405575759758307e-08
1876,3.385768310160131e-08
1877,6.246663986075873e-08
1878,4.710489043269206e-08
1879,4.2154342794198385e-08
1880,2.3746030697324727e-08
1881,3.5559786892847e-08
1882,2.6621540527571597e-08
1883,3.4756364453158994e-08
1884,3.3668655419205606e-08
1885,3.738468756786517e-08
1886,6.259860085844338e-08
1887,2.7421483750345033e-08
1888,2.599652049184442e-08
1889,2.6313573542324775e-08
1890,5.964491589516285e-08
1891,6.820415299202409e-08
1892,3.134256187919959e-08
1893,2.8328715817593775e-08
1894,2.0795079658242344e-08
1895,2.3472597421303476e-08
1896,3.538217541176891e-08
1897,6.817255204794037e-08
1898,3.5647634621938096e-08
1899,2.984892333302014e-08
1900,3.322274011452464e-08
1901,3.4650181834905425e-08
1902,3.437198686784271e-08
1903,3.726152097982549e-08
1904,6.933266760711376e-08
1905,2.167518786677647e-08
1906,2.314883107423782e-08
1907,4.422845290008581e-08
1908,2.2101251495598717e-08
1909,3.025541062129378e-08
1910,3.20649036211762e-08
1911,2.9794095413038235e-08
1912,2.396333742549217e-08
1913,2.8105845761849935e-08
1914,2.343860305842327e-08
1915,8.246533234057551e-09
1916,1.9777431248257926e-08
1917,2.1932848426331475e-08
1918,4.135095643675868e-08
1919,3.314825353095685e-08
1920,1.8930578882248028e-08
1921,1.741731914250977e-08
1922,1.9182631816327955e-08
1923,2.3355085865262026e-08
1924,1.933743642990038e-08
1925,2.5295810113235007e-08
1926,3.2323799858957614e-08
1927,4.7941667635775786e-08
1928,2.3994686904060814e-08
1929,2.785101571589621e-08
1930,2.9410089141812534e-08
1931,2.8513390759599133e-08
1932,2.6302887201623548e-08
1933,4.473558234963093e-08
1934,3.9539212792760736e-08
1935,4.787313745424626e-08
1936,5.2136272632452574e-08
1937,4.532802555523574e-08
1938,5.3157380164314816e-08
1939,1.1164656577022924e-07
1940,6.846613587185857e-08
1941,5.01755446080665e-08
1942,3.944475324146879e-08
1943,1.4516175816936538e-08
1944,2.2492303131116387e-08
1945,4.574858669670334e-08
1946,5.8468637043063154e-08
1947,2.5033829231801974e-08
1948,4.5661928682605435e-08
1949,5.4975246133182054e-08
1950,4.998619917984115e-08
1951,1.0661401761424827e-08
1952,3.690681538159879e-08
1953,5.8178666773045506e-08
1954,2.7363100230104465e-08
1955,2.9095383879962355e-08
1956,5.145473380707699e-08
1957,3.622365629674107e-08
1958,2.9780075738727874e-08
1959,3.1778066844623254e-08
1960,2.2146666278644034e-08
1961,3.0571901621367914e-08
1962,1.7123282014530616e-08
1963,2.845063429290917e-08
1964,2.251068309533366e-08
1965,1.91521518644322e-08
1966,1.7171132071780448e-08
1967,1.1339772176821583e-08
1968,2.2457079085214104e-08
1969,2.1346261647181564e-08
1970,2.5752860510763753e-08
1971,1.6956711590410123e-08
1972,2.0007572043567734e-08
1973,2.3155456441159572e-08
1974,1.012602895977821e-08
1975,1.8847885030481848e-08
1976,2.3425460571324663e-08
1977,1.1753563289307323e-08
1978,9.504946274496717e-09
1979,1.287434159280565e-08
1980,9.096241093686785e-09
1981,1.7711539568310286e-08
1982,2.1726258014886923e-08
1983,5.683784332077835e-09
1984,1.1018116197192285e-08
1985,1.2632671797518924e-08
1986,1.4386764779494854e-08
1987,7.332980445085013e-09
1988,1.8589316752581908e-08
1989,8.232182935330457e-09
1990,1.2531897075618303e-08
1991,1.3481369798284959e-08
1992,1.763182055913859e-08
1993,2.2710750613441633e-08
1994,1.3187316794116555e-08
1995,9.21816667442954e-09
1996,1.014237538399243e-08
1997,1.1987236314681127e-08
1998,1.2397135762398648e-08
1999,9.140402129625969e-09
2000,7.068850282898609e-09
2001,8.762423314712109e-09
2002,1.270554239596322e-08
2003,1.250076897552077e-08
2004,1.0571498704203819e-08
2005,1.666387361431987e-08
2006,1.7706926369598364e-08
2007,1.1583990877639394e-08
2008,1.0643599113180358e-08
2009,1.0490023738540799e-08
2010,1.1809482280966677e-08
2011,1.491349077564763e-08
2012,1.5999987446058128e-08
2013,9.48302475434204e-09
2014,1.472502725308189e-08
2015,1.0639562120218216e-08
2016,1.5535051023363167e-08
2017,1.0314006204659165e-08
2018,1.1100307228950612e-08
2019,1.3520235375708012e-08
