year,ces_DET oies_NOUN,ces_DET toits_NOUN
1800,1.6978488659447066e-07,1.226224086714467e-07
1801,1.2620267497709392e-07,1.7858868872622224e-07
1802,8.727576528144709e-08,9.175144555229053e-08
1803,7.411289004721766e-08,7.216255237807445e-08
1804,1.1617699158250616e-07,1.483110620981165e-07
1805,2.2743021688143017e-08,1.535153975051884e-07
1806,2.305335300434308e-08,2.3341520183350895e-07
1807,6.547996900252429e-08,1.338068891243438e-07
1808,1.3823051503436545e-07,1.9714844157192601e-07
1809,3.6144488291256494e-08,8.35841316160213e-08
1810,1.6380887757350138e-08,1.544483669846386e-07
1811,5.515568934910675e-08,1.1532553179094407e-07
1812,2.6672082320544632e-09,2.5605199738265583e-07
1813,2.8757416448144113e-09,1.7254449247161574e-07
1814,0.0,2.1082737333699697e-07
1815,1.8880564667256294e-08,1.726223075593225e-07
1816,1.622322720606917e-08,1.4137383530510306e-07
1817,4.203558356952186e-08,1.712560768751814e-07
1818,2.2650237241350624e-07,9.417730417737857e-08
1819,3.1053151161586356e-09,1.0558071039667993e-07
1820,1.1866481131050932e-08,1.0798498095709874e-07
1821,1.9722976807301507e-08,7.987805439313433e-08
1822,4.0102463572111446e-08,1.223125138949399e-07
1823,1.2847493069401139e-08,8.301457299353387e-08
1824,4.210556348027694e-09,1.7852758205094688e-07
1825,6.516027784009282e-08,1.1623184903442052e-07
1826,2.906634755106552e-08,1.2947736927060305e-07
1827,1.474763688946723e-08,1.0231173064312316e-07
1828,1.3024667566696735e-07,7.52128692660392e-08
1829,6.858540846366168e-09,6.429882093428319e-08
1830,6.992679768558219e-08,1.8368830723147767e-07
1831,4.365537531469954e-08,1.8865359407982396e-07
1832,1.3529969367098715e-09,1.3665269271712077e-07
1833,8.108540172635514e-09,1.7954624365046357e-07
1834,4.387229601832132e-08,1.6335429542380098e-07
1835,6.882410019670715e-08,1.6336269936800818e-07
1836,2.9571300075303952e-08,2.1304778030639682e-07
1837,2.435261814426326e-08,1.5307359824134892e-07
1838,5.680945602826171e-08,1.3192418180096865e-07
1839,5.523265411699896e-08,1.545116079526565e-07
1840,1.9109066218270243e-08,1.1783924325214912e-07
1841,2.6966304744746594e-08,1.2969507956483994e-07
1842,9.391571076378114e-09,9.726984018243456e-08
1843,1.063243981747064e-08,1.2463582521604621e-07
1844,1.756339607084101e-08,1.4325145336613332e-07
1845,2.2320911785556063e-08,1.210909470472643e-07
1846,2.3418005756781213e-08,1.1357732709882384e-07
1847,4.314578827546711e-08,1.0678582729184427e-07
1848,4.1835152453373325e-08,8.367030446265744e-08
1849,1.256912218750017e-08,9.217356655710773e-08
1850,2.4440385715251978e-08,1.4800011882698527e-07
1851,7.094382636907426e-09,1.2382922598419555e-07
1852,3.776116352938175e-08,1.0872610900491964e-07
1853,3.5234398509942366e-08,1.021200359829777e-07
1854,4.78001130344019e-08,7.377843758149538e-08
1855,4.2455496895854594e-08,1.1516053888271927e-07
1856,3.313401081284084e-08,9.940203460345742e-08
1857,2.3919394687155204e-08,9.860648386705861e-08
1858,1.5170395550878624e-08,7.438387372715738e-08
1859,2.2405563404603868e-08,1.6396798585560646e-07
1860,2.1512764458719857e-08,1.588282856346268e-07
1861,1.4147891413962554e-08,1.0658077886915862e-07
1862,2.48489247234307e-08,1.0797987393118547e-07
1863,1.548332484446746e-08,1.2286767159253031e-07
1864,1.7261020501813107e-08,6.952355535716492e-08
1865,1.6473956032658776e-08,9.83730470416333e-08
1866,2.8707117127879656e-08,1.1726126913913504e-07
1867,2.135237053835226e-08,1.1209994354999253e-07
1868,3.062721931623713e-08,8.298988074528779e-08
1869,2.5882651910613674e-08,9.522862320920922e-08
1870,1.834895568819661e-08,7.798306533857158e-08
1871,1.0621176826930423e-08,8.709365673098546e-08
1872,1.5118347462816928e-08,8.042961141541127e-08
1873,2.2148216927142528e-08,7.243065258677461e-08
1874,2.8080662239915455e-08,4.600448999525497e-08
1875,1.4303817685856757e-08,1.0069887679264866e-07
1876,1.8138044621807126e-08,5.9250946371491864e-08
1877,1.1751150386096754e-08,9.710161164022679e-08
1878,1.932508364443919e-08,7.971596893696642e-08
1879,2.5659166347224982e-08,8.369775317262906e-08
1880,2.695495404658743e-08,8.664092709942395e-08
1881,1.4642266288333872e-08,8.227558789819511e-08
1882,1.7304001120876933e-08,6.52227738484612e-08
1883,2.4013488364449387e-08,6.951273068267483e-08
1884,3.1027976632458376e-08,8.252121563856463e-08
1885,1.5469525438405185e-08,6.832373999898778e-08
1886,2.2587123282846733e-08,6.582533274013258e-08
1887,3.852065377785152e-08,5.484296639046704e-08
1888,3.360525724360741e-08,6.657645590379957e-08
1889,2.255449160770695e-08,8.58323723207377e-08
1890,1.7696843102044113e-08,5.767860233873989e-08
1891,4.0157585701194876e-08,8.222743996810777e-08
1892,3.259626435436758e-08,8.525176653506605e-08
1893,2.0322774685332945e-08,6.09683223906643e-08
1894,1.260307880279754e-08,9.389293786910002e-08
1895,9.629782971032341e-09,6.138986741177632e-08
1896,2.9485144881213898e-08,7.902018683836332e-08
1897,7.57472740087195e-09,9.322742000605899e-08
1898,2.602843285348655e-08,8.657282979385172e-08
1899,1.0502398950507086e-08,9.507435194677782e-08
1900,1.661137050135153e-08,7.111743016707806e-08
1901,2.235495566438317e-09,6.091725568424522e-08
1902,1.8659078726557254e-08,7.856454331545137e-08
1903,9.720396265677778e-09,5.562226768063283e-08
1904,2.2573425795258117e-08,1.1286712719993375e-07
1905,9.289366220688322e-09,6.863809387525066e-08
1906,6.687439879637935e-09,7.819160519062507e-08
1907,2.571421719999023e-08,6.839981647743798e-08
1908,1.4243027868232616e-08,8.005564300361812e-08
1909,1.8153245739949142e-08,1.21021638044283e-07
1910,1.0688301244066167e-08,9.24538081648052e-08
1911,1.4897047262429908e-08,8.19337624413663e-08
1912,2.865181703004538e-08,9.637429432274303e-08
1913,2.1742258216050914e-08,8.909023074821221e-08
1914,1.339348720819089e-08,1.0580855125397193e-07
1915,1.4136914638918086e-08,8.835571518872598e-08
1916,1.4283700444650549e-08,1.1426960178084755e-07
1917,1.754627876326964e-08,1.315970923343457e-07
1918,1.378365155346728e-08,1.2749878131046444e-07
1919,1.2890988054792274e-08,1.1601889049472902e-07
1920,2.8774480576032602e-08,9.465289352306172e-08
1921,1.5902769490150348e-08,1.0223208768422865e-07
1922,2.1396013683006032e-08,8.927302097561096e-08
1923,1.4862327812892318e-08,9.023556124532206e-08
1924,1.8048273875415077e-08,1.1602462102189293e-07
1925,1.319781373076978e-08,1.4187649455266182e-07
1926,2.1177663178661987e-08,1.6607746911034837e-07
1927,1.6723837870102898e-08,1.0368778857738903e-07
1928,1.3711249469139375e-08,6.398583130007296e-08
1929,1.559656914729146e-08,1.1140406641629852e-07
1930,1.6805765667982087e-08,8.823026687032609e-08
1931,1.4826963656844327e-08,9.238338805062085e-08
1932,1.4247397928102146e-08,9.644391862906332e-08
1933,2.5235457501437963e-08,9.75006315684368e-08
1934,3.5944740517379614e-09,6.3502378466751e-08
1935,1.4361940969820353e-08,8.497481474023516e-08
1936,1.9399543305098632e-08,8.851041943813698e-08
1937,5.036447148221157e-09,1.120609480764756e-07
1938,9.075649898271365e-09,8.427389452947409e-08
1939,1.3764645423464117e-08,1.2235240376412548e-07
1940,1.2678914584896006e-08,6.846614031275067e-08
1941,2.066051907334554e-08,1.0330259314628165e-07
1942,6.068423541449874e-09,1.2743689481453657e-07
1943,2.3225881884414434e-08,1.422585294008627e-07
1944,0.0,9.960876923287287e-08
1945,1.3071024262956144e-08,1.0456819232729231e-07
1946,1.1136883415474585e-08,1.211136062551077e-07
1947,1.549713202209091e-08,7.271731661262493e-08
1948,1.087188805648509e-08,1.021957469760082e-07
1949,8.835307596655184e-09,6.87190588877229e-08
1950,1.0635361258337639e-08,8.401935502888591e-08
1951,1.4925962243950153e-08,1.1301085667270172e-07
1952,1.2653764258629963e-08,7.065018525764799e-08
1953,1.0773827607835074e-08,5.8178669881669975e-08
1954,1.563605800392054e-08,5.863521668203475e-08
1955,1.1262729415761896e-08,1.0136456474185707e-07
1956,1.5698054856017052e-08,1.1163061586216827e-07
1957,2.0320586824329467e-08,1.0955446771987454e-07
1958,2.0680608225909225e-08,8.685855323875558e-08
1959,2.712761748568937e-08,6.123090745546733e-08
1960,1.3841666590685975e-08,8.09737468188132e-08
1961,2.779263619245853e-08,8.963125530669913e-08
1962,1.331810878246742e-08,7.483508523975502e-08
1963,1.422531736849919e-08,9.052474325699222e-08
1964,9.734349160073208e-09,6.996563595151883e-08
1965,1.1491290807796872e-08,5.855086371298057e-08
1966,8.862519607077957e-09,8.973301124370892e-08
