year,bonnes_ADJ huiles_NOUN,bonnes_ADJ tuiles_NOUN
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,8.951360541686881e-09,0.0
1803,3.1205427575287104e-08,7.801356893821776e-09
1804,0.0,0.0
1805,1.1371510844071508e-08,1.1371510844071508e-08
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,9.360507036149102e-09
1811,7.521229861140455e-09,7.521229861140455e-09
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,2.8757416448144113e-09,0.0
1814,0.0,9.440030979135372e-09
1815,0.0,0.0
1816,2.3176038865813098e-09,4.6352077731626196e-09
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,0.0
1819,1.035105001712111e-09,4.140420006848444e-09
1820,1.0679833017945839e-08,0.0
1821,9.86148829262845e-10,0.0
1822,5.012807946513931e-09,9.023054303725075e-09
1823,1.4824030003524058e-08,1.3835761869529506e-08
1824,9.263223965660927e-09,0.0
1825,1.7610886082763955e-09,8.805443041381977e-10
1826,0.0,7.0463874735082754e-09
1827,5.530363722527909e-09,3.6869092223668076e-09
1828,1.1006761724274838e-08,0.0
1829,1.714635211591542e-09,3.429270423183084e-09
1830,0.0,1.0436835395921662e-08
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,9.334530925997342e-10,2.8003592777992026e-09
1835,6.050470346963266e-09,7.563087933704082e-10
1836,0.0,0.0
1837,0.0,1.1828414692161004e-08
1838,3.1560809521380406e-09,6.312161904276081e-09
1839,3.4957374772659477e-09,4.194885327990505e-09
1840,4.458782232319436e-09,0.0
1841,7.704658244733764e-09,1.0914932957462042e-08
1842,6.708265054555795e-09,2.683306021822318e-09
1843,3.5441467538532834e-09,3.5441467538532834e-09
1844,5.488561161115513e-09,0.0
1845,1.1160455892778032e-09,8.37034175305007e-09
1846,1.7563503984519002e-09,1.1709002656346001e-09
1847,5.393223645455691e-10,5.393223645455691e-10
1848,0.0,8.84974404868899e-09
1849,0.0,8.379414939696517e-10
1850,0.0,1.3577992064028876e-08
1851,3.8696632564949596e-09,0.0
1852,5.208436348880241e-09,1.9531636752390114e-08
1853,3.5831591027601917e-09,3.5831591027601917e-09
1854,5.195664454227256e-10,6.754363734984281e-09
1855,0.0,3.1841622671890946e-09
1856,2.5885946719483854e-09,0.0
1857,5.857811125054013e-09,9.763018171682347e-10
1858,1.468102750479261e-09,8.808616946964776e-09
1859,3.055304009791371e-09,5.601390462572908e-09
1860,1.8308735638683515e-09,9.154367819341758e-10
1861,1.0375120318428799e-08,9.431927239234028e-09
1862,1.8071945051545413e-09,3.162590411776023e-09
1863,1.548332484446746e-08,2.9967726078439227e-09
1864,1.1986819536957682e-08,3.835782358407869e-09
1865,2.8241067262513297e-09,1.1767110841276462e-08
1866,1.556996132023869e-08,9.731225825149181e-10
1867,5.82337378318698e-09,5.338092634588065e-09
1868,8.89177353968762e-09,2.4699371437009177e-09
1869,4.883519366671862e-09,2.441759683335931e-09
1870,2.2936195165357276e-09,1.7202146374017957e-09
1871,4.248470908407853e-09,4.248470908407853e-09
1872,2.4189357183956872e-09,6.047339518033823e-09
1873,1.7958013742713774e-08,0.0
1874,4.182226565063729e-09,5.377148060148329e-09
1875,6.293679799540541e-09,8.010138330405425e-09
1876,0.0,6.04601479992084e-10
1877,3.710889595609501e-09,4.9478527941460015e-09
1878,3.6234530931267273e-09,6.039088673581716e-10
1879,7.331190321480108e-09,1.221865053580018e-09
1880,7.059631101924424e-09,1.2835692508872398e-09
1881,0.0,1.3945015142624584e-09
1882,1.3310770263785798e-09,6.655385131892899e-09
1883,8.21514056781325e-09,4.423537092179686e-09
1884,5.281357573494461e-09,2.6406787867472303e-09
1885,7.7347630522695e-09,3.2228177904158883e-09
1886,7.744156427236248e-09,1.936039106809062e-09
1887,5.876032105334161e-09,3.264462256069578e-09
1888,6.974675947901687e-09,1.268122939990235e-09
1889,0.0,4.385595886446936e-09
1890,1.9663159989136147e-09,6.554386478008212e-10
1891,1.7210394887001712e-08,0.0
1892,7.522214851007902e-09,5.641661360300532e-09
1893,7.390100087434348e-09,6.158416554491453e-10
1894,3.150769645188234e-09,5.671385139294216e-09
1895,5.416753268150387e-09,2.4074457982692365e-09
1896,7.076434549446731e-09,1.179405795248556e-09
1897,4.661370844871726e-09,2.330685422435863e-09
1898,2.26334195829736e-09,1.13167097914868e-09
1899,1.1055156790007459e-09,4.9748205555033564e-09
1900,1.142031713641245e-08,5.710158568206225e-09
1901,3.353243460679778e-09,1.0618603774048552e-08
1902,3.928227076954727e-09,7.365425602756659e-09
1903,5.400220270956879e-09,7.020286574288548e-09
1904,8.061937784020756e-09,1.0749250378694342e-09
1905,3.6125313851442797e-09,1.0321518084666081e-09
1906,1.18316245689698e-08,2.572092316910357e-09
1907,1.2342823652033985e-08,2.5714217422034835e-09
1908,9.822778146428846e-10,4.911389073214423e-09
