year,toutes_DET erreurs_NOUN,toutes_DET terreurs_NOUN
1800,9.432493897065797e-09,0.0
1801,1.6668277424969347e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,1.950339223455444e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,2.945896149242344e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,4.212228166267096e-08,0.0
1811,3.259199843341776e-08,0.0
1812,8.00162425207418e-09,0.0
1813,3.163315653864629e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,4.5852800667489646e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,4.172412104708201e-08,0.0
1819,2.0702100145264524e-08,0.0
1820,8.306536791735653e-09,0.0
1821,5.9168927535324656e-09,0.0
1822,1.1028177482330648e-08,1.0025615893027862e-09
1823,2.3718449426723964e-08,0.0
1824,2.5263338088166165e-08,3.3684450784221553e-09
1825,4.3146670236637874e-08,0.0
1826,5.460950447400137e-08,1.7615968683770689e-09
1827,2.3964910056406552e-08,0.0
1828,1.7427371545863934e-08,1.8344602503717056e-09
1829,4.200856196234781e-08,0.0
1830,2.5048405349892278e-08,0.0
1831,2.9623292263636358e-08,0.0
1832,8.117981842303834e-09,2.705993873419743e-09
1833,1.1583628278799551e-08,0.0
1834,2.8937046536725575e-08,0.0
1835,2.193295500774184e-08,0.0
1836,5.2421849527917175e-08,0.0
1837,3.200629672406308e-08,0.0
1838,1.7042836475411605e-08,0.0
1839,1.2584655095793096e-08,0.0
1840,1.1465439264668476e-08,0.0
1841,2.1829865914924085e-08,0.0
1842,1.542900918138912e-08,0.0
1843,1.4176587015413133e-08,0.0
1844,1.975882035765153e-08,5.488561272137815e-10
1845,2.2878934136105755e-08,0.0
1846,1.6978054739880122e-08,0.0
1847,1.5640348571821505e-08,0.0
1848,1.4481399079890878e-08,0.0
1849,1.005529792763582e-08,0.0
1850,7.467895635215882e-09,0.0
1851,3.8696632564949596e-09,0.0
1852,1.8229526776991634e-08,0.0
1853,1.6124215962420863e-08,0.0
1854,1.6626126253527218e-08,5.7152309551611324e-09
1855,1.8574279891936385e-08,5.306937111981824e-10
1856,2.329735160344626e-08,0.0
1857,2.0990489346672803e-08,0.0
1858,1.712786601437699e-08,0.0
1859,8.147477359443656e-09,0.0
1860,2.4259074749011234e-08,0.0
1861,8.960331421281609e-09,0.0
1862,1.490935469528054e-08,0.0
1863,1.3984938207478592e-08,0.0
1864,2.3014694150447212e-08,0.0
1865,1.2708479601997169e-08,0.0
1866,1.2650593461671633e-08,0.0
1867,2.2808213984149006e-08,0.0
1868,1.5807597009143137e-08,0.0
1869,3.906815315701806e-09,0.0
1870,2.752343419842873e-08,0.0
1871,1.805600113868877e-08,0.0
1872,2.237515595027162e-08,0.0
1873,8.979006427267677e-09,0.0
1874,1.0754296786430473e-08,0.0
1875,2.174180363523348e-08,0.0
1876,1.3905833817773328e-08,0.0
1877,1.2369631874342701e-08,0.0
1878,1.3889904337816006e-08,0.0
1879,1.0385853066452455e-08,0.0
1880,2.1178892639639457e-08,0.0
1881,1.8128519130300447e-08,0.0
1882,2.1297232422057277e-08,0.0
1883,1.3270612164717477e-08,0.0
1884,2.3105940272216685e-08,0.0
1885,9.023890079618013e-09,0.0
1886,2.19417763958063e-08,0.0
1887,3.133883869077536e-08,0.0
1888,1.6485598663962264e-08,0.0
1889,1.8795409673089125e-08,0.0
1890,1.8352281472289178e-08,6.554386478008212e-10
1891,1.8485238229004608e-08,0.0
1892,2.4447198043731078e-08,6.268512375839919e-10
1893,9.23762488724833e-09,0.0
1894,2.016492639533851e-08,0.0
1895,1.3240951890480801e-08,0.0
1896,1.592197840238896e-08,1.179405795248556e-09
1897,1.806281169081103e-08,0.0
1898,2.1501748381780317e-08,0.0
1899,3.703477347016815e-08,0.0
1900,1.86877908703309e-08,0.0
1901,1.4530721514915967e-08,0.0
1902,1.1293653123800595e-08,0.0
1903,2.214090244478939e-08,0.0
1904,2.1498500757388683e-08,0.0
1905,5.160759153355343e-09,0.0
1906,6.173021205313489e-09,0.0
1907,1.697138252154673e-08,0.0
1908,2.357466755142923e-08,0.0
1909,1.3752458727367411e-08,0.0
1910,1.0153886287334046e-08,0.0
1911,2.0217422402879492e-08,0.0
1912,1.0939784800267915e-08,2.6047106693738442e-09
1913,1.1136278177392711e-08,0.0
1914,1.0714790221744153e-08,0.0
1915,2.238344798399794e-08,0.0
1916,2.4172416956957932e-08,0.0
1917,8.773139548168274e-09,0.0
1918,1.9526839700745313e-08,0.0
1919,1.1970202606903513e-08,9.207848372660976e-10
1920,2.1959472018551196e-08,2.2716695191604686e-09
1921,1.438822039290244e-08,3.0290989716519334e-09
1922,2.1396013294427974e-08,0.0
1923,2.441668023323018e-08,0.0
1924,3.9964035636330664e-08,0.0
1925,2.3096174528447477e-08,0.0
1926,3.78968714187522e-08,0.0
1927,1.5608915049369898e-08,2.2298449753321847e-09
1928,1.4853853258500749e-08,0.0
1929,7.798284684668033e-09,0.0
1930,1.2604324695075775e-08,2.100720708497761e-09
1931,9.124285327288817e-09,1.1405356659111021e-09
1932,1.53433514782364e-08,0.0
1933,1.4911860191091364e-08,0.0
