year,ces_DET airs_NOUN,ces_DET terres_NOUN
1800,4.181738866293472e-07,6.750520924470038e-06
1801,4.238504889286787e-07,5.900570670291927e-06
1802,3.6700578220916213e-07,3.7237660421851615e-06
1803,4.0567054426787763e-07,3.674439028600318e-06
1804,7.786330371573058e-07,4.219449607489878e-06
1805,6.02690079176682e-07,2.405074539524321e-06
1806,7.405889590472725e-07,3.5559797169071317e-06
1807,3.3024679169102455e-07,4.9081505153480975e-06
1808,3.3991110370834576e-07,4.874325270520785e-06
1809,3.998484032763372e-07,5.329053180957999e-06
1810,4.5632472378542843e-07,3.840148053768644e-06
1811,4.061464267124393e-07,3.3494545732537517e-06
1812,6.027890364634914e-07,3.6700785130960867e-06
1813,6.039057396378666e-07,2.88149311700181e-06
1814,7.457624633389059e-07,2.253020824127816e-06
1815,2.643279088943018e-07,3.463235003664522e-06
1816,3.036061109185084e-07,2.71391411388322e-06
1817,4.110145797042719e-07,2.424051956495532e-06
1818,3.9339886015454795e-07,3.212757349047024e-06
1819,4.5958660876976865e-07,3.619762139805971e-06
1820,5.541646501683317e-07,2.710304244146755e-06
1821,5.216727174683911e-07,2.376618766675165e-06
1822,4.4513735986129177e-07,2.867326116984259e-06
1823,3.014219576158439e-07,2.6179236840562226e-06
1824,3.7558162802042716e-07,1.952856081288701e-06
1825,5.151184421237076e-07,2.393319462612453e-06
1826,3.8138572833190665e-07,2.809746945331426e-06
1827,2.7283126868837826e-07,2.9439970319344866e-06
1828,3.6689204740980585e-07,2.7590281490574853e-06
1829,3.7379047057584103e-07,3.082914076912857e-06
1830,5.89681221185856e-07,3.0548618497050484e-06
1831,2.806417143119688e-07,2.701956020700891e-06
1832,4.4784197683611637e-07,2.4448655011610754e-06
1833,5.965568661281395e-07,3.652318099511831e-06
1834,3.2857548859510644e-07,2.780756744868995e-06
1835,4.363901808801529e-07,2.7053166036239418e-06
1836,3.790502951517283e-07,2.6822513490287747e-06
1837,2.845777480331435e-07,2.6899206204689108e-06
1838,3.1118958787601514e-07,2.831004650261093e-06
1839,4.1809022022221143e-07,2.743454786013899e-06
1840,3.40141363963653e-07,3.1115928322833497e-06
1841,3.6918153512033314e-07,2.608026733241786e-06
1842,3.481589700982113e-07,2.4190004523916286e-06
1843,3.691819294715515e-07,3.21749436693608e-06
1844,3.9956725217393796e-07,2.9007046293827443e-06
1845,3.7499130378648715e-07,2.2599922431254527e-06
1846,3.4424467898475086e-07,3.376290919732128e-06
1847,2.998632275819091e-07,2.946318062413411e-06
1848,3.041093847855336e-07,3.504498522488575e-06
1849,3.578010066007664e-07,2.4543306835767e-06
1850,2.966791328162799e-07,2.194882398498521e-06
1851,2.7281125092315506e-07,2.949328319346023e-06
1852,5.546984809257083e-07,2.664115157813285e-06
1853,3.702597801691354e-07,2.5058224935037288e-06
