year,grosses_ADJ humeurs_NOUN,grosses_ADJ tumeurs_NOUN
1800,0.0,2.829747991484055e-08
1801,7.143547975374531e-09,1.4287095950749062e-08
1802,1.5664880947952042e-08,0.0
1803,1.950339223455444e-09,2.145373123596528e-08
1804,0.0,2.4718509905596875e-08
1805,0.0,1.9900143755080535e-08
1806,0.0,4.610670600868616e-08
1807,0.0,2.8469551160981155e-09
1808,0.0,1.5862518409903714e-08
1809,2.259030518203531e-09,3.6144488291256494e-08
1810,0.0,9.360507036149102e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,1.0668832928217853e-08
1813,0.0,4.026038169513413e-08
1814,0.0,0.0
1815,0.0,8.091670444798638e-09
1816,0.0,4.1716869958463576e-08
1817,0.0,2.9580593974287694e-08
1818,0.0,3.2187177367859476e-08
1819,5.175524897538253e-09,2.898294049202832e-08
1820,0.0,2.3732962262101864e-09
1821,0.0,1.577838126820552e-08
1822,0.0,4.010246357211145e-09
1823,9.882686891060644e-10,7.906149512848515e-09
1824,2.5263338088166165e-09,9.263223965660927e-09
1825,0.0,8.805443485471187e-09
1826,0.0,1.4973572604048968e-08
1827,0.0,8.295545583791863e-09
1828,0.0,1.6510142586412258e-08
1829,0.0,6.858540846366168e-09
1830,0.0,1.3567886369969528e-08
1831,0.0,1.5591206548037917e-08
1832,0.0,2.1647950987357945e-08
1833,0.0,8.108539617524002e-09
1834,0.0,9.334530925997342e-10
1835,0.0,1.2100940693926532e-08
1836,0.0,9.409050427677812e-09
1837,0.0,1.7394727436226276e-08
1838,0.0,1.2624323808552163e-08
1839,0.0,2.4470162784950844e-08
1840,1.9109065441114126e-09,1.2739377552861697e-08
1841,0.0,1.0914932957462042e-08
1842,0.0,7.379091560011375e-09
1843,0.0,2.953455480181333e-09
1844,0.0,2.7442805805577564e-09
1845,0.0,1.3392547515422848e-08
1846,0.0,3.5127007969038004e-09
1847,0.0,8.089835468183537e-09
1848,0.0,1.6090443422100975e-09
1849,0.0,3.3517659758786067e-09
1850,2.0366988096043315e-09,2.308258650884909e-08
1851,0.0,1.3543821175687754e-08
1852,0.0,1.3021090872200602e-08
1853,0.0,4.120633079196523e-08
1854,5.7152309551611324e-09,1.9743524148907454e-08
1855,0.0,1.1144567935161831e-08
1856,0.0,9.318940286107136e-09
1857,0.0,1.757343248698362e-08
1858,0.0,2.1532175153993194e-08
1859,0.0,9.675129142294736e-09
1860,3.661747127736703e-09,2.3801355553132453e-08
1861,0.0,2.3108222890755314e-08
1862,0.0,1.9879140111811466e-08
1863,1.9978483312144135e-09,1.3485475847119233e-08
1864,2.8768367688059016e-09,1.7740493518658695e-08
1865,6.118897832863013e-09,4.047886292823932e-08
1866,4.865612912574591e-10,2.3841502994059738e-08
1867,0.0,3.299911810472622e-08
1868,0.0,2.321740844024589e-08
1869,0.0,5.07885999923019e-08
1870,0.0,1.77755516972411e-08
1871,0.0,6.797553453452565e-08
1872,0.0,5.1402384571019866e-08
1873,0.0,6.524744833313889e-08
1874,2.3898436563030145e-09,4.421210775262807e-08
1875,0.0,5.378235456987568e-08
1876,6.04601479992084e-10,5.683254045152353e-08
1877,0.0,7.607323482261563e-08
1878,0.0,2.2344627481629686e-08
1879,0.0,4.581993806596074e-08
1880,3.8507077526617195e-09,6.225310755780811e-08
1881,6.972507571312292e-10,3.6257038260600893e-08
1882,6.655385131892899e-10,4.19289278852375e-08
1883,6.319338941018771e-10,3.728409936343269e-08
1884,3.300848483434038e-09,6.667713847718915e-08
1885,2.5782542767416317e-09,5.414333870135124e-08
1886,0.0,5.8726520535401505e-08
1887,0.0,5.876032105334161e-08
1888,1.9021844099853524e-09,8.87686084638517e-08
1889,0.0,7.894072240333116e-08
1890,0.0,8.25852666253013e-08
