year,six_DET airs_NOUN,six_DET terres_NOUN
1800,0.0,0.0
1801,7.143547975374531e-09,9.524730337773235e-09
1802,2.2378401354217203e-09,8.951360541686881e-09
1803,1.1702034896643454e-08,7.801356893821776e-09
1804,4.943701892301533e-09,1.2359254952798437e-08
1805,5.685755422035754e-09,1.421438877713399e-08
1806,2.305335211616466e-08,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,1.8128591960930862e-08
1809,2.259030518203531e-09,1.129515236897305e-08
1810,2.574139479349924e-08,0.0
1811,1.0028306629550343e-08,1.0028307073639553e-08
1812,2.6672082320544632e-09,0.0
1813,4.026038280535715e-08,0.0
1814,5.349350962191579e-08,3.1466771410748606e-09
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,0.0
1819,2.070210003424222e-09,1.7596784473994376e-08
1820,2.4919611263385377e-08,1.1866481131050932e-09
1821,9.86148829262845e-10,4.930744257336528e-09
1822,3.107940926838637e-08,0.0
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,0.0,0.0
1825,3.522177216552791e-09,2.641632912414593e-09
1826,1.7615968683770689e-09,0.0
1827,6.452091305675367e-09,9.217273055917019e-10
1828,3.6689205562545624e-09,1.8344602503717056e-09
1829,1.714635211591542e-09,5.143905745796928e-09
1830,1.5655253093882493e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,3.4750886612755494e-09,2.3167257001688313e-09
1834,1.8669061851994684e-09,9.334530925997342e-10
1835,1.663879345414898e-08,0.0
1836,5.376600054063374e-09,0.0
1837,1.1132625932219753e-08,9.74104708006962e-09
1838,1.2624323808552163e-09,3.787297142565649e-09
1839,2.7266753299670654e-08,3.4957374772659477e-09
1840,3.184844388215424e-08,1.9109065441114126e-09
1841,3.2102742686390684e-09,6.420548537278137e-10
1842,8.720744570922534e-09,0.0
1843,4.7255288571079745e-09,2.3627644285539873e-09
1844,9.879410178825765e-09,0.0
1845,0.0,0.0
1846,5.854501328173001e-10,7.610851504580296e-09
1847,4.853901280910122e-09,0.0
1848,0.0,3.218088684420195e-09
1849,5.02764896381791e-09,0.0
1850,2.0366988096043315e-09,1.3577992064028876e-09
1851,1.2898877521649865e-09,2.579775504329973e-09
1852,7.161599979710331e-09,6.510545436100301e-10
1853,5.3747388761848924e-09,0.0
1854,3.63696517347023e-09,2.0782658372020535e-09
1855,2.1227748447927297e-09,5.306937111981824e-10
1856,1.0354378465748937e-09,5.177189232874468e-10
1857,1.025116930231107e-08,1.4644527812635033e-09
1858,8.319249067412215e-09,5.3830437884982985e-09
1859,1.5276520048956854e-09,5.092173349652285e-10
1860,6.408057418028079e-09,0.0
1861,5.6591566433006335e-09,6.13075279431996e-09
1862,4.51798634615308e-09,7.680577063240435e-09
1863,1.598278676073761e-08,9.989241656072068e-10
1864,9.589456118064277e-09,1.4384183844029508e-09
1865,2.3534221793575227e-09,1.4120533076145136e-09
1866,3.8924903300596725e-09,9.731225825149181e-10
1867,6.308654931785895e-09,4.85281148598915e-10
1868,1.4819622196071691e-09,2.9639244392143382e-09
1869,2.4417595723136287e-09,4.883519144627257e-10
1870,1.0894693147633916e-08,0.0
1871,0.0,0.0
1872,3.628403577593531e-09,0.0
1873,2.3944017879529156e-09,5.986004469882289e-10
1874,5.974609140757536e-10,7.766991494406739e-09
1875,1.888104017577774e-08,1.1443054281912168e-09
1876,3.627608879952504e-09,3.02300739996042e-09
1877,8.658742389755503e-09,1.0514186854493346e-08
1878,1.9325083977506097e-08,1.8117265465633636e-09
1879,6.10932526790009e-10,0.0
1880,6.417846254436199e-09,6.417846254436199e-10
1881,5.5780060570498335e-09,0.0
1882,1.3310770263785798e-09,1.9966155395678697e-09
1883,1.0742876255243061e-08,6.951272890631799e-09
1884,1.386356363042296e-08,2.6406787867472303e-09
1885,6.445635691854079e-10,2.5782542767416317e-09
1886,5.162771099520569e-09,1.2906927859823725e-08
1887,9.140494583448344e-09,2.6115698492645834e-09
1888,1.268122939990235e-09,1.268122939990235e-09
1889,5.0121093386756854e-09,5.012109394186837e-09
1890,3.932631831293776e-09,0.0
1891,6.374220040683554e-10,6.374220040683554e-10
1892,3.1342561879199593e-09,0.0
1893,4.926733243593162e-09,3.695050043717174e-09
1894,3.780923574225881e-09,0.0
1895,3.0093072478365457e-09,4.213029924926559e-09
1896,1.7691086373616827e-09,2.358811590497112e-09
1897,3.4960281336537946e-09,5.826713445067355e-09
1898,6.2241901632731356e-09,5.09251940616906e-09
1899,7.738609753005221e-09,7.185851913504848e-09
1900,2.595526460424935e-09,3.114631885736685e-09
1901,4.470991132876634e-09,1.1177477832191585e-09
1902,3.4371986368242347e-09,9.820567692386817e-10
1903,2.7001101354784396e-09,4.860198465905796e-09
1904,9.13686282189019e-09,1.6123875568041512e-09
1905,8.773290316455018e-09,1.5482277682110634e-09
1906,9.259531807970234e-09,2.0576738091193647e-09
1907,2.057137349353866e-09,2.5714217422034835e-09
1908,9.331639017062798e-09,3.929111258571538e-09
1909,3.3005901345362076e-09,2.4204328319399337e-08
1910,4.809735609789811e-09,8.01622634938326e-09
1911,3.7242617878519013e-09,7.4485240197930125e-09
1912,4.167536982180309e-09,0.0
1913,1.3787773367468503e-08,1.590896969716482e-09
1914,1.33934876522801e-08,6.696743715117748e-10
1915,2.00272951556002e-08,0.0
1916,1.0987462051303964e-09,0.0
1917,2.1932848870420685e-09,2.1932848870420685e-09
1918,1.1486376294556067e-09,1.1486376294556067e-09
1919,1.8415696745321952e-09,2.762354567309444e-09
1920,6.057785384427916e-09,5.300562211374427e-09
1921,3.7863738810983705e-09,3.0290989716519334e-09
1922,0.0,8.853522359686394e-09
1923,0.0,2.1231896241147297e-09
1924,6.445812328337297e-09,0.0
1925,1.0998177923937646e-09,7.698724324711748e-09
1926,3.3438415369957397e-09,3.343841648018042e-09
1927,1.2264147031260109e-08,0.0
1928,1.3711249802206282e-08,0.0
1929,1.1140406375176326e-09,6.684243825105796e-09
1930,2.100720708497761e-09,2.100720708497761e-09
1931,0.0,0.0
1932,5.4797684168050864e-09,3.287861094491973e-09
1933,0.0,1.1470662197865522e-09
1934,1.1981580172459871e-09,0.0
1935,3.590485242455088e-09,0.0
1936,3.6374143697059935e-09,0.0
1937,6.295558963032022e-09,0.0
1938,0.0,0.0
1939,0.0,3.058810094103137e-09
1940,0.0,0.0
1941,1.1806010391524069e-08,2.9515025978810172e-09
1942,0.0,0.0
1943,2.9032352077962287e-09,0.0
1944,0.0,6.4263723231761105e-09
1945,6.535512131478072e-09,0.0
1946,4.1763312808029696e-09,0.0
1947,1.1920870957027319e-09,0.0
