year,aviez_VERB en_PRON,aviez_VERB tant_ADV
1800,0.0,1.5720821977538435e-08
1801,0.0,4.524246932646747e-08
1802,1.3427040812530322e-08,6.937304419807333e-08
1803,5.851017448321727e-09,3.510610468993036e-08
1804,2.4718509461507665e-09,4.449331569844617e-08
1805,0.0,2.842877755426798e-08
1806,2.881669125542885e-09,4.034336598124355e-08
1807,0.0,3.9857372513552036e-08
1808,0.0,2.945896149242344e-08
1809,0.0,2.710836710662079e-08
1810,0.0,7.254392642153107e-08
1811,0.0,5.515568801683912e-08
1812,0.0,5.601137331723294e-08
1813,0.0,2.0130190847567064e-08
1814,0.0,1.2586708564299443e-08
1815,0.0,3.776112933451259e-08
1816,0.0,4.1716869958463576e-08
1817,0.0,2.9580593974287694e-08
1818,1.1921177378582115e-09,5.2453181353939726e-08
1819,0.0,4.6579724966022695e-08
1820,0.0,1.8986369809681491e-07
1821,9.86148829262845e-10,1.5679766818266216e-07
1822,0.0,5.81485721795616e-08
1823,0.0,6.522573414713406e-08
1824,8.421112696055388e-10,5.136878655775945e-08
1825,0.0,5.547429182684027e-08
1826,8.807984341885344e-10,3.963592831723872e-08
1827,0.0,2.3043183361437514e-08
1828,0.0,3.210305266065916e-08
1829,0.0,2.4004892296147773e-08
1830,0.0,3.5485243188304594e-08
1831,0.0,3.274153215215847e-08
1832,0.0,4.6001897402447867e-08
1833,1.6217079235048004e-08,4.6334513115198206e-08
1834,0.0,2.6136685704614138e-08
1835,0.0,8.546289365085613e-08
1836,0.0,4.435695188931277e-08
1837,0.0,9.114837240531415e-08
1838,6.312161904276081e-10,3.471689069556305e-08
1839,0.0,3.146163862766116e-08
1840,0.0,4.649872664685972e-08
1841,0.0,1.6693427085101575e-08
1842,2.683306021822318e-09,4.159124245006751e-08
1843,0.0,3.18973185642335e-08
1844,0.0,4.226192018563779e-08
1845,1.674068439427856e-09,5.524425716885162e-08
1846,5.854501328173001e-10,2.2247105491146613e-08
1847,8.089835468183537e-09,1.1325769655456952e-08
1848,0.0,3.218088551193432e-08
1849,8.379414939696517e-10,1.5920887719289567e-08
1850,2.0366988096043315e-09,3.055048125588655e-08
1851,0.0,2.902247508984601e-08
1852,6.510545436100301e-10,2.539112742283578e-08
1853,2.9859659189668264e-09,2.7470886010405593e-08
1854,1.0391328908454511e-09,7.170017113367066e-08
1855,5.306937111981824e-10,3.767925349507095e-08
1856,3.1063134287023786e-09,4.4523826403519706e-08
1857,0.0,3.124165814938351e-08
1858,1.468102750479261e-09,3.670256987220455e-08
1859,5.092173349652285e-10,3.3099126994784456e-08
1860,9.154367819341758e-10,3.066713105681629e-08
1861,4.715963730639317e-10,4.0557289082698844e-08
1862,1.2198563048571032e-08,4.9697849391350246e-08
1863,7.991393324857654e-09,2.5472566278494924e-08
1864,2.3973640850272204e-09,2.7329949858767577e-08
1865,1.882737743486018e-09,4.23615986733239e-08
1866,9.731225825149181e-10,5.7900795269461014e-08
1867,0.0,3.0572714138088486e-08
1868,4.93987406535723e-10,2.7169306804353255e-08
1869,0.0,2.9301114423674335e-08
1870,1.1468097582678638e-09,3.1537268796455464e-08
1871,3.18635318130589e-09,2.0180236148803488e-08
1872,0.0,2.2979889990892843e-08
1873,1.1972008939764578e-09,4.309923085088485e-08
1874,0.0,2.5690820137924675e-08
1875,2.8607636259891933e-09,1.2587359599081083e-08
