year,aux_ADP ailes_NOUN,aux_ADP tel_ADJ
1800,1.0155650898013846e-06,3.144164484325529e-09
1801,5.738650088460417e-07,4.7623651688866175e-09
1802,6.646384917985415e-07,6.713520406265161e-09
1803,1.7045964568751515e-06,1.950339223455444e-09
1804,8.280700711793543e-07,0.0
1805,7.192480744322438e-07,0.0
1806,7.146539608982039e-07,2.881669125542885e-09
1807,3.843389322355506e-07,2.8469551160981155e-09
1808,5.121327149026911e-07,2.2660739951163578e-09
1809,1.549694939484425e-06,6.7770917766551975e-09
1810,4.844062466702326e-07,0.0
1811,8.950263961082783e-07,0.0
1812,8.001624749454095e-07,0.0
1813,5.521424046861512e-07,5.751483289628823e-09
1814,4.940283133691992e-07,0.0
1815,3.803085348863533e-07,0.0
1816,1.3627510337954618e-06,0.0
1817,1.782620030699178e-06,4.670620223912181e-09
1818,9.715759921036238e-07,0.0
1819,6.29343835711893e-07,2.070210003424222e-09
1820,7.440283944504245e-07,2.3732962262101864e-09
1821,5.828139575392299e-07,1.97229765852569e-09
1822,6.456496350892849e-07,3.0076847679083585e-09
1823,8.726412743520484e-07,2.964806067318193e-09
1824,5.81056774251465e-07,1.6842225392110777e-09
1825,9.210493430167332e-07,8.805443041381977e-10
1826,7.980033958077115e-07,1.7615968683770689e-09
1827,5.428974076404636e-07,3.6869091668556564e-09
1828,7.007637954359325e-07,1.1923991571904935e-08
1829,7.398650723189348e-07,1.714635211591542e-09
1830,6.71088552950394e-07,2.0873671680021744e-09
1831,8.107427404979717e-07,0.0
1832,1.148694348973578e-06,4.058990810129615e-09
1833,8.988895814354692e-07,2.3167257001688313e-09
1834,1.3255034332360083e-06,4.667265462998671e-09
1835,9.332850510190838e-07,2.2689263801112247e-09
1836,1.0786803619211582e-06,1.3441500135158435e-09
1837,8.913058202608681e-07,2.7831562610103333e-09
1838,9.878533031582037e-07,6.312161904276081e-10
1839,9.669210536689121e-07,4.1948851059459e-09
1840,9.242418399502128e-07,2.5478754661634184e-09
1841,1.0221512800612231e-06,2.5682194149112547e-09
1842,8.821368764344584e-07,6.708265054555795e-10
1843,8.358279046660755e-07,1.7720733214154905e-09
1844,8.123070762700024e-07,6.037417454862748e-09
1845,8.102491011463542e-07,1.674068439427856e-09
1846,8.969095937061411e-07,1.1709002656346001e-09
1847,6.768495559583698e-07,1.6179670936367074e-09
1848,7.667096042496269e-07,8.045221711050488e-10
1849,7.524714522588738e-07,5.865590679832167e-09
1850,1.1079642057154615e-06,2.7155984128057753e-09
1851,8.132742395083881e-07,1.9348316282474798e-09
1852,1.2532799686937324e-06,4.557381805270211e-09
1853,1.0701701667059638e-06,2.9859659189668264e-09
1854,1.049524215090969e-06,4.1565315633818045e-09
1855,1.1240093016340325e-06,1.0613874223963649e-09
1856,9.173979309551328e-07,2.0708756931497874e-09
1857,1.3243533629747617e-06,1.464452725752352e-09
1858,9.694372007373886e-07,4.404308362460085e-09
1859,1.0606997644657667e-06,5.092173349652285e-10
1860,1.265133627192938e-06,1.3731551729012637e-09
1861,1.0422279688171443e-06,1.4147891747029462e-09
1862,1.0788951039231165e-06,3.1625904395315985e-09
1863,9.864376591117718e-07,1.4983863039219614e-09
1864,1.0543606840940356e-06,1.4384183844029508e-09
1865,1.0053820034272576e-06,9.41368871743009e-10
1866,1.016426519839797e-06,2.9193677475447544e-09
1867,1.2685249561883438e-06,1.455843445796745e-09
1868,9.701912162540793e-07,2.469937032678615e-09
1869,1.2760635605957305e-06,1.953407657850903e-09
1870,1.0040319584625479e-06,6.880858549607183e-09
1871,1.4572255366829268e-06,0.0
1872,8.94401498641173e-07,3.023669647994609e-09
1873,1.0738892459727367e-06,5.986004469882289e-10
1874,1.160269141209369e-06,1.7923826867161097e-09
1875,1.1088319098462307e-06,6.865832569147301e-09
1876,1.2382237954966513e-06,2.418405919968336e-09
1877,1.3829248892704982e-06,6.184815992682502e-10
1878,1.1794340579740492e-06,4.227361960484899e-09
1879,1.169935790912291e-06,3.054662633950045e-09
1880,1.0127361917966482e-06,1.2835692508872398e-09
1881,1.2187943490005182e-06,4.183504487276224e-09
1882,9.630341977207024e-07,1.9966155395678697e-09
1883,1.2689232455898036e-06,0.0
1884,1.24508009236024e-06,3.300848483434038e-09
1885,1.1569915621123528e-06,2.5782542767416317e-09
1886,1.3558727545159854e-06,4.5174246565693466e-09
1887,1.1458263173835803e-06,1.3057849246322917e-09
1888,1.2243727454119835e-06,1.268122939990235e-09
1889,1.1114352993502052e-06,3.7590820456401275e-09
1890,1.2505769717563453e-06,3.277193239004106e-09
1891,1.4431234234280055e-06,2.549687905251119e-09
1892,1.1095266465588338e-06,6.268512375839919e-10
1893,9.896575656753726e-07,1.2316833108982905e-09
1894,1.2577871864039025e-06,1.8904617871129403e-09
1895,1.135712562216895e-06,1.8055843487019274e-09
1896,1.078566633339051e-06,2.9485144326102386e-09
1897,1.3092624939758934e-06,5.826713556089658e-10
1898,1.1328026392476431e-06,1.6975064687230201e-09
1899,1.0513454231642072e-06,3.3165470370022376e-09
1900,1.0740289475563713e-06,1.5573159428683425e-09
1901,1.0657724880402952e-06,5.588738916095792e-10
1902,1.5948601408410923e-06,3.4371986368242347e-09
1903,1.1178455689986322e-06,1.6200660812870638e-09
1904,1.1157722035193274e-06,1.6123875568041512e-09
1905,9.738352204635703e-07,5.160759042333041e-10
1906,1.1898498719631334e-06,2.572092261399206e-09
1907,1.202396827437724e-06,3.0857060240307987e-09
1908,1.1600700560165933e-06,4.4202501658929805e-09
1909,1.246522870701483e-06,3.85068837926994e-09
1910,1.3563454785980866e-06,5.344150677544235e-10
1911,1.4545903219698175e-06,4.25629931299909e-09
1912,1.423734850902747e-06,4.167536982180309e-09
1913,1.3596865429121863e-06,4.772690798127144e-09
1914,1.275729729854902e-06,2.678697486047099e-09
1915,1.212240440473522e-06,1.1780761921542648e-09
1916,1.7909563680973406e-06,1.0987462051303964e-09
1917,1.5342027346321174e-06,5.483212328627474e-09
1918,1.4886343535636115e-06,5.743188147278033e-09
1919,1.5634926704422014e-06,9.207848372660976e-10
1920,1.2107998497157269e-06,6.057785384427916e-09
1921,1.2956970891764286e-06,6.058197943303867e-09
1922,1.623883548518279e-06,7.377935651309286e-09
1923,1.5722218762448392e-06,3.1847844361720945e-09
1924,1.2105235374093581e-06,1.289162443462999e-09
1925,1.5760388905050604e-06,2.1996355847875293e-09
1926,1.3408804484527082e-06,2.229227691330493e-09
1927,1.4248709305775265e-06,6.689534814974252e-09
1928,1.5105226225387014e-06,4.5704163786908225e-09
1929,1.350217242901408e-06,8.912325100141061e-09
1930,1.308748981188046e-06,2.100720708497761e-09
1931,1.6013121211244652e-06,0.0
1932,1.2603467496319354e-06,3.2878609834696704e-09
1933,1.1883606134688307e-06,3.4411986593596566e-09
1934,1.3515222434534735e-06,2.3963160344919743e-09
1935,1.4278162723257992e-06,0.0
1936,1.2706701113529562e-06,2.424942913137329e-09
1937,1.4832337598136291e-06,5.0364472592434595e-09
1938,1.2718874913275613e-06,1.2965214457594243e-09
1939,1.2525827060017036e-06,1.5294050470515685e-09
1940,1.3769301290267322e-06,2.5357829169792012e-09
1941,1.1038620080228156e-06,0.0
1942,1.8539033845854647e-06,3.034211770724937e-09
1943,1.5387146206080615e-06,0.0
1944,2.1046368630095458e-06,0.0
1945,1.941047102604898e-06,2.178504043826024e-09
1946,1.2877021973167757e-06,1.3921104269343232e-09
1947,1.2481151756560394e-06,2.3841741914054637e-09
1948,1.2426567508327935e-06,1.0871887834440486e-09
1949,1.0808525985339656e-06,1.9634016634739737e-09
1950,1.6676246161750896e-06,3.190608444114673e-09
1951,1.2239289759463645e-06,1.0661401761424827e-09
1952,1.3065012467450288e-06,0.0
1953,1.2670021334315607e-06,1.0773827385790469e-09
1954,1.908576280129637e-06,9.772536113672459e-10
1955,1.4801103844774843e-06,1.8771215692936494e-09
1956,1.3369510298844034e-06,8.72114158667614e-10
1957,1.2907990054600305e-06,8.835037701437898e-10
1958,1.1672135755702584e-06,8.272243445794913e-10
1959,1.103706445348962e-06,1.5501495642666896e-09
1960,9.253154331645419e-07,0.0
1961,1.1256018410676916e-06,6.948159270159238e-10
1962,1.4110852504245486e-06,6.341956404476434e-10
1963,9.084804943881863e-07,6.466053248388448e-10
1964,1.2192272436095664e-06,0.0
1965,1.0665012872834723e-06,2.73602163147757e-09
1966,1.0319295746796797e-06,1.6617224263271169e-09
1967,1.0107188224139918e-06,4.437301859283593e-09
1968,1.2122331440878042e-06,1.3474247273492779e-09
1969,8.411335450375645e-07,1.3625273131978588e-09
1970,8.061565175410124e-07,2.29936253370866e-09
1971,9.500896887004728e-07,2.569198631618974e-09
1972,1.0583492837668018e-06,2.0520587451500205e-09
1973,9.736317636566127e-07,1.102640756478479e-09
1974,7.842046780837109e-07,4.5004573956397564e-09
1975,7.310694556394992e-07,1.1422960355389478e-09
1976,8.8388258490113e-07,3.428116124304381e-09
1977,9.044367459409841e-07,1.7630345516828072e-09
1978,8.334649663765958e-07,5.940591352171509e-10
