year,nous_PRON irons_VERB,nous_PRON tirons_VERB
1800,1.2293683084863005e-06,9.715468110016445e-07
1801,1.559674529971744e-06,9.715224749129447e-07
1802,1.4702609689720703e-06,9.55557766246784e-07
1803,1.2326144087637658e-06,1.4256979739002418e-06
1804,1.3916520913426211e-06,7.786330229464511e-07
1805,1.2053801299316547e-06,8.130630533287331e-07
1806,1.178602644813509e-06,9.912942076084619e-07
1807,1.1160063877468929e-06,9.394951661079176e-07
1808,8.724385054392769e-07,8.089883891670979e-07
1809,1.1588826396291552e-06,8.787628829054484e-07
1810,1.5632046483915474e-06,6.996979209361598e-07
1811,1.168297757203618e-06,7.897291709468846e-07
1812,1.0162063404095534e-06,6.828053216167973e-07
1813,9.202373121297569e-07,8.914799138892704e-07
1814,9.723232352598643e-07,6.702422581383871e-07
1815,9.224504680105383e-07,1.1274394040583502e-06
1816,8.806894697954704e-07,7.717620711389372e-07
1817,1.0135246100162476e-06,9.419084037176617e-07
1818,1.192117764503564e-06,9.930340638675261e-07
1819,8.736286360999657e-07,8.705232801275997e-07
1820,1.5450158059593377e-06,6.704561954506971e-07
1821,1.8224030213787046e-06,8.678109750803742e-07
1822,1.7334289452719531e-06,7.529237535663924e-07
1823,1.4221186006579956e-06,8.696764339788388e-07
1824,1.5275898874733684e-06,6.602152211598877e-07
1825,1.6166792988769885e-06,6.921078465893515e-07
1826,1.2718729180960509e-06,8.746328319375607e-07
1827,1.3097745181767095e-06,7.429121922086779e-07
1828,1.3419076765330828e-06,8.750375286581402e-07
1829,1.366564220006694e-06,1.0707897217798745e-06
1830,1.4381959942966205e-06,7.827626689049794e-07
1831,1.5840665525956865e-06,7.483778858841106e-07
1832,1.7913679073444655e-06,6.670274785847141e-07
1833,1.4803877093072515e-06,7.726280131237218e-07
1834,1.5868702121224487e-06,7.682318994284287e-07
1835,1.8816962210621568e-06,8.054688578340574e-07
1836,1.8387972602340596e-06,7.849835768070079e-07
1837,1.5390854457564274e-06,6.596080837084628e-07
1838,1.5048194086375588e-06,7.2652981941701e-07
1839,1.7247969026357168e-06,7.124313015083317e-07
1840,1.4325430299777508e-06,6.36331897396758e-07
1841,1.6828257685119752e-06,8.995188380822583e-07
1842,1.840747955839106e-06,7.231509826510774e-07
1843,1.5990007682376017e-06,9.38017464591212e-07
