year,serons_VERB en_ADP,serons_VERB tant_ADV
1800,1.1947824418712116e-07,0.0
1801,3.1907845254863787e-07,0.0
1802,1.969299319171114e-07,1.1189200677108602e-08
1803,1.735801902214007e-07,0.0
1804,2.743754521361552e-07,0.0
1805,2.1605870870189392e-07,2.842877711017877e-09
1806,2.1612518708025164e-07,0.0
1807,1.2811298688575334e-07,0.0
1808,2.4020383193601447e-07,2.2660739951163578e-09
1809,1.5361408145508904e-07,0.0
1810,1.661489932303084e-07,1.4040760554223652e-08
1811,1.9555199060050654e-07,0.0
1812,1.5736529235255148e-07,0.0
1813,1.6104152678053651e-07,0.0
1814,2.2656075771010364e-07,0.0
1815,1.8341120266995858e-07,0.0
1816,1.1588019788177917e-07,0.0
1817,1.5413046128287533e-07,0.0
1818,2.419999134417594e-07,0.0
1819,2.0081037632735388e-07,5.175524897538253e-09
1820,2.7292907134324196e-07,3.5599443393152796e-09
1821,2.554125444476085e-07,9.86148829262845e-10
1822,3.2382740755565464e-07,0.0
1823,1.90735860883251e-07,2.174191138237802e-08
1824,3.0400215678128006e-07,8.421112696055388e-10
1825,3.0642942761005543e-07,1.7610886970942374e-08
1826,1.814444772207935e-07,0.0
1827,1.9171928045125242e-07,0.0
1828,2.540727450650593e-07,0.0
1829,3.146355709304771e-07,0.0
1830,2.3065406651312514e-07,6.262101504006523e-09
1831,2.104812892866903e-07,0.0
1832,2.3677446847614192e-07,0.0
1833,2.1429713115139748e-07,0.0
1834,2.623003183543915e-07,4.667265685043276e-09
1835,3.569777504708327e-07,2.117664621437143e-08
1836,3.4410240346005594e-07,6.72075017860152e-09
1837,2.5535459258207993e-07,1.3915781860163179e-09
1838,2.777351255645044e-07,8.2058102535143e-09
1839,3.076249015521171e-07,6.9914749545318955e-09
1840,2.9173173743402003e-07,7.64362617644565e-09
1841,2.638845444380422e-07,0.0
1842,2.837596184690483e-07,0.0
1843,2.7408066216594307e-07,7.678984559333912e-09
1844,2.294218575116247e-07,0.0
1845,3.381618114417506e-07,1.674068439427856e-09
1846,2.76917916153252e-07,0.0
1847,2.7721168294192466e-07,7.011190739092399e-09
1848,2.654923036971013e-07,0.0
1849,2.161889085527946e-07,8.379414939696517e-10
1850,2.6884424642048543e-07,2.5119284430275002e-08
1851,2.1863597510218824e-07,2.579775504329973e-09
