year,dix_DET toutes_ADJ,dix_DET août_NOUN
1800,0.0,0.0
1801,0.0,9.524730337773235e-09
1802,1.3427040812530322e-08,0.0
1803,0.0,0.0
1804,1.2359254952798437e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,2.881669125542885e-09
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,3.105315005136333e-09
1820,2.3732962262101864e-09,2.3732962262101864e-09
1821,0.0,1.1833785507064931e-08
1822,3.0076847679083585e-09,2.105379337535851e-08
1823,0.0,1.9765373338032077e-08
1824,2.5263338088166165e-09,1.51580028528997e-08
1825,1.7610886082763955e-09,5.283265824829186e-09
1826,0.0,5.284790716153509e-09
1827,0.0,2.7651819167751057e-09
1828,0.0,0.0
1829,1.714635211591542e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,5.791814139399776e-09
1834,0.0,0.0
1835,0.0,1.5126175867408165e-09
1836,5.376600054063374e-09,6.720750067579218e-10
1837,0.0,2.7831563720326358e-09
1838,0.0,1.2624323808552163e-09
1839,0.0,0.0
1840,1.9109065441114126e-09,5.095750932326837e-09
1841,0.0,1.2841097074556274e-09
1842,2.0124795163667386e-09,6.708265054555795e-10
1843,0.0,9.451057936260554e-09
1844,0.0,6.586273526565378e-09
1845,4.464182357111213e-09,1.1160455892778032e-09
1846,1.1709002656346001e-09,0.0
1847,2.6966118227278457e-09,1.0786447290911383e-09
1848,0.0,1.6090443422100975e-09
1849,6.703531951757213e-09,5.02764896381791e-09
1850,0.0,6.788996032014438e-10
1851,3.8696632564949596e-09,0.0
1852,4.557382027314816e-09,0.0
1853,4.180352064508952e-09,1.7915795513800958e-09
1854,5.195664454227256e-10,0.0
1855,5.306937111981824e-10,5.306937111981824e-10
1856,1.5531567143511893e-09,1.5531567143511893e-09
1857,4.881509085841174e-10,4.881509085841174e-10
1858,9.787352039936081e-10,1.9574704079872163e-09
1859,2.036869339860914e-09,0.0
1860,1.8308735638683515e-09,4.577183909670879e-10
1861,0.0,6.602349444939648e-09
1862,0.0,4.517986262886353e-10
1863,2.4973103585068657e-09,4.994620828036034e-10
1864,4.794727948009836e-10,1.9178911792039344e-09
1865,5.6482134525026595e-09,0.0
1866,4.865612912574591e-10,4.865612912574591e-10
1867,9.7056229719783e-10,2.91168689159349e-09
1868,0.0,0.0
1869,0.0,9.767038289254515e-10
1870,0.0,0.0
1871,1.0621177271019633e-09,0.0
1872,3.628403577593531e-09,0.0
1873,3.591602570907071e-09,5.986004469882289e-10
