year,ses_DET eaux_NOUN,ses_DET taux_NOUN
1800,7.29131750176748e-06,0.0
1801,6.350613830363727e-06,0.0
1802,9.786074770090636e-06,2.2378401354217203e-09
1803,7.477600348693159e-06,9.751696339321825e-09
1804,9.55370396127364e-06,2.4718509461507665e-09
1805,6.604005093890919e-06,2.842877711017877e-09
1806,6.0025169261734845e-06,0.0
1807,7.222724946132075e-06,0.0
1808,6.415255626279759e-06,0.0
1809,6.250737442314858e-06,2.259030518203531e-09
1810,6.056247940477988e-06,0.0
1811,6.232593023014488e-06,0.0
1812,7.428174882306848e-06,2.6672082320544632e-09
1813,6.306501518338337e-06,0.0
1814,5.210897285223837e-06,0.0
1815,4.34252993386508e-06,5.394447111228828e-09
1816,5.0037069598829476e-06,0.0
1817,4.376371066427964e-06,1.556873407970727e-09
1818,5.666135464821309e-06,0.0
1819,4.332949657737117e-06,1.035105001712111e-09
1820,5.325676738721086e-06,1.1866481131050932e-09
1821,4.665470214604284e-06,0.0
1822,5.791798173504503e-06,3.0076847679083585e-09
1823,4.699217583947757e-06,9.882686891060644e-10
1824,4.559190628583565e-06,1.6842225392110777e-09
1825,5.242760593660023e-06,4.4027217427355936e-09
1826,6.053727787502794e-06,8.807984341885344e-10
1827,4.123807855194173e-06,0.0
1828,4.8539817782966566e-06,0.0
1829,5.31022510585899e-06,2.571952872898464e-09
1830,5.133879398044883e-06,3.1310507520032616e-09
1831,5.466277002597053e-06,1.5591206103948707e-09
1832,5.0480313689149625e-06,1.3529969367098715e-09
1833,7.221234170629032e-06,0.0
1834,5.709932622721681e-06,0.0
1835,5.971057817077963e-06,7.563087933704082e-10
1836,5.223366983386768e-06,5.3765999430410716e-09
1837,5.070911015536694e-06,0.0
1838,5.344507485460781e-06,1.2624323808552163e-09
1839,4.167618499195669e-06,1.3982950353153e-09
1840,4.895742691246596e-06,6.369688665408546e-10
1841,4.443019719246877e-06,2.5682194149112547e-09
1842,4.607236263609593e-06,0.0
1843,4.280147635427056e-06,1.1813822142769936e-09
1844,3.849127978128308e-06,1.6465684371524958e-09
1845,4.2560396451563065e-06,2.2320911785556063e-09
1846,4.042533049641861e-06,1.7563503984519002e-09
1847,3.7757957898065797e-06,2.6966118227278457e-09
1848,4.015369981402728e-06,4.02261068899179e-09
1849,3.980222174959636e-06,0.0
1850,3.942370099707659e-06,1.3577992064028876e-09
1851,4.119901419130656e-06,1.9348316282474798e-09
1852,4.3275595658087695e-06,1.3021090872200602e-09
1853,4.1289937087185535e-06,2.388772735173461e-09
1854,4.1461400144271465e-06,2.0782657816909023e-09
1855,4.2359970109373535e-06,5.306937111981824e-09
1856,4.155729655508367e-06,4.141751386299575e-09
1857,4.142448688071454e-06,1.9526036343364694e-09
1858,3.978558709150093e-06,6.361778659424999e-09
1859,4.140446108635842e-06,1.5276520048956854e-09
1860,3.826067924705967e-06,4.119465518703791e-09
1861,4.2778507634011476e-06,8.017138064531082e-09
1862,4.4524755082875345e-06,9.487771485128249e-09
1863,3.770439263917069e-06,2.4973103585068657e-09
1864,4.161344378417198e-06,6.712618905169165e-09
1865,3.77018224639869e-06,4.706844247692743e-09
1866,3.763064995609966e-06,3.4059290943133647e-09
1867,3.5808896683420244e-06,9.7056229719783e-10
1868,3.7473885186045663e-06,1.975949626142892e-09
1869,3.711474647616342e-06,4.883519144627257e-10
