year,vos_DET tissus_NOUN
1800,6.288328968651058e-09
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,2.070210003424222e-09
1820,1.1866481131050932e-09
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,1.714635211591542e-09
1830,6.262101504006523e-09
1831,1.5591206103948707e-09
1832,0.0
1833,4.6334514003376626e-09
1834,6.534171426153534e-09
1835,1.5126175867408165e-08
1836,1.3441500135158435e-09
1837,9.045257876039159e-09
1838,5.049729523420865e-09
1839,6.29232765891885e-09
1840,0.0
1841,1.2841097074556274e-09
1842,5.366612043644636e-09
1843,1.1813822142769936e-09
1844,1.866110821424627e-08
1845,8.928364714222425e-09
1846,1.0538101946622191e-08
1847,3.235934187273415e-09
1848,1.045878850192139e-08
1849,5.02764896381791e-09
1850,2.0366988096043315e-09
1851,1.2898877521649865e-09
1852,1.9531636308300904e-09
1853,2.388772735173461e-09
1854,4.676098175337984e-09
1855,1.4859423913549108e-08
1856,5.177189343896771e-09
1857,4.881508974818871e-09
1858,6.8511463169329545e-09
1859,2.5460866748261424e-09
1860,1.144296013499968e-08
1861,1.1789909493131745e-08
1862,6.325180851307621e-09
1863,6.493007298491449e-09
1864,9.589455896019672e-10
1865,4.706844358715045e-10
1866,9.731225825149181e-10
1867,1.0190904120577216e-08
1868,1.0867722721741302e-08
1869,6.348574999037737e-09
1870,5.103303468700915e-08
1871,1.0621177271019633e-09
1872,2.116568786902917e-08
1873,1.1972008939764578e-09
1874,5.377148060148329e-09
1875,6.293679799540541e-09
1876,0.0
1877,6.184815992682502e-10
1878,4.22736201599605e-09
1879,9.163987790827832e-09
1880,1.4119262203848848e-08
1881,1.1853263259808955e-08
1882,7.320923423037584e-09
1883,4.423537092179686e-09
1884,7.2618666635548834e-09
1885,1.933690763067375e-09
1886,5.808117542471791e-09
1887,4.570247291724172e-09
1888,3.804368819970705e-09
1889,1.0650732740202784e-08
1890,9.831579994568074e-09
1891,1.4660705871527568e-08
1892,1.002961980134387e-08
1893,3.695050043717174e-09
1894,6.301539290376468e-10
1895,7.824199066419624e-09
1896,1.7691086373616827e-09
1897,1.7480140668268973e-09
1898,7.355861253444118e-09
1899,2.2110313580014918e-09
1900,4.15284251431558e-09
1901,5.029864968975062e-09
1902,1.4730852093691738e-09
1903,0.0
1904,4.837162670412454e-09
1905,6.708986699521802e-09
1906,1.0288368712529916e-08
1907,4.6285588695127444e-09
1908,6.384805573134145e-09
1909,1.6502950117569526e-09
1910,3.740905363258662e-09
1911,1.5961122423746588e-09
1912,2.6047106693738442e-09
1913,3.181793939432964e-09
1914,4.018046340092951e-09
1915,0.0
1916,0.0
1917,1.2063066989753679e-08
1918,0.0
1919,1.8415696745321952e-09
1920,3.028892692213958e-09
1921,7.572747762196741e-09
1922,0.0
1923,3.1847844361720945e-09
1924,3.867487219366694e-09
1925,5.499089184013428e-09
1926,5.57306911730393e-09
1927,7.804457524684949e-09
1928,2.2852082448565625e-09
1929,1.4482528065684619e-08
1930,5.2518016602221e-09
1931,3.4216069977333063e-09
1932,1.0959536611565568e-09
1933,0.0
1934,7.188948103475923e-09
1935,1.196828414151696e-08
1936,2.424942913137329e-09
1937,3.777335333410292e-09
1938,7.779128452511941e-09
1939,9.176430282309411e-09
1940,2.5357829169792012e-09
1941,0.0
1942,0.0
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,6.535512131478072e-09
1946,6.960552134671616e-09
1947,1.7881306213496373e-08
1948,5.435943917220243e-09
1949,0.0
1950,2.1270722960764488e-09
1951,2.1322803522849654e-09
1952,2.1089607837865287e-09
1953,0.0
1954,2.9317608341017376e-09
1955,4.6928039232341234e-09
1956,1.744228317335228e-09
1957,0.0
1958,2.4816730892496253e-09
1959,2.325224457422337e-09
1960,1.3841666701708277e-09
1961,2.779263652552544e-09
1962,1.8391673961559718e-08
1963,4.526237051827309e-09
1964,7.30076216148845e-09
1965,1.6416130677043839e-09
1966,2.215629901769489e-09
1967,3.9442684118817795e-09
1968,2.6948494546985557e-09
1969,2.2708788183223305e-09
1970,3.6789800095249348e-09
1971,4.110718099248345e-09
1972,2.5650733759263744e-09
1973,3.859242703185828e-09
1974,1.6876715580593782e-09
1975,3.4268881066168433e-09
1976,2.8567634369203176e-09
1977,8.22749424145286e-09
1978,2.970295565063452e-09
1979,6.437170463335917e-09
1980,1.1370301367108482e-09
