year,quelques_DET airs_NOUN,quelques_DET terres_NOUN
1800,3.4585809238762977e-07,1.0721601313434803e-06
1801,2.809795489611133e-07,8.167455973762117e-07
1802,2.0140561218795483e-07,6.243573693609505e-07
1803,1.8918289867997373e-07,6.728670527422764e-07
1804,4.202146612897195e-07,6.8223086202579e-07
1805,3.041879172993589e-07,5.51518279934271e-07
1806,3.429186392622796e-07,3.2562860940998917e-07
1807,1.992868590150465e-07,7.772187284871279e-07
1808,1.450287356874469e-07,6.412989583814976e-07
1809,1.8524050737767084e-07,9.058712251430734e-07
1810,2.948559623128233e-07,7.301195559250573e-07
1811,1.5293167621166504e-07,5.841488839308795e-07
1812,5.521121124729689e-07,4.640942421474392e-07
1813,5.665210984773239e-07,4.054795583741111e-07
1814,2.6117418938653714e-07,3.9648131178182666e-07
1815,1.8071397800412115e-07,5.960864220000417e-07
1816,1.2515060632267705e-07,5.863538063977103e-07
1817,2.6933909857973504e-07,5.324507146298174e-07
1818,2.0266001610202977e-07,6.711623079524998e-07
1819,1.9977527188075328e-07,8.21873361367409e-07
1820,2.254631459308598e-07,5.244984642160944e-07
1821,2.1004970562898961e-07,4.496838688083926e-07
1822,1.9148926355683216e-07,4.401245234930684e-07
1823,1.8381797417532653e-07,5.386064341195151e-07
1824,1.1957980028398651e-07,5.187405704987214e-07
1825,2.932212508355292e-07,5.027908001054016e-07
1826,1.1186140369545683e-07,6.535524166295659e-07
1827,1.4931982822430356e-07,4.783764721016937e-07
1828,1.6051527040872315e-07,4.714562793495247e-07
1829,1.8603791507310063e-07,6.927126143807527e-07
1830,3.1832348135196753e-07,5.510649430107151e-07
1831,1.38761739654214e-07,4.1004870920957615e-07
1832,1.4882965615470312e-07,4.3972400476377516e-07
1833,3.104412300558579e-07,5.397970923581852e-07
1834,2.2962945855908856e-07,4.03251737779442e-07
1835,2.1101014624491654e-07,4.0916307142424557e-07
1836,1.8885307717653177e-07,3.3267712096218816e-07
1837,2.0456199401053254e-07,4.870523619970868e-07
1838,1.6979716122023092e-07,5.497892843209229e-07
1839,1.7059198764712846e-07,5.131742986108634e-07
1840,1.7389249640231697e-07,4.0383827126788674e-07
1841,1.489567313939233e-07,5.258429389698449e-07
1842,1.2678621041928295e-07,4.460996301247633e-07
1843,1.5417037246834298e-07,4.229348313788961e-07
1844,1.1306436009661525e-07,3.8859013518077745e-07
1845,6.807878349945895e-08,4.2577138303911966e-07
1846,8.313391930414582e-08,4.683601160238027e-07
1847,8.41342897572872e-08,4.735250263010471e-07
1848,7.642960653253539e-08,6.323544030073514e-07
1849,7.122502498901895e-08,3.636666168205238e-07
1850,7.53578577317171e-08,3.638901739932976e-07
1851,6.90089914101577e-08,3.1344271977928884e-07
1852,1.2109614822009007e-07,3.626373770160285e-07
1853,1.260077588938202e-07,4.1922961990792373e-07
1854,1.1534374833033212e-07,3.1745510575831304e-07
1855,9.127931832608738e-08,3.9483611402602037e-07
1856,9.991975602474668e-08,3.334109739405733e-07
1857,1.0446429238308852e-07,3.666013244085775e-07
1858,1.3506546281405463e-07,5.020911526543159e-07
1859,1.2934120241503422e-07,3.1113179410624525e-07
1860,1.281611448078479e-07,3.7532907448678543e-07
1861,1.4713807061639272e-07,3.28702681073878e-07
1862,1.486417464668932e-07,3.867396225487596e-07
1863,1.378515337435715e-07,3.6660516666842113e-07
1864,1.3808816845539695e-07,2.9103997711832363e-07
1865,9.225414704383539e-08,3.9772835602747136e-07
1866,1.0363755720277368e-07,3.474047489682164e-07
1867,1.2374669466908017e-07,3.2465310262352887e-07
1868,1.1015918943702019e-07,4.6434816558527103e-07
1869,1.2159963236335614e-07,2.593148735741124e-07
1870,1.536725093842506e-07,2.746609424342239e-07
1871,6.266494367856978e-08,4.407788578575378e-07
1872,8.829115505371021e-08,4.3298949492509564e-07
1873,8.200826018267549e-08,2.7296179450075897e-07
1874,9.499628728093512e-08,4.283794758919157e-07
1875,1.218685312665002e-07,3.0209662860158915e-07
1876,1.0520065596431039e-07,3.2104339631189305e-07
1877,1.9667715378535178e-07,3.432572892592134e-07
1878,2.9349971697456567e-07,3.333576987785136e-07
1879,1.3501609119614955e-07,3.3356916162574635e-07
1880,1.9574431320279473e-07,2.52863148197946e-07
1881,1.1922988063517437e-07,2.4961577538284985e-07
1882,1.1713477610086898e-07,3.134686386019325e-07
1883,1.2385904391010172e-07,3.703132502863582e-07
1884,1.3335427606619987e-07,2.9839671267239964e-07
1885,1.0248560755599101e-07,2.5009066328962604e-07
1886,9.292987668274577e-08,2.64592015852827e-07
1887,7.442974159221905e-08,2.480991350140016e-07
1888,8.179393273799462e-08,2.339686844265998e-07
1889,7.580815619689929e-08,3.207749994516007e-07
1890,6.554386655643896e-08,2.8839299837102317e-07
1891,8.350228242193225e-08,3.142490472285431e-07
1892,5.140180192597654e-08,2.6265065766750695e-07
1893,6.89742667425719e-08,2.722020158163474e-07
1894,1.0649601733803138e-07,3.049945087596484e-07
1895,6.861220569476245e-08,2.335222450966512e-07
1896,7.607167251677538e-08,2.3529145964928944e-07
1897,6.817254760704827e-08,2.4006059273773417e-07
1898,5.4320205666869015e-08,2.619818424420828e-07
1899,6.909473171390346e-08,2.719568570341835e-07
1900,8.772879833696123e-08,1.9933643535807732e-07
1901,6.985923667324201e-08,2.0678334156087885e-07
1902,5.990546014800202e-08,1.806984437635606e-07
1903,4.158169653045718e-08,2.2734926652390186e-07
1904,5.8045952933127865e-08,2.2842156610636266e-07
1905,5.212366521734069e-08,1.9920529403805176e-07
1906,4.835533462532737e-08,2.572092350217048e-07
1907,7.508551180812617e-08,2.4634219641939126e-07
1908,7.367083521003792e-08,2.750377978699703e-07
1909,7.206288454852938e-08,2.8550105746205645e-07
1910,5.4510337355040406e-08,2.2766081331226928e-07
1911,4.735132996813718e-08,2.3569256812905337e-07
1912,7.501566834378082e-08,2.563035153002602e-07
1913,1.2727175668914015e-07,2.041651052664406e-07
1914,8.370929860390675e-08,2.303679824677829e-07
1915,3.887651434109074e-08,1.8024566328378455e-07
1916,1.2086207812345151e-08,1.516269714230134e-07
1917,4.934891073560266e-08,1.359836696579464e-07
1918,3.79050408838566e-08,2.6074074455095797e-07
1919,5.7088659133341935e-08,2.1454286081024065e-07
1920,5.3762844842708546e-08,1.5068740921719836e-07
1921,1.1207665906454167e-07,1.605422470518647e-07
1922,1.1804696997685937e-07,1.992042628629065e-07
1923,6.900366411599634e-08,1.43315296963209e-07
1924,7.09039369439779e-08,1.7661525530954236e-07
1925,6.708888511397504e-08,1.7487103320945607e-07
1926,6.79914426982009e-08,2.2069353455833607e-07
1927,1.0814748030441024e-07,2.1629495661201759e-07
1928,8.798051664982154e-08,1.7596104084915964e-07
1929,8.800921280638363e-08,1.7267630258999134e-07
1930,1.0503603853351251e-07,1.5125189745113232e-07
1931,7.299428173013212e-08,1.573939183430184e-07
1932,9.425201463741928e-08,1.885040310511954e-07
1933,9.520649668637304e-08,1.8123646805534577e-07
1934,9.585264137967897e-08,1.4377895674044794e-07
1935,9.574627135577884e-08,2.1064179467344957e-07
1936,7.153581371710516e-08,1.721709437241259e-07
1937,4.910535889024459e-08,2.2664013377138303e-07
1938,5.963998495062128e-08,1.6854779261166186e-07
1939,3.211750687626136e-08,1.8658742106936188e-07
1940,7.100191878883777e-08,2.5357828459249276e-07
1941,1.1215709783130023e-07,2.0070217487955233e-07
1942,6.371844740726829e-08,2.214974585967866e-07
