year,dix_DET airs_NOUN,dix_DET terres_NOUN
1800,3.144164484325529e-09,9.432493897065797e-09
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,3.900678446910888e-09
1804,4.943701892301533e-09,9.887403784603066e-09
1805,0.0,2.842877711017877e-09
1806,1.4408345627714425e-08,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,9.360507036149102e-09
1811,0.0,0.0
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.401186100480345e-08,0.0
1818,1.1921177378582115e-09,0.0
1819,1.3456364911235141e-08,1.449147024601416e-08
1820,2.3732962262101864e-09,1.0679833017945839e-08
1821,9.86148829262845e-10,4.930744257336528e-09
1822,4.010246357211145e-09,1.0025615893027862e-09
1823,6.917880934764753e-09,7.906149512848515e-09
1824,5.052667617633233e-09,0.0
1825,7.044354433105582e-09,0.0
1826,1.5854372037438225e-08,6.1655889282974385e-09
1827,0.0,0.0
1828,9.172301251858528e-10,0.0
1829,0.0,0.0
1830,2.0873671680021744e-09,8.349468672008697e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,0.0
1833,1.7375443306377747e-08,0.0
1834,1.8669061851994684e-09,0.0
1835,0.0,2.2689263801112247e-09
1836,3.36037508930076e-09,8.064899859050456e-09
1837,2.7831563720326358e-09,5.5663127440652715e-09
1838,1.8936485712828244e-09,1.2624323808552163e-09
1839,6.9914749545318955e-09,6.9914751765765e-10
1840,1.2739377330817092e-09,0.0
1841,6.420548537278137e-10,6.420548537278137e-10
1842,6.708265054555795e-10,2.0124795163667386e-09
1843,3.5441467538532834e-09,2.953455480181333e-09
1844,2.7442805805577564e-09,9.879410178825765e-09
1845,0.0,1.674068439427856e-09
1846,1.7563503984519002e-09,0.0
1847,1.6179670936367074e-09,0.0
1848,2.413566457803995e-09,5.63165514222419e-09
1849,0.0,0.0
1850,3.394498016007219e-09,0.0
1851,0.0,1.9348316282474798e-09
1852,4.557382027314816e-09,6.510545436100301e-10
1853,1.7915795513800958e-09,0.0
1854,5.195664454227256e-10,3.63696517347023e-09
