year,ils_PRON iraient_VERB,ils_PRON tiraient_VERB
1800,4.4018303668735825e-08,2.0751485863002017e-07
1801,3.333655596016172e-08,1.452521409817109e-07
1802,6.489736392722989e-08,1.6336232988578558e-07
1803,2.730474935042082e-08,2.184379965797234e-07
1804,4.943701981119375e-08,3.386435736274507e-07
1805,3.1271653710973624e-08,1.0518647197699238e-07
1806,7.492339815229343e-08,1.9019016850307935e-07
1807,1.4234775314037051e-07,2.5337900311228623e-07
1808,4.7587552121086674e-08,2.719288723085356e-07
1809,6.099382510171836e-08,3.591858650509039e-07
1810,8.658469319300366e-08,1.2168658791722464e-07
1811,1.1031138136274876e-07,2.7577843297876825e-07
1812,4.5342538612658245e-08,3.467370817133997e-07
1813,7.18935417864941e-08,3.7384642581628214e-07
1814,9.125363931161701e-08,1.98240659443627e-07
1815,1.4295284911369777e-07,1.8341120266995858e-07
1816,3.476405829871965e-08,2.3176039576355834e-07
1817,1.2299299934070973e-07,2.2730352000621679e-07
1818,6.556647669242466e-08,2.8014767927686535e-07
1819,1.0454560817052538e-07,2.6498688221465727e-07
1820,5.933240565525466e-08,3.144617579664555e-07
1821,9.861488514673056e-08,3.2049838338821246e-07
1822,1.7945852448519872e-07,2.757044370582662e-07
1823,1.5021683541505126e-07,2.8956272046798404e-07
1824,1.583169142449492e-07,2.240015959387165e-07
1825,1.1182912929008637e-07,3.161153916408921e-07
1826,1.083382059618998e-07,3.567233548551485e-07
1827,1.7144127362200834e-07,3.3090010731484654e-07
1828,1.146537678131665e-07,3.8431943494288134e-07
1829,1.406000804671237e-07,3.7293315457986864e-07
1830,1.325478125036028e-07,4.477402484326376e-07
1831,1.7150326470094512e-07,2.7908258815045883e-07
1832,1.1229874452567401e-07,3.152482790369504e-07
1833,1.1583628811706603e-07,3.0349107760230254e-07
1834,2.146942126302065e-07,3.071060703518924e-07
1835,1.315977371518784e-07,4.205076820085196e-07
1836,1.4382405666424347e-07,3.7703408750644485e-07
1837,1.5724833524188853e-07,3.9659979478301466e-07
1838,2.0262039091001327e-07,4.336455319275956e-07
1839,1.1675763822438512e-07,3.6006097481333654e-07
1840,1.5924221052898702e-07,3.522437772573994e-07
1841,1.3483151661830561e-07,3.07544269162463e-07
1842,1.7508572103253073e-07,2.8375960781090726e-07
1843,9.805472633850343e-08,3.544146593981168e-07
1844,1.6026598670393355e-07,3.7541759567716326e-07
1845,1.4675999082669478e-07,3.0747055745905527e-07
1846,1.8558768566379058e-07,3.553682290657889e-07
1847,1.542461971482112e-07,3.629639486746328e-07
1848,1.3918233321419393e-07,3.668621140207051e-07
1849,2.0864743066617564e-07,2.857380536624987e-07
1850,1.7651390304962433e-07,3.224773053034369e-07
1851,1.496269819156737e-07,3.7342251602012766e-07
1852,1.6666996849323823e-07,3.0078719603920945e-07
1853,1.3616003879945993e-07,2.6873692604567623e-07
1854,1.501547006732551e-07,2.7744848551947143e-07
1855,1.4010314330903384e-07,3.3168358015700505e-07
1856,1.651523411361211e-07,3.137376722861518e-07
1857,1.5718458623581455e-07,2.621370427391412e-07
1858,1.321292524281148e-07,3.283656475616681e-07
1859,1.1050016368585602e-07,3.2488067347458127e-07
1860,1.2678799432563892e-07,3.2269145222585394e-07
1861,1.457232823298682e-07,2.4051415081771665e-07
1862,1.45479156721251e-07,2.498446427523504e-07
1863,1.4484400256975505e-07,3.051713370894049e-07
1864,1.3904710627343775e-07,2.517232218224308e-07
1865,1.4873628817468898e-07,2.6358328852893465e-07
1866,1.2018063610952368e-07,2.4620000793618146e-07
1867,1.766423434190756e-07,2.3439078944420544e-07
1868,8.1013935560037e-08,2.035228163776992e-07
1869,1.4357545641274783e-07,2.2122341292174497e-07
1870,1.2213524236415196e-07,2.540183601240642e-07
1871,1.9861601074921964e-07,3.51560956346475e-07
1872,1.5602135539083406e-07,3.047858960769645e-07
1873,1.568333232171426e-07,2.0472135986437934e-07
1874,1.5892460591970803e-07,2.3061991427653084e-07
1875,1.2873436139315686e-07,2.6891178350751943e-07
1876,1.5235957473436201e-07,2.41235984077548e-07
1877,1.6575306993615868e-07,2.4368174855737834e-07
1878,1.4433422190762712e-07,2.433752719355198e-07
1879,1.2340836796909116e-07,2.3826367723245312e-07
1880,1.431179743605071e-07,2.1178892950501904e-07
1881,1.5757867011245708e-07,2.022027256742831e-07
1882,1.3976308643748325e-07,2.0232370889772255e-07
1883,1.301783791873845e-07,2.3760714640275182e-07
1884,1.419364874521989e-07,2.6274754105770626e-07
1885,1.4824962679682585e-07,2.5589173446860514e-07
1886,1.1809839151055712e-07,2.684640900696422e-07
1887,1.1817353584575585e-07,2.513635983802942e-07
1888,9.510922005517841e-08,1.7690314280116581e-07
1889,1.2029062279594882e-07,2.462198693820028e-07
1890,1.382975582941981e-07,2.1236212432995671e-07
1891,1.0772431924266357e-07,1.9441370913142464e-07
1892,1.2662395043605557e-07,1.8053316175326017e-07
1893,9.915050558362282e-08,2.124653679658195e-07
1894,1.0460554999980332e-07,1.9597786860003907e-07
1895,1.0352017021375559e-07,2.130589518145598e-07
1896,1.444772070868794e-07,1.9990927491164712e-07
1897,1.3809310850376733e-07,2.4646998397770403e-07
1898,1.4994640551435623e-07,2.0992496985172693e-07
1899,1.5587771073910517e-07,1.6638010791325542e-07
1900,1.6299906224759297e-07,2.2684902312164468e-07
1901,1.402773452952033e-07,1.9951798080342087e-07
1902,1.4976365925178925e-07,1.7038685484749294e-07
1903,1.398657021312033e-07,1.7496713411446763e-07
1904,1.4081517818453904e-07,2.1014784223893912e-07
1905,1.3624404182621674e-07,1.8423909686759998e-07
1906,1.337487969266249e-07,1.8261855316836773e-07
1907,1.3371393059458114e-07,2.365707878482226e-07
1908,1.2867839416230709e-07,2.141365662566841e-07
1909,1.1277016298549825e-07,2.0408649348269137e-07
1910,1.309316930431237e-07,2.0788746724065277e-07
1911,1.2130452908820644e-07,1.6439956240787978e-07
1912,1.1252349985113597e-07,1.8024597991939117e-07
1913,1.1348397865873494e-07,1.511352074601291e-07
1914,1.1451431447540017e-07,2.16974495259592e-07
1915,1.4725952635075146e-07,4.2646359332820793e-07
1916,1.7689814413301974e-07,4.098323529433401e-07
1917,1.1076088490824532e-07,2.763538979877467e-07
1918,1.8148475078305637e-07,2.400652654444002e-07
1919,1.3535536780295843e-07,2.47691115617954e-07
1920,1.226701584755574e-07,1.7794743811805347e-07
