year,anciennes_ADJ erreurs_NOUN,anciennes_ADJ terreurs_NOUN
1800,2.1065902444661333e-07,3.144164484325529e-09
1801,2.1430643926123594e-07,0.0
1802,2.215461734067503e-07,0.0
1803,2.02835281015723e-07,1.755305234496518e-08
1804,3.21340621667332e-07,0.0
1805,4.463317964109592e-07,1.421438877713399e-08
1806,2.1036184705280903e-07,1.152667650217154e-08
1807,1.7366426163789583e-07,0.0
1808,2.1074488643080258e-07,0.0
1809,1.8749953767382976e-07,1.129515236897305e-08
1810,1.5444837231370911e-07,9.360507036149102e-09
1811,8.524060746140094e-08,0.0
1812,1.2002436733382638e-07,5.3344164641089264e-09
1813,2.5881675469463516e-07,2.8757416448144113e-09
1814,1.6362720600682223e-07,0.0
1815,2.4814457333377504e-07,8.091670444798638e-09
1816,1.9467873357825738e-07,6.952811659743929e-09
1817,3.347277868215315e-07,3.113746815941454e-09
1818,3.027979005310044e-07,1.9073883805731384e-08
1819,3.6125163660472026e-07,8.280840013696888e-09
1820,2.7174240813110373e-07,1.4239777357261119e-08
1821,1.922990264802138e-07,1.97229765852569e-09
1822,1.9850719468195166e-07,3.0076847679083585e-09
1823,2.0061854399955337e-07,1.4824030003524058e-08
1824,2.4168593881768174e-07,1.6842225392110777e-09
1825,2.4655241759319324e-07,1.584979791857677e-08
1826,2.1843801789600548e-07,7.927186018719112e-09
1827,2.046234612862463e-07,5.530363722527909e-09
1828,1.6693587667759857e-07,2.7516904310687096e-08
1829,2.3147575234361284e-07,8.57317605795771e-10
1830,1.80557265139214e-07,8.349468672008697e-09
1831,1.855353559676587e-07,0.0
1832,1.2582871988797706e-07,8.117981842303834e-09
1833,1.8533805246079282e-07,1.1583628500844156e-09
1834,1.2694961526449333e-07,3.733812370398937e-09
1835,1.958839845883631e-07,1.2100940693926532e-08
1836,1.834764731256655e-07,4.032449929525228e-09
1837,1.5168201628057432e-07,6.957890930081589e-10
1838,1.2624323630916479e-07,7.574594285131298e-09
1839,1.4612183463214024e-07,2.0974426639952526e-09
1840,1.5669434105802793e-07,3.1848443882154243e-09
1841,1.913323472990669e-07,1.0914932957462042e-08
1842,1.5361926841706008e-07,1.609983613093391e-08
1843,1.730724932258454e-07,8.269675610961258e-09
1844,1.7124311568750272e-07,4.390849017710252e-09
1845,1.9140182416776952e-07,3.9061593959388574e-09
1846,1.3816622868034756e-07,5.269050973311096e-09
1847,1.4885297616729076e-07,4.853901280910122e-09
1848,1.3676877586021874e-07,5.63165514222419e-09
1849,8.798385664476882e-08,5.865590679832167e-09
1850,1.1269733590779651e-07,3.394498016007219e-09
1851,1.6897529064863193e-07,3.2247193804124663e-09
1852,1.1133032984389502e-07,6.510545436100301e-10
1853,1.606449728797088e-07,1.1943863675867306e-09
1854,1.6054603690918157e-07,0.0
1855,1.3055066006018023e-07,1.0613874223963649e-08
1856,1.4444357532283902e-07,6.212626857404757e-09
1857,1.4009931703640177e-07,1.7085282522089074e-08
1858,1.3457608361022722e-07,1.6149130033227266e-08
1859,1.0948172501912268e-07,6.110608019582742e-09
1860,1.2770343005286122e-07,2.288591982591015e-09
1861,9.762045038996803e-08,9.431927239234028e-09
1862,8.764893522084094e-08,5.873382225018986e-09
1863,1.6582140460741357e-07,7.991393324857654e-09
1864,1.5630813265943289e-07,1.0068928801842958e-08
1865,1.3885190242035605e-07,1.0355057256106193e-08
1866,1.0607035960674693e-07,3.4059290943133647e-09
1867,1.1792332088589319e-07,4.85281148598915e-09
1868,1.1213514028440841e-07,4.93987406535723e-10
1869,1.1671610877783678e-07,0.0
1870,1.1353416340398326e-07,3.4404292748035914e-09
1871,1.0196330180178848e-07,1.0621177271019633e-09
1872,1.034095049590178e-07,2.4189357183956872e-09
1873,7.961386216948085e-08,0.0
1874,1.123226525123755e-07,1.7923826867161097e-09
1875,9.497735220520553e-08,5.721527140956084e-10
1876,1.0157305041502696e-07,7.859819461941697e-09
1877,1.107082070461729e-07,1.8554447978047506e-09
1878,9.722932503564152e-08,1.8117265465633636e-09
1879,1.0263666183618625e-07,1.2829582729523281e-08
1880,8.920806493506461e-08,1.2835692508872398e-09
1881,6.972507549107831e-08,2.091752326904839e-09
1882,6.721938916598447e-08,3.3276925659464496e-09
1883,4.802697617378726e-08,5.0554711528150165e-09
1884,6.865764845542799e-08,1.5844072720483382e-08
1885,8.830520670244368e-08,1.2891271383708158e-09
1886,8.454037470073672e-08,9.034849313138693e-09
1887,6.333056745688737e-08,0.0
1888,5.452928775184773e-08,4.4384300679212174e-09
1889,9.02179664308278e-08,7.51816386923565e-09
1890,5.702316130395957e-08,6.554386366985909e-09
1891,3.952016314201501e-08,4.461953917456185e-09
1892,4.4506439422775657e-08,2.5074049503359674e-09
1893,4.557228194812524e-08,9.23762488724833e-09
1894,5.8604314290278126e-08,3.150769645188234e-09
1895,6.018614584490933e-08,1.2037228991346183e-09
1896,8.078929880639407e-08,1.179405795248556e-09
1897,5.535378022614168e-08,2.9133566670225264e-09
1898,6.393941021087812e-08,3.960848538042683e-09
1899,5.30647525920358e-08,4.4220627160029835e-09
1900,6.592637191715767e-08,3.114631885736685e-09
1901,4.135666742399735e-08,4.470991132876634e-09
1902,5.4995179965544594e-08,1.4730852093691738e-09
1903,8.370341220143018e-08,3.7801539676252105e-09
1904,3.815983973254333e-08,1.0749250378694342e-09
1905,5.3155819301764495e-08,6.708986699521802e-09
1906,5.65860283074926e-08,4.115347618238729e-09
1907,6.222840198688573e-08,5.142843373384665e-10
1908,5.942780845202833e-08,1.4734167219643268e-09
1909,4.565816524859656e-08,5.500983557560346e-10
1910,6.733630186772643e-08,3.206490406526541e-09
