year,énormes_ADJ tumeurs_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,5.851017448321727e-09
1804,0.0
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,0.0
1809,0.0
1810,9.360507036149102e-09
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,3.4508900625951355e-08
1814,0.0
1815,5.394447111228828e-09
1816,9.270415546325239e-09
1817,5.4490570278176165e-08
1818,4.410835785506606e-08
1819,1.2421260464634543e-08
1820,0.0
1821,1.1833785507064931e-08
1822,3.0076847679083585e-09
1823,0.0
1824,1.431589158329416e-08
1825,2.641632912414593e-09
1826,9.688783109140786e-09
1827,3.6869092223668076e-09
1828,7.337841001486822e-09
1829,4.286587973467704e-09
1830,2.0873671680021744e-09
1831,0.0
1832,0.0
1833,9.266902800675325e-09
1834,3.267085801894609e-08
1835,2.0420337421001022e-08
1836,2.1506400216253496e-08
1837,1.0436836284100082e-08
1838,3.787297142565649e-09
1839,2.307186797168015e-08
1840,1.6561189752906103e-08
1841,9.630822361827995e-09
1842,3.3541325272778977e-09
1843,2.953455480181333e-09
1844,1.2074834465636286e-08
1845,7.812318791877715e-09
1846,8.196302303531411e-09
1847,3.775256551818984e-09
1848,1.126331028444838e-08
1849,1.5920887719289567e-08
1850,1.5614691761811628e-08
1851,1.096404567135778e-08
1852,1.1067927019325907e-08
1853,3.5831591027601917e-09
1854,1.610655964157104e-08
1855,1.3798036491152743e-08
1856,1.4496129630003907e-08
1857,1.5620829074691756e-08
1858,1.0276719919488642e-08
1859,1.3748867822016564e-08
1860,7.781213007262977e-09
1861,1.9335450573976232e-08
1862,2.3493528900075944e-08
1863,1.3485475847119233e-08
1864,1.7740493518658695e-08
1865,1.2237795665726026e-08
1866,2.238181906477621e-08
1867,2.3778776281346836e-08
1868,1.2843672791973404e-08
1869,4.883519366671862e-09
1870,1.6628741050794815e-08
1871,2.2304472935275044e-08
1872,9.675742873582749e-09
1873,3.591602748542755e-08
1874,1.8521287614703397e-08
1875,1.1443054503956773e-08
1876,2.8416270225761764e-08
1877,1.4843558382438005e-08
1878,5.435179861734696e-09
1879,1.4662380642960215e-08
1880,2.8238524407697696e-08
1881,2.091752193678076e-08
1882,1.3310770263785798e-08
1883,1.64302811356265e-08
1884,1.1883054540362536e-08
1885,2.127059772760731e-08
1886,1.097088819790315e-08
1887,2.2198344495905076e-08
1888,8.242799331981132e-09
1889,8.14467782106476e-09
1890,4.5880703680722945e-09
1891,1.2748440081367107e-09
1892,1.1283322720601063e-08
1893,2.8328715373504565e-08
1894,1.5123694296903523e-08
1895,1.5046536461227333e-08
1896,9.435246361988447e-09
1897,2.330685333618021e-08
1898,1.5277558773618694e-08
1899,1.8241008703512307e-08
1900,9.863001082521805e-09
1901,1.1736351446245408e-08
1902,1.2275709337927765e-08
1903,1.674068350610014e-08
1904,1.6123875568041512e-08
1905,8.257214467732865e-09
1906,1.4918134283448126e-08
