year,nos_DET tissus_NOUN
1800,2.5153315874604232e-08
1801,4.7623651688866175e-09
1802,4.475680270843441e-09
1803,6.046051481689574e-08
1804,7.415553038292444e-08
1805,1.7057266266107263e-08
1806,8.645007376628655e-09
1807,0.0
1808,2.2660739062985158e-08
1809,3.6144488291256494e-08
1810,2.3401267590372754e-09
1811,5.0141535368197765e-09
1812,1.3069320914382843e-07
1813,1.6104152678053651e-07
1814,4.6570821155000885e-07
1815,2.022917726662854e-07
1816,5.909889964073045e-07
1817,2.3041727104100573e-07
1818,4.93536719048393e-07
1819,2.1737204802807497e-07
1820,2.9191543138296083e-07
1821,2.790801065799542e-07
1822,1.9148926355683216e-07
1823,2.431141012948501e-07
1824,1.2800090942732822e-07
1825,3.7775350847368827e-07
1826,3.038754528006393e-07
1827,1.9079755264606035e-07
1828,3.5955420685240824e-07
1829,3.617880395268003e-07
1830,4.435655214241052e-07
1831,2.3854544961565693e-07
1832,1.97537559643024e-07
1833,5.629643400340001e-07
1834,3.472445531116364e-07
1835,4.2655815946091025e-07
1836,3.656088136128055e-07
1837,4.974892062747927e-07
1838,2.7962876458786923e-07
1839,4.48852708778702e-07
1840,3.2358019819156425e-07
1841,3.5826661459736897e-07
1842,6.346018484038041e-07
1843,5.162640253075779e-07
1844,6.103280036917624e-07
1845,6.400521588290076e-07
1846,5.380286562939318e-07
1847,3.079530834781963e-07
1848,4.336374388458353e-07
1849,5.429860658878738e-07
1850,4.799820194634208e-07
1851,5.275640946322824e-07
1852,5.638132156704501e-07
1853,5.948044381476336e-07
1854,4.0889880015271274e-07
1855,5.418382720279169e-07
1856,3.9864356615737506e-07
1857,3.924733225080246e-07
1858,2.6964155575015525e-07
1859,4.348716078350634e-07
1860,5.378191243465835e-07
1861,6.01285350398939e-07
1862,3.275539990355014e-07
1863,3.581143022124422e-07
1864,4.3104603264509933e-07
1865,4.848049539596389e-07
1866,4.237948978413897e-07
1867,5.687494972761442e-07
1868,5.784592800317512e-07
1869,5.840688950264905e-07
1870,6.571219994810917e-07
1871,4.397167525649337e-07
1872,4.287563672988881e-07
1873,3.932804912842869e-07
1874,5.257656305879266e-07
1875,4.457069593399865e-07
1876,3.784805222561971e-07
1877,5.269463430046528e-07
1878,4.1790492311122307e-07
1879,3.592283359665771e-07
1880,4.1780178516859223e-07
1881,4.0858895034023845e-07
1882,3.560631176569018e-07
1883,3.5767457617907894e-07
1884,3.5715180857209816e-07
1885,3.1261334365595417e-07
1886,5.427363174437261e-07
1887,3.819420917317018e-07
1888,3.259076049033638e-07
1889,2.3619565725496727e-07
1890,2.5955371185659715e-07
1891,3.0150061114397886e-07
1892,3.7611074787946563e-07
1893,4.1261390126834385e-07
1894,3.2011819972588285e-07
1895,2.762544095702424e-07
1896,2.9603084289453463e-07
1897,4.224367415872621e-07
1898,2.9706362525416807e-07
1899,2.5426860261745787e-07
1900,3.628546143552569e-07
1901,2.716127025514936e-07
1902,2.180165964427161e-07
1903,2.3652965452924946e-07
1904,3.020539391940247e-07
1905,4.071838768382463e-07
1906,3.3591524051246324e-07
1907,2.730849910648203e-07
1908,2.1659225701853302e-07
1909,2.425933693928073e-07
1910,1.7101282789866445e-07
1911,2.351605399297796e-07
1912,2.3234019153051122e-07
1913,2.423466334278146e-07
1914,2.491188597630867e-07
1915,1.307664624361493e-07
1916,1.483307414673618e-07
1917,2.2700498480965337e-07
1918,1.6195790220052686e-07
1919,1.6389970586283553e-07
1920,1.9687802943479937e-07
1921,2.0900782932153916e-07
1922,1.7707045341097682e-07
1923,1.2102181434769932e-07
1924,1.843502270837405e-07
1925,1.2207977695410932e-07
1926,1.1480522355000744e-07
1927,1.4271008397237495e-07
1928,1.4168290696225938e-07
1929,1.1808830446824459e-07
1930,1.4389937064152036e-07
1931,1.2545892946747017e-07
1932,1.1069131966578993e-07
1933,1.1011836020813348e-07
1934,1.114286956038768e-07
1935,1.4242258128405183e-07
1936,1.2973444807329315e-07
1937,1.196156238503221e-07
1938,8.297737252860315e-08
1939,9.482311202901883e-08
1940,8.114505334333444e-08
1941,1.0625409174735978e-07
1942,1.0923162108156248e-07
1943,6.967764676346633e-08
1944,7.711646787811333e-08
1945,1.0238969272435838e-07
1946,7.099762910911522e-08
1947,6.198853230721113e-08
1948,1.0219574786418661e-07
1949,5.890205123648684e-08
1950,9.040057036280302e-08
1951,7.569595006362562e-08
1952,5.799642011083961e-08
1953,6.8952495269059e-08
1954,6.938500884956511e-08
1955,6.194501223077964e-08
1956,6.540856500869552e-08
1957,5.2126723215639714e-08
1958,4.8806234831388906e-08
1959,2.9452841943111707e-08
1960,4.083291671452827e-08
1961,4.0994138916783385e-08
1962,4.375949846924243e-08
1963,3.944292514823644e-08
1964,5.1105333076506554e-08
1965,3.228505640606727e-08
1966,3.877352228176534e-08
1967,3.7470550218188237e-08
1968,4.311759249642222e-08
1969,3.815076587976307e-08
1970,4.046878032681889e-08
1971,1.849823094701719e-08
1972,2.61637485010624e-08
1973,2.2052814463435766e-08
1974,3.6566215388944556e-08
1975,3.198428855100133e-08
1976,2.3996813314219878e-08
1977,1.8805702606261576e-08
1978,1.4851478380428773e-08
1979,2.750427441355896e-08
1980,1.762396723004045e-08
1981,2.1506869174459098e-08
1982,3.476201249075217e-08
1983,2.6524328289312393e-08
1984,2.3775934665515308e-08
1985,1.744511812784566e-08
1986,2.517683933556114e-08
1987,1.649920555735207e-08
1988,2.338656024392094e-08
1989,3.347754429228189e-08
1990,2.0704874259536155e-08
1991,2.1101273894874595e-08
1992,2.5345742504789825e-08
1993,2.6034275180109034e-08
1994,1.9517228722065738e-08
1995,2.060531301140145e-08
1996,1.3345230698291743e-08
1997,2.8289877107567918e-08
1998,1.4304387896402204e-08
1999,2.1479945599978123e-08
2000,3.35770380388567e-08
2001,2.5411029003219454e-08
2002,2.8039817578928705e-08
2003,1.708438335246143e-08
2004,2.510731023086521e-08
2005,4.72893708636235e-08
2006,2.4295549738706512e-08
2007,3.714865998150074e-08
2008,6.088138770898865e-08
2009,3.6715082529781284e-08
2010,6.093693338815598e-08
2011,5.4300401286511146e-08
2012,7.080845842999395e-08
2013,5.271446334997876e-08
2014,6.604608071558715e-08
2015,6.40590308020883e-08
2016,9.134609540994987e-08
2017,9.383230414883315e-08
2018,8.183249788906721e-08
2019,8.953967167713017e-08
