year,mais_CONJ elle_PRON,mais_CONJ telles_ADJ
1800,5.905998477828689e-05,8.803660378475797e-08
1801,5.576967623710516e-05,1.1429676227692198e-07
1802,6.0634277815552196e-05,7.161088433349505e-08
1803,6.580249601029209e-05,1.4627544331347053e-07
1804,6.598111804123619e-05,1.4831105055179705e-07
1805,6.279632725636475e-05,9.097208675257207e-08
1806,5.850652996741701e-05,1.3832011624970164e-07
1807,6.102448151068529e-05,7.6867792131452e-08
1808,5.914679832130787e-05,6.34500709750796e-08
1809,6.546670601892401e-05,9.262024946998793e-08
1810,6.074266866562539e-05,2.8081521552536515e-08
1811,5.2854192745144246e-05,1.3287507272252697e-07
1812,6.155916753414203e-05,7.468183227388181e-08
1813,6.139420975159737e-05,1.1502966756893329e-07
1814,5.0570246912684524e-05,1.4789382163371556e-07
1815,5.723508320443216e-05,1.2407228666688752e-07
1816,6.033881663825014e-05,1.4137384063417358e-07
1817,6.110416870797053e-05,1.0742426326260102e-07
1818,5.821349441248458e-05,1.144433028343883e-07
1819,5.315264252203633e-05,1.1386155307491208e-07
1820,5.607861612588749e-05,1.0205173595068118e-07
1821,5.43003143320675e-05,7.691961023681415e-08
1822,5.312072516971966e-05,9.724847416237026e-08
1823,5.3129324442124926e-05,1.314397373164411e-07
1824,5.177047341931029e-05,1.3136935450575038e-07
1825,5.5567627896380145e-05,7.836844062580894e-08
1826,5.148795162313036e-05,1.0393421590038088e-07
1827,5.207206322666025e-05,1.3272872934066982e-07
1828,5.438991365736001e-05,1.0731592681167967e-07
1829,5.3566917131320224e-05,9.859152161340035e-08
1830,5.488523129315581e-05,1.2837308105417833e-07
1831,5.3183162890491076e-05,5.6128342862393765e-08
1832,5.7172237575287e-05,1.3124070008529998e-07
1833,5.5090578371164156e-05,9.614411489167196e-08
1834,5.2330315611470724e-05,1.1481472839136586e-07
1835,5.228362579146051e-05,1.2479095090611736e-07
1836,5.082836105430033e-05,1.1358067553146611e-07
1837,5.2843789489998017e-05,1.426367646217841e-07
1838,5.253612198430346e-05,9.152634561360173e-08
1839,5.171804104975308e-05,6.921560391504045e-08
1840,5.1375360271777026e-05,1.26119839904959e-07
1841,4.968284702044912e-05,9.82343930644447e-08
1842,5.288058173391619e-05,1.3953191668747422e-07
1843,5.190521051190444e-05,9.864541361537249e-08
1844,5.450196385936579e-05,1.2074834998543338e-07
1845,5.43296573596308e-05,7.92392356174787e-08
1846,5.296391782394494e-05,9.777017240253372e-08
1847,4.999086695534061e-05,1.2781939773276463e-07
1848,5.030355259805219e-05,1.013697961127491e-07
1849,5.1663280828506686e-05,9.04976822369008e-08
1850,5.315919725035201e-05,1.0726613552947128e-07
1851,5.124723884364357e-05,1.1480000949859459e-07
1852,5.08551738676033e-05,6.901178295493082e-08
1853,5.210749486650457e-05,1.0331442013011838e-07
1854,5.066915991847054e-05,1.0391329219316958e-07
1855,5.5802443966967985e-05,9.552487156838652e-08
1856,5.4574304613197455e-05,8.904765635975309e-08
1857,5.366291816244484e-05,1.0446429143939895e-07
1858,5.555545567403897e-05,8.025628517316363e-08
1859,5.8010548855236266e-05,8.911303339687038e-08
1860,5.726331573896459e-05,8.605105783487943e-08
