year,mais_CONJ elles_PRON,mais_CONJ telles_ADJ
1800,2.2402171111934877e-05,8.803660378475797e-08
1801,1.803031500458019e-05,1.1429676227692198e-07
1802,2.0223361843818566e-05,7.161088433349505e-08
1803,2.5409019940525468e-05,1.4627544331347053e-07
1804,2.0733885605750402e-05,1.4831105055179705e-07
1805,1.896767957987322e-05,9.097208675257207e-08
1806,1.8759665465495345e-05,1.3832011624970164e-07
1807,1.9276733723927464e-05,7.6867792131452e-08
1808,1.9275224588000128e-05,6.34500709750796e-08
1809,2.0778562657142174e-05,9.262024946998793e-08
1810,1.8447218621986394e-05,2.8081521552536515e-08
1811,1.7479338850989734e-05,1.3287507272252697e-07
1812,1.7318182187864295e-05,7.468183227388181e-08
1813,1.883610798358859e-05,1.1502966756893329e-07
1814,1.733819146920723e-05,1.4789382163371556e-07
1815,1.7793583651837253e-05,1.2407228666688752e-07
1816,2.109483045842353e-05,1.4137384063417358e-07
1817,1.935504934635901e-05,1.0742426326260102e-07
1818,1.800932238893438e-05,1.144433028343883e-07
1819,1.6631032110581145e-05,1.1386155307491208e-07
1820,1.5855992216984305e-05,1.0205173595068118e-07
1821,1.572019857576379e-05,7.691961023681415e-08
1822,1.548356112834881e-05,9.724847416237026e-08
1823,1.5179806666765217e-05,1.314397373164411e-07
1824,1.4203890884800785e-05,1.3136935450575038e-07
1825,1.592552439433348e-05,7.836844062580894e-08
1826,1.533822364763182e-05,1.0393421590038088e-07
1827,1.4866539913782617e-05,1.3272872934066982e-07
1828,1.6840344471802382e-05,1.0731592681167967e-07
1829,1.5910100501059787e-05,9.859152161340035e-08
1830,1.5775277063312387e-05,1.2837308105417833e-07
1831,1.4796054415455728e-05,5.6128342862393765e-08
1832,1.5516168843987543e-05,1.3124070008529998e-07
1833,1.6938739690885996e-05,9.614411489167196e-08
1834,1.546078362935077e-05,1.1481472839136586e-07
1835,1.54097913878104e-05,1.2479095090611736e-07
1836,1.5112278617834818e-05,1.1358067553146611e-07
1837,1.6155526395777997e-05,1.426367646217841e-07
1838,1.4801388829255302e-05,9.152634561360173e-08
1839,1.530713581132659e-05,6.921560391504045e-08
1840,1.4773218708796776e-05,1.26119839904959e-07
1841,1.5253297021899925e-05,9.82343930644447e-08
1842,1.4625359824549378e-05,1.3953191668747422e-07
1843,1.5098655694600893e-05,9.864541361537249e-08
1844,1.4923398168775748e-05,1.2074834998543338e-07
1845,1.490590477715159e-05,7.92392356174787e-08
1846,1.5467592106688244e-05,9.777017240253372e-08
1847,1.4210605002062948e-05,1.2781939773276463e-07
1848,1.4627822565671522e-05,1.013697961127491e-07
1849,1.4104231070177775e-05,9.04976822369008e-08
1850,1.4376378430824843e-05,1.0726613552947128e-07
1851,1.4391277318281936e-05,1.1480000949859459e-07
1852,1.4799771975049225e-05,6.901178295493082e-08
1853,1.5270229937414115e-05,1.0331442013011838e-07
1854,1.4686584620449139e-05,1.0391329219316958e-07
1855,1.4672088980205444e-05,9.552487156838652e-08
1856,1.4292148989625275e-05,8.904765635975309e-08
1857,1.4523953836942383e-05,1.0446429143939895e-07
1858,1.433847103271546e-05,8.025628517316363e-08
1859,1.493992726864235e-05,8.911303339687038e-08
1860,1.46703317795982e-05,8.605105783487943e-08
1861,1.4337473203340778e-05,9.950683832471441e-08
1862,1.3912686881667469e-05,9.171512616035216e-08
1863,1.327220587654665e-05,1.218687515347483e-07
1864,1.4613851590183913e-05,7.479775732122107e-08
1865,1.4527204371006519e-05,1.1343495032178907e-07
1866,1.3929276633461996e-05,8.271541851456732e-08
1867,1.4215340684131661e-05,5.920430012906763e-08
1868,1.4787018585593614e-05,8.397785933311752e-08
1869,1.4701346231049683e-05,9.376356757684334e-08
1870,1.4927449456081376e-05,1.1353416695669694e-07
1871,1.3941357337898808e-05,1.3595107262176498e-07
1872,1.4445279020947055e-05,8.587221955735913e-08
1873,1.5245754866555217e-05,7.42264560926742e-08
1874,1.4513520227410481e-05,8.185214639411242e-08
1875,1.3976546142657753e-05,7.895707554439468e-08
1876,1.5257723021022684e-05,7.376138100312346e-08
1877,1.4525658684760856e-05,5.99927165723102e-08
1878,1.3930365867054206e-05,9.179414917070972e-08
1879,1.4045338616597292e-05,9.652733723441997e-08
1880,1.3677072274731472e-05,6.674560104613647e-08
1881,1.3254039231469505e-05,6.275256758669912e-08
1882,1.3737380413658684e-05,5.856738916065751e-08
1883,1.3525280905923864e-05,5.2450515042323786e-08
1884,1.3974471698929847e-05,5.3473747207988254e-08
1885,1.3678283835361071e-05,7.283568237426152e-08
1886,1.2977270785086148e-05,4.840097833636037e-08
1887,1.3441096939459385e-05,4.961982646989327e-08
1888,1.3095271583551948e-05,7.355113140761205e-08
1889,1.3637323036164162e-05,9.335053707815177e-08
1890,1.3403065281636373e-05,7.144281255477836e-08
1891,1.350760976492893e-05,8.605197265865172e-08
1892,1.2965164046363498e-05,5.578976214337672e-08
1893,1.331511271018826e-05,5.973664052305594e-08
1894,1.3514281363313785e-05,5.356308463433379e-08
1895,1.3427528756437823e-05,6.861220214204877e-08
1896,1.323941989994637e-05,5.071444952875481e-08
1897,1.3283159319144033e-05,4.7196378361036295e-08
1898,1.357043231564603e-05,5.4320205222779805e-08
1899,1.3178299468563637e-05,4.532614283903058e-08
1900,1.3299997249305306e-05,7.371295396296773e-08
1901,1.3548779861594085e-05,5.309301887024276e-08
1902,1.2620411666830478e-05,4.0264327871852856e-08
1903,1.3387146282184403e-05,5.886240117547459e-08
1904,1.3196854752095533e-05,6.933266405440008e-08
1905,1.2724883163173217e-05,7.379885325065061e-08
1906,1.3011186297262611e-05,4.835533395919356e-08
1907,1.2860708011430688e-05,4.6799874198200087e-08
1908,1.3110462305121473e-05,4.469363990011743e-08
1909,1.3298077647050377e-05,5.666012903304818e-08
1910,1.283237486404687e-05,4.3287619710952185e-08
1911,1.3072159049443144e-05,5.054355334266347e-08
1912,1.2917801882394997e-05,4.948950227401383e-08
1913,1.2953082318745146e-05,6.098438376511695e-08
1914,1.2658184687097673e-05,3.616241617265814e-08
1915,1.3001249271837878e-05,4.7123046797992174e-08
1916,1.3295927828949061e-05,4.8344832137559024e-08
1917,1.2586164984895731e-05,4.496234140560773e-08
1918,1.2142248124291655e-05,2.8715940736390166e-08
1919,1.2096350246793008e-05,3.6831393046554695e-08
1920,1.2502511481216061e-05,3.407504234331782e-08
1921,1.2134570624766639e-05,5.5281055288958214e-08
1922,1.2237043847562745e-05,4.795657915224183e-08
1923,1.189835484183277e-05,5.6264523706772707e-08
1924,1.1730088999684085e-05,2.836157353414137e-08
1925,1.1931923154406832e-05,4.5092528822010536e-08
1926,1.1857262506964616e-05,3.3438415592002e-08
1927,1.226080257765716e-05,4.2367053421088485e-08
1928,1.1703694326570258e-05,4.22763521967795e-08
1929,1.1829997220047517e-05,2.8965056131369238e-08
1930,1.2079143971277517e-05,7.142450719754834e-08
1931,1.1625479828580865e-05,4.5621425748265665e-08
1932,1.140558947554382e-05,6.13734059129456e-08
