year,les_DET août_NOUN,les_DET toutes_ADJ
1800,1.8864987794131594e-08,2.2009151523505466e-07
1801,2.3811825844433088e-09,1.0000966921275278e-07
1802,4.475680270843441e-09,1.6336232988578558e-07
1803,3.900678446910888e-09,1.755305234496518e-07
1804,0.0,1.1123328924611542e-07
1805,0.0,1.449867657044024e-07
1806,3.7461699520235925e-08,1.0950342499427279e-07
1807,2.8469551160981155e-09,1.1103125041600492e-07
1808,4.078933191209444e-08,7.478044317110744e-08
1809,4.518061036407062e-09,8.810219243038375e-08
1810,2.3401267590372754e-09,1.2870697085887173e-07
1811,2.0056614147279106e-08,1.0279014439618095e-07
1812,2.6672082320544632e-09,8.268345208506389e-08
1813,2.013019151370088e-08,7.476928165495167e-08
1814,9.440030979135372e-09,6.922689710364693e-08
1815,5.394447111228828e-09,1.2946672867109044e-07
1816,0.0,2.0394913669008474e-07
1817,6.227493631882908e-09,8.874178347717532e-08
1818,1.3113294894395722e-08,1.0967483099477704e-07
1819,0.0,1.0040518283460642e-07
1820,4.746592452420373e-09,9.493184727205062e-08
1821,3.944595206029078e-09,1.4890847033210974e-07
1822,2.0051231786055723e-09,9.323822780515911e-08
1823,3.9530747564242574e-09,7.906149712688659e-08
1824,7.57900142644985e-09,9.515857612996115e-08
1825,7.92489873724378e-09,8.453225031068712e-08
1826,4.403992281964975e-09,8.103345527921135e-08
1827,3.6869092223668076e-09,1.0784209381053955e-07
1828,4.586150681440415e-09,1.34832826070852e-07
1829,8.573175891424256e-09,8.315980837281245e-08
1830,6.262101504006523e-09,7.827626746781391e-08
1831,4.677361831184612e-09,1.0134283767726515e-07
1832,2.705993873419743e-09,1.204167286994462e-07
1833,3.475088550253247e-09,9.614411311531512e-08
1834,8.401077833397608e-09,8.12104203884445e-08
1835,5.294161553592858e-09,1.013453783116347e-07
1836,7.392824907803686e-09,1.0282747753276311e-07
1837,9.74104752415883e-09,1.0715151788076582e-07
1838,6.312161904276081e-09,1.0351945434194931e-07
1839,1.0487213319976263e-08,1.251474036623179e-07
1840,5.0957510988602905e-09,1.2675680194362826e-07
1841,1.926164561183441e-09,1.495987769217777e-07
1842,4.695785538189057e-09,1.0934471683654579e-07
1843,1.7720733214154905e-09,1.3704034196315718e-07
1844,1.6465684371524958e-09,1.1690635215444445e-07
1845,2.7901140065011987e-08,9.486387497759097e-08
1846,1.5221703453249802e-08,8.02066679739255e-08
1847,5.9325460100012606e-09,9.114547694366593e-08
1848,2.4135665133151463e-09,9.412909407480186e-08
1849,4.189707314417035e-08,8.379415250558964e-08
1850,6.1100964288129944e-09,8.282575159057615e-08
1851,4.514607132577453e-09,8.964719877546656e-08
1852,3.2552727180501506e-09,9.505396425524282e-08
1853,1.7915795513800958e-09,8.957897867922782e-08
1854,5.715231066183435e-09,8.624802827483791e-08
1855,7.960405667972736e-09,1.1622192275240195e-07
1856,1.2425254380943329e-08,1.1389816334528291e-07
1857,3.6611316978074626e-08,1.0983395171138e-07
