year,grandes_ADJ erreurs_NOUN,grandes_ADJ terreurs_NOUN
1800,7.640319950041885e-07,6.288328968651058e-09
1801,5.929144890615134e-07,2.6193008650921e-08
1802,6.154060656626825e-07,4.475680270843441e-09
1803,6.416615860871389e-07,1.950339267864365e-08
1804,5.784131076325139e-07,2.7190360185613827e-08
1805,6.538618890772341e-07,5.685755422035754e-09
1806,7.002456072768837e-07,1.729001475325731e-08
1807,4.412780469920108e-07,5.693910232196231e-09
1808,7.455383297383378e-07,3.172503681980743e-08
1809,4.585832016346103e-07,4.518061036407062e-09
1810,5.780112815045868e-07,3.510190182964834e-08
1811,8.248282483691582e-07,1.0028307073639553e-08
1812,4.6142702103679767e-07,4.5342538612658245e-08
1813,5.5501811857539e-07,8.627225156487839e-09
1814,5.884286338186939e-07,1.5733386149463513e-08
1815,3.3985017466875433e-07,2.4275012222574333e-08
1816,6.327058486021997e-07,2.0858434979231788e-08
1817,6.445455937864608e-07,9.341240669868967e-09
1818,3.6240379586161e-07,1.3113295338484932e-08
1819,5.413598955783527e-07,4.140420006848444e-09
1820,5.672177962878777e-07,5.933240565525466e-09
1821,3.885426451688545e-07,2.6626018723163725e-08
1822,3.990195125425089e-07,2.5064039732569654e-08
1823,4.2594379578986263e-07,2.075364236020505e-08
1824,4.513716476139962e-07,3.452656116564867e-08
1825,4.12975282415573e-07,2.993850500843109e-08
1826,4.078096651483065e-07,7.927186018719112e-09
1827,4.682374594722205e-07,4.608636672287503e-08
1828,3.531336005835328e-07,2.659967357487858e-08
1829,4.57807601605964e-07,3.6864655328372464e-08
1830,4.26866591851649e-07,3.861629238599562e-08
1831,5.285418751554971e-07,1.870944643656003e-08
1832,3.5177919244233635e-07,5.411987658021644e-08
1833,2.4325620984200214e-07,2.3167256557599103e-08
1834,3.3417620670661563e-07,9.614566920390644e-08
1835,2.881536431686982e-07,9.075705520444899e-09
1836,3.3872581184368755e-07,4.099657502365517e-08
1837,3.096261593782401e-07,1.2524203896191466e-08
1838,3.364382337167626e-07,3.471689069556305e-08
1839,2.4470162429679476e-07,3.915226187700682e-08
1840,3.446001528573106e-07,3.567025785855549e-08
1841,3.922955045254639e-07,1.6693427085101575e-08
1842,3.749920267637208e-07,2.2808102073668124e-08
1843,3.898561260484712e-07,5.493427224223524e-08
1844,3.238251053971908e-07,4.7750482679020934e-08
1845,3.716431820066646e-07,3.906159662392383e-08
1846,4.109859901291202e-07,5.034871009002018e-08
1847,3.2143611861101817e-07,2.480882876909618e-08
