year,énormes_ADJ erreurs_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,6.713520406265161e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,3.7442028144596406e-08
1811,3.259199843341776e-08
1812,1.3336041604361526e-08
1813,0.0
1814,1.5733386149463513e-08
1815,1.6183340889597275e-08
1816,3.476405652236281e-08
1817,1.0898113522728181e-08
1818,0.0
1819,3.1053151161586356e-09
1820,0.0
1821,8.875339574387908e-09
1822,0.0
1823,1.087095569118901e-08
1824,0.0
1825,2.641632912414593e-09
1826,6.1655889282974385e-09
1827,1.3825909306319772e-08
1828,1.8344602503717056e-09
1829,7.715858174606183e-09
1830,3.1310507520032616e-09
1831,3.897801548191637e-08
1832,1.3529969367098715e-09
1833,2.3167257001688313e-09
1834,1.8669062740173104e-08
1835,0.0
1836,1.4785650037651976e-08
1837,2.0873671680021744e-09
1838,1.7674054220151447e-08
1839,1.2584655095793096e-08
1840,1.8472096741106725e-08
1841,2.43980835534785e-08
1842,1.0062397137744483e-08
1843,1.0041748765843295e-08
1844,2.195424464446205e-08
1845,1.1160455670733427e-08
1846,3.33706573485415e-08
1847,2.3190860787281053e-08
1848,1.206783295515379e-08
1849,2.76520690789539e-08
1850,6.788996032014438e-09
1851,2.5152811389261842e-08
1852,3.059956199535918e-08
1853,2.8665272822081533e-08
1854,1.7665259477439577e-08
1855,1.8574279891936385e-08
1856,3.209857268871019e-08
1857,3.4170564155999728e-09
1858,1.6149130033227266e-08
1859,1.2221216039165483e-08
1860,2.3801355553132453e-08
1861,8.017138064531082e-09
1862,1.7168348520613108e-08
1863,3.845858032036631e-08
1864,3.068625886726295e-08
1865,1.3179164426446732e-08
1866,2.1895258939252926e-08
1867,1.552899675516528e-08
1868,6.421836395986702e-09
1869,2.3440891894210836e-08
1870,1.4335121534259088e-08
1871,1.1683295220166201e-08
1872,1.8746751706544273e-08
1873,1.0176207432266438e-08
1874,8.961913877669758e-09
1875,2.574687130163511e-08
1876,4.232210137899983e-09
1877,2.1646856751544874e-08
1878,1.7513357875031943e-08
1879,1.710611030603104e-08
1880,2.3746030919369332e-08
1881,1.673401861523871e-08
1882,9.983077475794744e-09
1883,2.0853818227806187e-08
1884,1.4523733327109767e-08
1885,1.2246707647989297e-08
1886,2.2587123282846733e-08
1887,4.570247291724172e-09
1888,6.340614699951175e-09
1889,2.5060547415023393e-08
1890,2.1629475099871343e-08
1891,1.3385862196457765e-08
1892,6.8953633913793055e-09
1893,1.847525021858587e-09
1894,1.449354058991048e-08
1895,3.611168697403855e-09
1896,3.5382172747233653e-09
1897,1.0488084178916779e-08
1898,2.8291773368493978e-09
1899,8.844125432005967e-09
1900,1.453494924419374e-08
1901,3.912117296778206e-09
1902,4.910283735171106e-09
1903,8.100330184390714e-09
1904,1.5048950530172078e-08
1905,1.5482276793932215e-08
1906,1.18316245689698e-08
1907,1.4399961223432456e-08
1908,7.367083831866239e-09
1909,1.7603147384193107e-08
1910,2.3514262537105424e-08
1911,5.852411444351446e-09
1912,4.167536982180309e-09
1913,1.0075680734189518e-08
1914,4.68772043404897e-09
1915,2.238344798399794e-08
1916,2.7468654906215306e-08
1917,2.1932848426331475e-08
1918,2.6418664589300533e-08
1919,1.749491218561161e-08
1920,3.180337415642498e-08
1921,2.2718241510233383e-08
1922,5.164555005876537e-09
1923,1.3800733000834953e-08
1924,5.156649773851996e-09
1925,4.399271169575059e-09
1926,8.916910765321973e-09
1927,2.4528294062520217e-08
1928,1.2568645679778001e-08
1929,1.2254447234738564e-08
1930,9.453243521306831e-09
1931,1.596749932275543e-08
1932,1.2055489939655217e-08
1933,1.7205993074753678e-08
1934,2.875579241390369e-08
1935,1.3165112555668657e-08
1936,1.6974599503782883e-08
1937,1.1332006444320086e-08
1938,1.6854778905894818e-08
1939,1.3764645423464117e-08
1940,1.7750480196809804e-08
1941,1.1806010391524069e-08
1942,3.944475324146879e-08
1943,1.1612940831184915e-08
1944,1.2852744646352221e-08
1945,6.535512131478072e-09
1946,1.2528993842408909e-08
1947,1.3112957830685446e-08
1948,1.7395020535104777e-08
1949,1.570721330779179e-08
