year,ces_DET humeurs_NOUN,ces_DET tumeurs_NOUN
1800,4.276063734209856e-07,2.766864639625055e-07
1801,8.096020991388286e-07,9.572353718567683e-07
1802,7.877197276684456e-07,9.466064057050971e-07
1803,4.973364928773094e-07,1.4666550782749255e-06
1804,4.177428181151299e-07,6.748153111857391e-07
1805,5.117180021940726e-07,1.188322926282126e-06
1806,5.042920925291128e-07,5.014104154099641e-07
1807,1.395008073501458e-07,1.0903837903697422e-06
1808,2.4246991081611213e-07,5.574541788178067e-07
1809,1.4909601997459276e-07,6.618959389470547e-07
1810,2.7379483213962885e-07,1.1958047991811327e-06
1811,1.027901510575191e-07,4.838658114181271e-07
1812,3.6007310733054965e-07,3.6460735941545863e-06
1813,2.7894694198948855e-07,1.863480548536245e-06
1814,6.041620270735848e-07,9.849099171788112e-07
1815,9.817893555919e-07,2.0283121102693258e-06
1816,6.46611511001538e-07,2.5447290283864277e-06
1817,3.3005716382206174e-07,2.2465683002792503e-06
1818,1.22907343325096e-06,1.854935163692062e-06
1819,5.144471799667372e-07,1.6292553084440442e-06
1820,6.028172556682421e-07,1.1629151046577135e-06
1821,5.088528234331591e-07,1.5088077418567991e-06
1822,1.73443154949382e-07,1.2361584253994806e-06
1823,3.2415212203318333e-07,7.827088097656087e-07
1824,4.2610831485490053e-07,1.0096914309087879e-06
1825,1.5673688835704525e-07,8.884692306310171e-07
1826,1.3828535116999774e-07,8.21784958304761e-07
1827,1.4747637422374282e-07,5.475060049775493e-07
1828,1.751909479708047e-07,1.8977491720306716e-06
1829,2.3576234564615106e-07,1.0913653341049212e-06
1830,1.8264462831041328e-07,1.0676882737925553e-06
1831,3.0246939530798045e-07,1.0165466335365636e-06
1832,1.813015853002753e-07,1.2163442733026386e-06
1833,1.575373413942316e-07,1.4549037388178476e-06
1834,1.969586067573914e-07,1.2358918866084423e-06
1835,1.9134611761728593e-07,1.3326161365512235e-06
1836,1.9355760016992463e-07,1.166722171319634e-06
1837,3.186714181424577e-07,1.7088580364088557e-06
1838,2.4869917680803155e-07,1.0901103735250217e-06
1839,1.594056375786579e-07,1.9254522101164184e-06
1840,8.471685664090955e-08,1.4618436097180165e-06
1841,1.9967906084161768e-07,1.9261646002632915e-06
