year,ses_DET oies_NOUN,ses_DET toits_NOUN
1800,1.8864987794131594e-08,1.28910740304633e-07
1801,5.714838380299625e-08,7.381665767525192e-08
1802,4.475680270843441e-09,6.489736392722989e-08
1803,0.0,1.326230680831486e-07
1804,7.4155526164076946e-09,2.2988213355112919e-07
1805,5.685755422035754e-09,1.449867568226182e-07
1806,1.729001475325731e-08,8.645007021357287e-08
1807,2.562259604488304e-08,7.117387923472052e-08
1808,6.798221985349073e-09,1.9941451512295316e-07
1809,5.421673421324158e-08,3.6144488735345703e-08
1810,4.680253518074551e-09,1.755095002664575e-07
1811,2.757784400841956e-08,9.526891631139733e-08
1812,1.0668832928217853e-08,6.668020802180763e-08
1813,0.0,9.777521370324394e-08
1814,9.440030979135372e-09,8.496028414128887e-08
1815,1.0788894222457657e-08,7.552226044538202e-08
1816,2.3176038865813098e-09,4.6352077731626196e-08
1817,1.556873407970727e-09,6.383181272440197e-08
1818,3.5763532135746345e-09,5.841376893300776e-08
1819,0.0,8.384350391743567e-08
1820,1.6613073583471305e-08,8.06920743556816e-08
1821,9.861488403650753e-09,3.8459803231027934e-08
1822,2.0051231786055723e-09,7.318699601910339e-08
1823,3.261286707356703e-08,6.226093063332883e-08
1824,1.9368560089105813e-08,1.1789557774477544e-07
1825,7.044354433105582e-09,1.012625929774913e-07
1826,3.5231937367541377e-09,8.455664879392089e-08
1827,2.8573547083965423e-08,8.203373330628594e-08
1828,1.3758452155343548e-08,5.13648868438743e-08
1829,8.57317605795771e-10,8.573176124571091e-08
1830,7.305785310052215e-09,8.662573813822405e-08
1831,1.091384405071949e-08,9.354723884413829e-08
1832,1.7588959622116818e-08,1.2176972452593304e-07
1833,8.108539617524002e-09,1.7143770048022589e-07
1834,6.534171426153534e-09,1.7828953846610318e-07
1835,2.0420337421001022e-08,1.2857250197839676e-07
1836,1.68018754465038e-08,1.250059531443526e-07
1837,9.74104708006962e-09,1.3776623397632193e-07
1838,8.2058102535143e-09,1.0667553440590893e-07
1839,7.690622583211848e-09,8.319855737681792e-08
1840,8.280594876453051e-09,1.0127805011306279e-07
1841,2.5682194149112547e-09,1.6115576739750281e-07
1842,4.695785538189057e-09,1.1135719768518015e-07
1843,7.088293507706567e-09,1.1223131357596117e-07
1844,1.0977122322231025e-08,1.2898119150506204e-07
1845,1.339254718235594e-08,1.5010812548510444e-07
1846,1.5807152919933287e-08,1.0069742417684324e-07
1847,7.011190739092399e-09,1.396844924173024e-07
1848,1.045878850192139e-08,1.4320494834407782e-07
1849,1.5920887719289567e-08,1.1228415774944267e-07
1850,8.146795238417326e-09,1.018349369275029e-07
1851,1.870337307252612e-08,1.244741680839212e-07
