year,étais_VERB aux_ADP
1800,9.432493897065797e-09
1801,4.7623651688866175e-09
1802,0.0
1803,1.950339223455444e-09
1804,7.4155526164076946e-09
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,6.798221985349073e-09
1809,1.3554183553310395e-08
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,1.7881765401739358e-08
1819,9.315945348475907e-09
1820,1.0679833017945839e-08
1821,1.7750679148775816e-08
1822,9.023054303725075e-09
1823,1.087095569118901e-08
1824,1.6842225392110777e-09
1825,7.044354433105582e-09
1826,7.0463874735082754e-09
1827,4.608636583469661e-09
1828,6.420610709767516e-09
1829,7.715858174606183e-09
1830,2.0873670791843324e-08
1831,4.677361609140007e-09
1832,4.058990921151917e-09
1833,3.938433579264711e-08
1834,1.8669061851994684e-09
1835,7.563087933704082e-09
1836,6.72075017860152e-09
1837,1.1132625488130543e-08
1838,1.0730675015224733e-08
1839,1.1885507689157748e-08
1840,2.4204817705708592e-08
1841,1.0914932957462042e-08
1842,5.366612043644636e-09
1843,4.7255288571079745e-09
1844,2.305195678786731e-08
1845,1.0602432709561072e-08
1846,1.1123552745573306e-08
1847,6.47186837454683e-09
1848,4.82713291560799e-09
1849,3.267971848686102e-08
1850,1.0183494048021657e-08
1851,1.4188765717904062e-08
1852,3.906327261660181e-09
1853,1.1943863675867306e-08
1854,4.1565315633818045e-09
1855,1.2205955357558196e-08
1856,1.65670055451983e-08
1857,3.026535466688074e-08
1858,5.872411001917044e-09
1859,7.129042689513199e-09
1860,1.5104706818647173e-08
1861,4.2443675241088386e-09
1862,1.1294965851504912e-08
1863,4.495158911765884e-09
1864,7.671564716815737e-09
1865,1.694463946932956e-08
1866,4.379051787850585e-09
1867,1.067618526917613e-08
1868,8.397785578040384e-09
1869,8.30198221279943e-09
1870,4.013834153937523e-09
1871,1.0621176826930423e-08
1872,7.256807155187062e-09
1873,1.2570609442263958e-08
1874,1.6728906260254917e-08
1875,6.865832347102696e-09
1876,1.0278225381910033e-08
1877,3.0924081073635534e-09
1878,1.0266450800600069e-08
1879,1.221865097988939e-08
1880,9.626769603698904e-09
1881,6.2752567586699115e-09
1882,7.320923423037584e-09
1883,1.7062214752172622e-08
1884,3.300848483434038e-09
1885,3.86738152613475e-09
1886,4.5174246565693466e-09
1887,5.876032105334161e-09
1888,2.028996703984376e-08
1889,8.14467782106476e-09
1890,5.898947996740844e-09
1891,7.649063604731055e-09
1892,1.6924984080901595e-08
1893,1.4780200174868696e-08
1894,2.0164925729204697e-08
1895,2.2870734639468537e-08
1896,1.7691087705884456e-08
1897,9.905413378419325e-09
1898,1.5277558773618694e-08
1899,6.633094074004475e-09
1900,1.142031713641245e-08
1901,4.470991132876634e-09
1902,2.9461704187383475e-09
1903,7.020286574288548e-09
1904,1.0749250378694342e-08
1905,7.2250627702885595e-09
1906,9.773950537805831e-09
1907,3.599990305858114e-09
1908,1.9154416719402434e-08
1909,2.2003934230241384e-09
1910,1.4963621453034648e-08
1911,6.384448969498635e-09
1912,1.0418842677495377e-08
1913,7.42418571064718e-09
1914,2.678697486047099e-09
1915,3.534228465440492e-09
1916,1.0987462051303964e-09
1917,3.289927441585405e-09
1918,6.89182577673364e-09
1919,1.6574126959767455e-08
1920,9.086678076641874e-09
1921,1.741731914250977e-08
1922,1.9182632371439468e-08
1923,8.492758496458919e-09
1924,9.02413699321869e-09
1925,9.898360353588487e-09
1926,1.89484357093761e-08
1927,8.919379901328739e-09
1928,1.3711249025050165e-08
1929,1.4482528065684619e-08
1930,8.402882833991043e-09
1931,3.4216069977333063e-09
1932,1.2055489939655217e-08
1933,6.882397318719313e-09
1934,1.0783422155213884e-08
1935,7.180970484910176e-09
1936,3.6374143697059935e-09
1937,8.813782592653752e-09
1938,9.075650453382877e-09
1939,6.117620188206274e-09
1940,1.0143131667916805e-08
1941,2.3612020783048138e-08
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,1.6065930807940276e-08
1945,1.9606536838523425e-08
1946,9.744772988540262e-09
1947,1.0728784083369192e-08
1948,1.6307831529616124e-08
1949,2.4542520904446974e-08
1950,1.3825969702452312e-08
1951,1.8124383771578323e-08
1952,1.0544804140977249e-08
1953,1.4005975934594517e-08
1954,1.07497895029951e-08
1955,1.1262729415761896e-08
1956,1.657016923672927e-08
1957,7.951533653738352e-09
1958,1.9026160202884057e-08
1959,9.300897829689347e-09
1960,1.4533750203327145e-08
1961,1.459113452284555e-08
1962,2.1562652108286784e-08
1963,6.466053470433053e-09
1964,1.7035111099517053e-08
1965,8.20806533852192e-09
1966,1.273987226824147e-08
1967,1.3804939413830652e-08
1968,1.392338955241712e-08
1969,6.358460868938209e-09
1970,8.7375777724219e-09
1971,9.24911525146399e-09
1972,1.3851396474251487e-08
1973,1.0475087464101307e-08
1974,1.012602890426706e-08
1975,6.8537762132336866e-09
1976,7.427584769459372e-09
1977,5.289103821581875e-09
1978,1.0693064211864112e-08
1979,7.022368020415115e-09
1980,1.0801786132219604e-08
1981,7.590659656386833e-09
1982,8.069752865935698e-09
1983,6.946847541655643e-09
1984,9.278413592994639e-09
1985,7.218669662023558e-09
1986,1.498621315931814e-08
1987,1.4665960890170027e-08
1988,2.6384837426007834e-08
1989,1.4269117443177493e-08
1990,1.3621627381610324e-08
1991,5.8614650910726596e-09
1992,7.162927584403178e-09
1993,4.4313659408601325e-09
1994,1.002236071911966e-08
1995,1.5182862966867106e-08
1996,1.975094043871195e-08
1997,7.192341833217597e-09
1998,1.144351013948608e-08
1999,1.6452723627935484e-08
2000,1.0161472552283612e-08
2001,9.20054432640427e-09
2002,1.4896152755738967e-08
2003,1.6250998768896352e-08
2004,1.4535810777260849e-08
2005,1.6213498099659773e-08
2006,1.93540827808647e-08
2007,2.2768533725070483e-08
2008,3.022782024686421e-08
2009,2.0503227560197956e-08
2010,2.4563723499682055e-08
2011,3.6327733710095345e-08
2012,3.336167608836149e-08
2013,3.8489925913154366e-08
2014,4.3741991362367116e-08
2015,4.521813679048137e-08
2016,4.619088400659166e-08
2017,4.477788095869073e-08
2018,5.137118819220632e-08
2019,5.3315645232032693e-08
