year,nos_DET huiles_NOUN,nos_DET tuiles_NOUN
1800,6.288328657788611e-08,0.0
1801,4.286128785224719e-08,0.0
1802,8.951360541686881e-09,2.9091921760482364e-08
1803,6.826187615160961e-08,9.751696339321825e-09
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,5.401467717547348e-08,2.842877711017877e-09
1806,3.7461699520235925e-08,8.35684019762084e-08
1807,1.7081731584767113e-08,0.0
1808,1.3596443970698147e-08,9.064295980465431e-09
1809,2.259030518203531e-09,0.0
1810,7.020380277111826e-09,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,8.00162425207418e-09
1813,2.0130190847567064e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,5.394447111228828e-09,0.0
1816,6.952811659743929e-09,0.0
1817,8.56280379935015e-08,1.2454987263765815e-08
1818,2.8610825708597076e-08,0.0
1819,5.4860564091541164e-08,0.0
1820,3.2039500830194356e-08,1.0679833017945839e-08
1821,2.859831660373402e-08,1.0847637454958203e-08
1822,3.60922172149003e-08,0.0
1823,2.668325471688604e-08,0.0
1824,2.0210670470532932e-08,8.421112696055388e-10
1825,1.7610886082763955e-08,1.7610886082763955e-09
1826,2.8185549894033102e-08,0.0
1827,1.8434546333878643e-08,0.0
1828,2.5682442839070063e-08,8.255071293206129e-09
1829,2.143293986733852e-08,2.1432940755516938e-08
1830,3.339787468803479e-08,8.349468672008697e-09
1831,4.8332740476553226e-08,4.677361609140007e-09
1832,9.470978667991403e-09,1.3529969367098715e-09
1833,2.432561940768352e-08,6.950177322551099e-09
1834,6.254136053485126e-08,9.334530925997342e-10
1835,2.647080776796429e-08,1.2100940693926532e-08
1836,4.704525213838906e-09,1.3441500135158435e-09
1837,1.2524203452102256e-08,2.7831563720326358e-09
1838,2.2723782633349288e-08,1.2624323808552163e-09
1839,1.7478688718597368e-08,1.3982950353153e-09
1840,4.076600673696973e-08,3.821813088222825e-09
1841,1.7977535904378783e-08,1.6693427085101575e-08
1842,4.561620059462257e-08,0.0
1843,2.6581099155098542e-08,2.953455480181333e-09
1844,7.409557412074719e-08,1.097712254427563e-09
1845,1.3392547515422848e-08,1.674068439427856e-09
1846,3.337065779263071e-08,9.952652035849496e-09
1847,2.3730184040005042e-08,5.9325460100012606e-09
1848,3.137636639394259e-08,0.0
1849,6.703531951757213e-09,1.005529792763582e-08
1850,3.598167896967652e-08,3.394498016007219e-09
1851,1.3543821397732358e-08,7.739326512989919e-09
1852,2.343796290382727e-08,1.1067927019325907e-08
1853,2.0901760988678575e-08,0.0
1854,1.3508727469968562e-08,1.558699391779328e-09
1855,4.192480318465641e-08,5.306937111981824e-10
1856,2.536822751864065e-08,5.177189343896771e-09
1857,1.0251168802710708e-08,4.881509085841174e-10
