year,quelques_DET oies_NOUN,quelques_DET toits_NOUN
1800,5.0306631749208464e-08,1.5720822865716855e-08
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,2.9091921760482364e-08,1.7902721083373763e-08
1803,4.4857802805609026e-08,0.0
1804,2.4718509905596875e-08,9.887403784603066e-09
1805,5.4014676953428875e-08,5.685755422035754e-09
1806,5.76333825108577e-09,5.4751712497136396e-08
1807,5.693910232196231e-09,0.0
1808,3.852325747288887e-08,4.5321479458237945e-08
1809,3.162642769893864e-08,9.036122072814123e-09
1810,1.2870697219113936e-07,9.360507036149102e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,2.300593315851529e-08
1814,0.0,9.440030979135372e-09
1815,4.315557688983063e-08,2.697223555614414e-09
1816,1.8540831092650478e-08,4.6352077731626196e-09
1817,1.2454987263765815e-08,1.401186100480345e-08
1818,3.695565098382758e-08,3.5763532135746345e-09
1819,1.035105001712111e-09,1.6561680027393777e-08
1820,3.5599443393152796e-09,3.5599443393152796e-09
1821,9.861488514673056e-09,6.903041693817613e-09
1822,1.804610860745015e-08,2.5064039732569654e-08
1823,8.894418535021487e-09,6.917880712720148e-09
1824,1.431589158329416e-08,1.3473780313688621e-08
1825,3.522177216552791e-09,4.4027217427355936e-09
1826,1.8496766784892316e-08,3.699353356978463e-08
1827,1.013900030599757e-08,8.295545583791863e-09
1828,1.0089530988466322e-08,1.0089530988466322e-08
1829,9.430493552731178e-09,1.2859764364492321e-08
1830,9.39315203396518e-09,2.0873671680021744e-09
1831,3.1182412207897414e-09,4.677361609140007e-09
1832,1.0823975493678972e-08,2.705993784601901e-08
1833,2.0850531967653296e-08,2.548398347901326e-08
1834,1.8669061851994684e-08,2.70701401294815e-08
1835,7.563087933704082e-09,2.2689263801112247e-08
1836,1.949017514046858e-08,1.6129799718100912e-08
1837,1.7394727436226276e-08,9.045257765016856e-09
1838,3.787297142565649e-09,2.4617431648721322e-08
1839,4.894032734625853e-09,1.7478688718597368e-08
1840,4.458782232319436e-09,7.0066574764382494e-09
1841,4.494383976094696e-09,2.953452282739022e-08
1842,6.708265054555795e-10,6.037438549100216e-09
1843,1.594865972620596e-08,2.2446261738195972e-08
1844,4.9397050894128824e-09,2.7442805805577564e-09
1845,1.562463802784464e-08,1.8414752223083752e-08
1846,8.196302303531411e-09,1.4636253098387897e-08
1847,1.0786447290911383e-08,1.4022381478184798e-08
