year,fus_VERB en_ADP,fus_VERB tant_ADV
1800,3.301372828445892e-07,3.144164484325529e-09
1801,2.928854598849284e-07,4.7623651688866175e-09
1802,3.3791386044867977e-07,1.1189200677108602e-08
1803,1.677291692203653e-07,0.0
1804,2.3482583344502928e-07,4.943701892301533e-09
1805,3.9231713344634045e-07,0.0
1806,2.9104859322615084e-07,2.881669125542885e-09
1807,2.306033621835013e-07,2.8469551160981155e-09
1808,1.8128591250388126e-07,0.0
1809,2.3268013649158092e-07,6.7770917766551975e-09
1810,3.6739990605383355e-07,1.4040760554223652e-08
1811,1.1281845502253418e-07,1.7549536934780008e-08
1812,1.893717893608482e-07,8.00162425207418e-09
1813,2.0705340375570813e-07,0.0
1814,2.0138733702879108e-07,0.0
1815,1.8610842289490392e-07,2.697223555614414e-09
1816,1.0892738089296472e-07,0.0
1817,2.1796228111270466e-07,3.113746815941454e-09
1818,2.4319200520039885e-07,1.3113295338484932e-08
1819,2.4946029952843674e-07,6.210630232317271e-09
1820,1.7562392429226747e-07,1.0679833017945839e-08
1821,3.2838755714692525e-07,8.875339574387908e-09
1822,4.2408356648593326e-07,1.1028177482330648e-08
1823,5.890081524739799e-07,1.087095569118901e-08
1824,5.549513275582285e-07,2.947389532437228e-08
1825,4.81657707496197e-07,3.610231757988913e-08
1826,2.748091105786443e-07,6.1655889282974385e-09
1827,1.6591091878126463e-07,4.608636583469661e-09
1828,2.7058288765147154e-07,3.668920500743411e-09
1829,3.214940988982562e-07,4.286587973467704e-09
1830,3.600708282647247e-07,1.0436835395921662e-08
1831,2.0268568334813608e-07,1.7150327380477393e-08
1832,2.8007036689814413e-07,1.3529969367098715e-09
1833,3.3245012787119776e-07,5.791814139399776e-09
1834,2.4176435431400023e-07,0.0
1835,3.327758690829796e-07,8.31939672707449e-09
1836,2.6815791898116004e-07,2.016224964762614e-09
1837,3.7503031080632354e-07,1.461157062010443e-08
1838,3.964037773585005e-07,8.2058102535143e-09
1839,2.6917180662167084e-07,6.292327547896548e-09
1840,2.592463204109663e-07,5.732719632334238e-09
1841,1.3804179843646125e-07,6.420548537278137e-10
1842,1.7038993860296614e-07,1.0062397137744483e-08
1843,1.7543526098506845e-07,3.5441467538532834e-09
1844,1.5642399375792593e-07,6.037417232818143e-09
1845,1.6573277150655485e-07,3.9061593959388574e-09
1846,1.574860846176307e-07,2.9272506640865004e-09
1847,1.3483058580732177e-07,1.0786447290911383e-09
1848,1.432049430150073e-07,2.413566457803995e-09
1849,1.0893239732467919e-07,4.1897072478036534e-09
1850,1.9077079116414097e-07,4.073397619208663e-09
1851,1.2769888257935236e-07,1.9348316282474798e-09
1852,1.894568697480281e-07,6.510545436100301e-10
1853,2.1498954083654098e-07,5.971931837933653e-10
1854,2.031504777733062e-07,1.2469595134234623e-08
1855,2.281983029206458e-07,3.714855978387277e-09
1856,2.0242809739556833e-07,4.659470143053568e-09
1857,2.5627923605497926e-07,1.9526036343364694e-09
1858,2.53981795594882e-07,5.3830437884982985e-09
1859,2.612284788483521e-07,9.675129142294736e-09
1860,1.7484842373960419e-07,3.661747127736703e-09
1861,2.329686026314448e-07,1.226150558863992e-08
1862,2.1641153580276296e-07,5.421583626485926e-09
1863,1.4734131070781586e-07,1.9978483312144135e-09
1864,2.047348885980682e-07,5.753673537611803e-09
1865,1.920392520560199e-07,3.294791106611683e-09
1866,1.7710830491068918e-07,4.379051787850585e-09
1867,1.7906874916207016e-07,7.279217228983725e-09
1868,1.60051925490734e-07,2.9639244392143382e-09
1869,1.8215526154108375e-07,2.9301114867763545e-09
1870,1.8004912760716252e-07,4.013834153937523e-09
1871,1.4763436695375276e-07,2.1242354542039266e-09
1872,1.5844028666833765e-07,2.4189357183956872e-09
1873,1.6581232387125056e-07,6.584604861359367e-09
1874,2.2942498389966204e-07,4.182226565063729e-09
1875,1.8652178823685972e-07,5.721527251978387e-09
1876,2.1826113538736536e-07,6.04601479992084e-09
1877,1.7131939955561393e-07,1.36065949618569e-08
1878,1.4916548707333277e-07,6.6429977074733415e-09
1879,1.4967847050684213e-07,6.720257683667796e-09
1880,1.752072051885989e-07,1.5402831010646878e-08
1881,1.624594290206005e-07,1.1156012114099667e-08
1882,1.257867836557125e-07,5.989846840748214e-09
1883,1.3649771801738098e-07,3.791603475633565e-09
1884,1.4523733682381135e-07,7.2618666635548834e-09
1885,1.1408775435484131e-07,6.445635691854079e-10
1886,1.3358669548324542e-07,5.162771099520569e-09
1887,1.2666113491377473e-07,1.3057849246322917e-09
1888,1.2237386215474544e-07,1.9021844099853524e-09
1889,1.014952175637518e-07,2.5060546970934183e-09
1890,1.3633123785439238e-07,4.5880703680722945e-09
1891,1.4788190583203686e-07,1.2748440081367107e-09
1892,1.1972858260378416e-07,4.387958441043338e-09
1893,1.1762575269358422e-07,6.15841644346915e-09
1894,1.6257970969490998e-07,2.520615716150587e-09
1895,1.3842813473274873e-07,3.611168697403855e-09
1896,1.2737582721911167e-07,5.89702897624278e-10
1897,1.241089933046169e-07,1.1653427112179315e-09
1898,1.0581123888186994e-07,5.6583548957434e-10
1899,1.1663190235822185e-07,4.9748205555033564e-09
1900,1.1316495829305495e-07,2.07642125715779e-09
1901,8.438995990900366e-08,1.1177477832191585e-09
1902,1.0262493077561885e-07,9.820567692386817e-10
1903,9.396383404691733e-08,0.0
1904,9.244355680948502e-08,5.374625189347171e-10
1905,1.0115087434314773e-07,6.708986699521802e-09
1906,7.253299827425508e-08,1.0288369045596824e-09
1907,1.0902827796144265e-07,5.142843373384665e-10
