year,mais_CONJ elles_PRON,mais_CONJ tels_ADJ
1800,2.2402171111934877e-05,9.432493719430113e-08
1801,1.803031500458019e-05,1.6192041840668026e-07
1802,2.0223361843818566e-05,8.503792514602537e-08
1803,2.5409019940525468e-05,8.191424427650418e-08
1804,2.0733885605750402e-05,1.0876143718974163e-07
1805,1.896767957987322e-05,2.2743021466098412e-08
1806,1.8759665465495345e-05,8.068673551520078e-08
1807,1.9276733723927464e-05,1.4519470781237942e-07
1808,1.9275224588000128e-05,8.38447360429484e-08
1809,2.0778562657142174e-05,8.358413250419972e-08
1810,1.8447218621986394e-05,1.0998595811884115e-07
1811,1.7479338850989734e-05,6.016983888912364e-08
1812,1.7318182187864295e-05,1.1202274663446588e-07
1813,1.883610798358859e-05,7.476928232108548e-08
1814,1.733819146920723e-05,7.237357380063258e-08
1815,1.7793583651837253e-05,8.0916705780254e-08
1816,2.109483045842353e-05,1.0660977878274025e-07
1817,1.935504934635901e-05,1.3233424311920317e-07
1818,1.800932238893438e-05,7.510341859529035e-08
1819,1.6631032110581145e-05,1.1386155307491208e-07
1820,1.5855992216984305e-05,1.3409123766905395e-07
1821,1.572019857576379e-05,7.396116252778029e-08
1822,1.548356112834881e-05,1.1429202118051762e-07
1823,1.5179806666765217e-05,1.3539281162877614e-07
1824,1.4203890884800785e-05,1.6000114300140922e-07
1825,1.592552439433348e-05,1.1623184725806368e-07
1826,1.533822364763182e-05,1.3123896813738156e-07
1827,1.4866539913782617e-05,8.387718608560135e-08
1828,1.6840344471802382e-05,1.3391559861020141e-07
1829,1.5910100501059787e-05,1.3545618315902175e-07
1830,1.5775277063312387e-05,1.210672948559477e-07
1831,1.4796054415455728e-05,1.0134284167406804e-07
1832,1.5516168843987543e-05,8.79448034396546e-08
1833,1.6938739690885996e-05,1.3321172431801642e-07
1834,1.546078362935077e-05,8.027696374313109e-08
1835,1.54097913878104e-05,8.621920244422654e-08
1836,1.5112278617834818e-05,1.3038255275432675e-07
1837,1.6155526395777997e-05,1.370704509895404e-07
1838,1.4801388829255302e-05,1.1677499145434922e-07
1839,1.530713581132659e-05,1.391303534603594e-07
1840,1.4773218708796776e-05,1.0892167523479657e-07
1841,1.5253297021899925e-05,1.219904177673925e-07
1842,1.4625359824549378e-05,1.0464893307471357e-07
1843,1.5098655694600893e-05,1.0100817959823871e-07
1844,1.4923398168775748e-05,7.299786730641245e-08
1845,1.490590477715159e-05,1.0379223880363497e-07
1846,1.5467592106688244e-05,8.72320740086252e-08
1847,1.4210605002062948e-05,1.0301057074002529e-07
1848,1.4627822565671522e-05,8.527934980406826e-08
1849,1.4104231070177775e-05,9.720121596501485e-08
1850,1.4376378430824843e-05,4.6844073509078044e-08
1851,1.4391277318281936e-05,7.674831792314762e-08
1852,1.4799771975049225e-05,8.528814632313697e-08
1853,1.5270229937414115e-05,6.449686296150503e-08
1854,1.4686584620449139e-05,7.793496692443114e-08
1855,1.4672088980205444e-05,8.862585332281014e-08
1856,1.4292148989625275e-05,8.128186834710505e-08
1857,1.4523953836942383e-05,1.0299983799200163e-07
1858,1.433847103271546e-05,1.1989506276677275e-07
1859,1.493992726864235e-05,8.147477359443656e-08
1860,1.46703317795982e-05,8.193159217739776e-08
1861,1.4337473203340778e-05,8.677373486420947e-08
1862,1.3912686881667469e-05,7.95165622236027e-08
1863,1.327220587654665e-05,1.0189026333762286e-07
1864,1.4613851590183913e-05,1.0116875870380682e-07
1865,1.4527204371006519e-05,6.777855965367507e-08
1866,1.3929276633461996e-05,9.244664234131506e-08
1867,1.4215340684131661e-05,7.327745521479301e-08
1868,1.4787018585593614e-05,8.69417853266441e-08
1869,1.4701346231049683e-05,7.66712489053134e-08
1870,1.4927449456081376e-05,7.2249013882697e-08
1871,1.3941357337898808e-05,1.0090118607308796e-07
1872,1.4445279020947055e-05,7.982487915114689e-08
1873,1.5245754866555217e-05,1.1912148778492337e-07
1874,1.4513520227410481e-05,6.273339536733147e-08
1875,1.3976546142657753e-05,9.554950608503532e-08
1876,1.5257723021022684e-05,4.836811928754514e-08
1877,1.4525658684760856e-05,5.3807898581226254e-08
1878,1.3930365867054206e-05,6.703388333306748e-08
1879,1.4045338616597292e-05,8.369775805761037e-08
1880,1.3677072274731472e-05,5.840240113741402e-08
1881,1.3254039231469505e-05,5.2991056875839604e-08
1882,1.3737380413658684e-05,6.189508106047015e-08
1883,1.3525280905923864e-05,5.8137917591238875e-08
1884,1.3974471698929847e-05,6.469663027530714e-08
1885,1.3678283835361071e-05,7.154655445873459e-08
1886,1.2977270785086148e-05,6.066255942016596e-08
1887,1.3441096939459385e-05,5.223139609711325e-08
