year,deux_DET huiles_NOUN,deux_DET tuiles_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,4.0480102825313224e-08,2.3811825844433088e-09
1802,0.0,4.475680270843441e-09
1803,4.4857802805609026e-08,5.851017448321727e-09
1804,2.7190360185613827e-08,1.9774807569206132e-08
1805,2.55858996212055e-08,0.0
1806,7.204172902675055e-08,0.0
1807,3.701041606518629e-08,2.2775640928784924e-08
1808,0.0,9.064295980465431e-09
1809,0.0,1.3554183553310395e-08
1810,0.0,3.042164786748458e-08
1811,2.5070768572277302e-08,3.008491944456182e-08
1812,2.9339290108509886e-08,5.601137331723294e-08
1813,0.0,0.0
1814,6.293354282149721e-09,9.440030979135372e-09
1815,0.0,4.045835311217161e-08
1816,4.1716869958463576e-08,1.3905623319487859e-08
1817,1.8682481339737933e-08,0.0
1818,1.7881765401739358e-08,8.344824387052086e-09
1819,8.280840013696888e-09,2.173720581311045e-08
1820,7.713212824000948e-08,4.9839222526770754e-08
1821,7.396116075142345e-08,2.6626018723163725e-08
1822,1.0025615893027862e-08,5.012807946513931e-09
1823,5.6331316500290995e-08,2.569498569471307e-08
1824,3.536867154707579e-08,7.57900142644985e-09
1825,4.138558296062911e-08,2.2013607603454943e-08
1826,1.0569580766173203e-08,1.3211976401805714e-08
1827,7.558163872545265e-08,1.566936447261469e-08
1828,1.1098484264948638e-07,9.172301140836225e-09
1829,1.1145129263923081e-08,6.001223074036943e-09
1830,3.339787468803479e-08,2.7135772739939057e-08
1831,1.7462150481151184e-07,2.494592976631793e-08
1832,8.659180394943178e-08,2.841293600397421e-08
1833,3.01174338801502e-08,3.1275796175123105e-08
1834,2.7070139907436896e-08,1.4001796166951408e-08
1835,4.689114518896531e-08,1.8907719834260206e-08
1836,4.301280043250699e-08,1.4113575363960962e-08
1837,2.5048407792382932e-08,1.948209416013924e-08
1838,6.94337813911261e-08,8.837027110075724e-09
1839,6.432156851587933e-08,8.38977065598101e-09
1840,4.0129037870428874e-08,5.095750932326837e-09
1841,9.502412012807326e-08,1.0272877659645019e-08
1842,8.318248490013502e-08,2.2137275124123335e-08
1843,7.915260624713483e-08,2.5990408047960045e-08
1844,1.1690635659533655e-07,3.8419927905763984e-08
1845,4.3525776760589e-08,2.287893430263921e-08
1846,4.390875929516369e-08,2.1661655580373917e-08
1847,3.5055954583640414e-08,1.5101026207275936e-08
1848,3.057184372323718e-08,8.04522137798358e-09
1849,5.111443202032717e-08,9.217356655710773e-09
1850,7.87523504186538e-08,4.752297222410107e-08
1851,3.54719118522695e-08,2.9022473757578382e-08
1852,3.515694446676321e-08,1.1067927685459722e-08
1853,4.359510086260343e-08,1.9110181659343084e-08
1854,7.58567040293201e-08,1.610655964157104e-08
1855,1.9104973603134567e-08,1.0613874223963649e-08
1856,8.179959110066193e-08,2.485050742961903e-08
1857,6.492407322866711e-08,1.2203773103180993e-08
1858,1.4191660291373864e-08,1.1744822447923298e-08
1859,2.5460867192350634e-08,2.4442432966509386e-08
1860,1.2358396972445007e-08,1.0985241244432231e-08
1861,1.4619487842537637e-08,1.3204698667834691e-08
