year,tes_DET airs_NOUN,tes_DET terres_NOUN
1800,6.288328968651058e-09,3.458580977167003e-08
1801,7.143547975374531e-09,2.143064325998978e-08
1802,2.0140561218795483e-08,2.2378401354217203e-08
1803,7.801356893821776e-09,5.460949736857401e-08
1804,2.4718509461507665e-09,2.22466585153569e-08
1805,1.1371510622026904e-08,3.4114532532214525e-08
1806,8.645007376628655e-09,2.0171682990621775e-08
1807,1.9928686256776018e-08,2.8469551160981155e-08
1808,2.2660739507074368e-08,2.945896193651265e-08
1809,6.7770917766551975e-09,3.162642681076022e-08
1810,7.020380365929668e-08,2.106114038724627e-08
1811,2.2563690471599784e-08,1.2535383842049441e-08
1812,1.0668832928217853e-08,2.400487453257938e-08
1813,5.751483289628823e-09,3.1633157648869314e-08
1814,6.293354282149721e-09,1.5733385261285093e-08
1815,2.697223555614414e-09,1.888056444521169e-08
1816,4.6352077731626196e-09,1.1588019432906549e-08
1817,1.71256075987003e-08,0.0
1818,1.5497530370112145e-08,1.7881766067873173e-08
1819,1.1386155129855524e-08,2.484252026313527e-08
1820,1.3053129244156025e-08,5.577246131593938e-08
1821,1.577838126820552e-08,3.3529059417780616e-08
1822,6.015369535816717e-09,2.7069162911175226e-08
1823,2.569498536164616e-08,4.15072847204101e-08
1824,2.86317822784099e-08,3.2842340402794434e-08
1825,8.805443485471187e-09,3.5221771055304885e-08
1826,1.2331177745572575e-08,3.963592876132793e-08
1827,8.295545583791863e-09,2.488663675137559e-08
1828,2.0179061976932644e-08,2.568244400480424e-08
1829,6.001223074036943e-09,4.029392774995699e-08
1830,1.2524203008013046e-08,1.6698937344017395e-08
1831,1.5591206103948707e-09,2.9623292263636358e-08
1832,1.7588959622116818e-08,1.7588959622116818e-08
1833,1.737544208513242e-08,1.6217079235048004e-08
1834,8.401078055442213e-09,2.6136687480970977e-08
1835,1.5126175867408165e-08,3.7059130875150004e-08
1836,5.376600054063374e-09,4.637317441158473e-08
1837,1.0436836728189292e-08,3.478945442836334e-08
1838,1.1361891871786156e-08,2.4617431870765927e-08
1839,1.11863602825224e-08,1.25846553178377e-08
1840,1.1465439264668476e-08,3.24854127486951e-08
1841,1.4767262079828924e-08,1.9903700909651434e-08
1842,1.6770663080478698e-08,4.092041550052272e-08
1843,9.451057714215949e-09,2.7762481258353233e-08
1844,1.2623690537338916e-08,2.9638231424655714e-08
1845,1.0602432709561072e-08,3.850357188639464e-08
1846,1.4636253320432502e-08,2.1661654470150893e-08
1847,8.089835468183537e-09,1.887628275909492e-08
1848,3.218088684420195e-09,2.976732105253177e-08
1849,1.759677159540729e-08,1.005529792763582e-08
