year,nos_DET eaux_NOUN,nos_DET taux_NOUN
1800,1.6978488170948935e-07,3.144164484325529e-09
1801,2.5240534040626983e-07,0.0
1802,5.572221937200084e-07,0.0
1803,5.558466682487051e-07,3.900678446910888e-09
1804,1.9033252907085796e-07,2.4718509461507665e-09
1805,2.4448747981686836e-07,0.0
1806,1.123850950079941e-07,0.0
1807,1.7366425675291453e-07,0.0
1808,2.1074488509853495e-07,0.0
1809,3.4789070069152217e-07,0.0
1810,6.248138508802015e-07,2.3401267590372754e-09
1811,2.0307322312618226e-07,0.0
1812,5.521120840512594e-07,0.0
1813,2.5594099395398473e-07,0.0
1814,1.5733385794192145e-07,3.1466771410748606e-09
1815,2.0498898534171417e-07,0.0
1816,2.0394914201915526e-07,0.0
1817,4.125714561098448e-07,0.0
1818,9.393887872022333e-07,0.0
1819,2.950049129424315e-07,1.035105001712111e-09
1820,2.7530235424677585e-07,1.1866481131050932e-09
1821,4.4376696273218386e-07,9.86148829262845e-10
1822,3.258325307342602e-07,1.0025615893027862e-09
1823,2.2137218458340158e-07,0.0
1824,2.206331588539001e-07,0.0
1825,1.6994505336320742e-07,0.0
1826,1.8849086469430176e-07,1.2331177856594877e-08
1827,5.382887540150705e-07,0.0
1828,4.797113555277122e-07,0.0
1829,9.199018062844289e-07,0.0
1830,3.965997514843167e-07,0.0
1831,3.710706950599274e-07,0.0
1832,3.0983630083802893e-07,0.0
1833,1.646033624069787e-06,0.0
1834,4.060521003879103e-07,0.0
1835,4.250455489795968e-07,7.563087933704082e-10
1836,3.75017862097593e-07,6.720750067579218e-10
1837,4.049492597912874e-07,0.0
1838,2.670044372266034e-07,0.0
1839,2.7126923396458835e-07,0.0
1840,2.223021389191615e-07,6.369688665408546e-10
1841,3.5698249689630757e-07,0.0
1842,2.5223075894587055e-07,0.0
1843,3.538239612410621e-07,1.1813822142769936e-09
1844,3.507190520779524e-07,0.0
1845,3.1026068048056743e-07,2.7901139176833567e-09
1846,3.2199757704631793e-07,0.0
1847,2.1518961723643315e-07,0.0
1848,2.244616927882248e-07,0.0
1849,4.7678869941059077e-07,0.0
1850,2.0706437897644037e-07,1.3577992064028876e-09
1851,3.3021126988330707e-07,0.0
1852,5.462347409945778e-07,6.510545436100301e-10
1853,5.303075720775041e-07,5.971931837933653e-10
1854,3.7720523471396206e-07,5.195664454227256e-10
1855,3.0886374702276953e-07,2.1227748447927297e-09
1856,2.7335559593666403e-07,2.0708756931497874e-09
1857,3.8075769914769353e-07,1.9526036343364694e-09
1858,3.2445070619058214e-07,4.893676019968041e-10
1859,2.7344970776610467e-07,0.0
1860,3.7212506143191604e-07,1.8308735638683515e-09
1861,3.437937690087267e-07,1.414789119191795e-09
1862,3.3930077683597126e-07,0.0
1863,4.1255567762021883e-07,9.989241656072068e-10
1864,3.015883973667144e-07,9.589455896019672e-10
1865,3.751355008851931e-07,9.41368871743009e-10
1866,3.5129725728388905e-07,2.919367858567057e-09
1867,4.682963172797372e-07,4.85281148598915e-10
1868,4.954693952896605e-07,4.93987406535723e-10
1869,3.750542578728755e-07,9.767038289254515e-10
1870,6.748975378556565e-07,8.601073631098188e-09
1871,3.016414447110094e-07,1.3807530674370128e-08
1872,5.140238581446965e-07,4.233137618214755e-09
1873,4.561335344988038e-07,1.7958012854535355e-09
1874,4.098581971589965e-07,1.7923826867161097e-09
1875,5.321020166704216e-07,2.8607636259891933e-09
1876,3.845265357238503e-07,6.04601479992084e-10
1877,4.490176337412777e-07,1.2369631985365004e-09
1878,3.2973425279081425e-07,6.039088673581716e-10
1879,4.765273846629725e-07,3.054662633950045e-09
1880,3.5426511679759187e-07,1.2835692508872398e-09
1881,3.186436088320477e-07,2.091752326904839e-09
1882,4.166271019290235e-07,1.3310770263785798e-09
