year,elles_PRON iraient_VERB,elles_PRON tiraient_VERB
1800,6.288328968651058e-09,1.8864986905953174e-08
1801,1.1905912700171939e-08,4.7623651688866175e-09
1802,2.6854081625060644e-08,8.951360541686881e-09
1803,1.1702034896643454e-08,2.5354410126965377e-08
1804,9.887403784603066e-09,1.4831105898949204e-08
1805,8.528632911009026e-09,5.685755510853596e-08
1806,1.729001475325731e-08,1.152667650217154e-08
1807,2.2775640928784924e-08,3.4163463169534225e-08
1808,0.0,2.039466551195801e-08
1809,0.0,2.0331274663831778e-08
1810,1.6380887757350138e-08,1.1700633795186377e-08
1811,7.521229861140455e-09,4.763445815569867e-08
1812,2.6672082320544632e-09,6.934741492159446e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,1.2586708564299443e-08,3.776012391654149e-08
1815,5.394447111228828e-09,5.664169533403651e-08
1816,1.8540831092650478e-08,4.6352077731626196e-09
1817,1.0898113966817391e-08,5.1376822796100896e-08
1818,2.1458119725537017e-08,3.695565098382758e-08
1819,3.1053151161586356e-09,1.0454560650519085e-07
1820,2.966620371580575e-08,4.746592452420373e-08
1821,1.97229765852569e-09,4.832129085752257e-08
1822,4.010246357211145e-09,4.3110148340019805e-08
1823,1.5812298692630122e-08,6.621400494566387e-08
1824,2.947389532437228e-08,4.8000341479337294e-08
1825,1.4088708866211164e-08,4.931048014356065e-08
1826,2.7304752237000685e-08,5.372870548470132e-08
1827,1.566936447261469e-08,4.2399454613928356e-08
1828,1.4675682002973645e-08,5.870272679064925e-08
1829,1.7146351893870815e-08,4.3723197173939354e-08
1830,1.3567886369969528e-08,8.036363396968227e-08
1831,1.7150327380477393e-08,3.4300654760954785e-08
1832,3.5177919244233635e-08,8.117981842303834e-09
1833,3.8225973497674204e-08,3.938433579264711e-08
1834,1.9602515166639023e-08,3.9205030333278046e-08
1835,5.672315950278062e-08,6.201732105637348e-08
1836,2.352262562510532e-08,4.032449929525228e-08
1837,3.8964189874590716e-08,8.140732088435243e-08
1838,5.8703106597945975e-08,8.142689011947368e-08
1839,2.866504811294135e-08,4.194885194763742e-08
1840,4.586175839094153e-08,5.923810419972142e-08
1841,5.072233344449728e-08,7.255219536261848e-08
1842,4.561620414733625e-08,4.82995070605341e-08
1843,2.3627643841450663e-08,6.438533084462961e-08
1844,3.2382511339079656e-08,6.147188646998814e-08
1845,4.464182429275709e-08,6.30565741843725e-08
1846,6.966856291867884e-08,4.2152409562845605e-08
1847,2.8584086209093584e-08,3.182001862001016e-08
1848,2.172209917494783e-08,2.6549231146866248e-08
1849,2.2624419893091385e-08,2.8490011239057367e-08
1850,3.86972773824823e-08,5.974316419354864e-08
1851,3.9341575330809064e-08,6.384944395421144e-08
1852,2.4089017225392695e-08,4.882909210301989e-08
1853,3.4637204660015186e-08,4.240071671546275e-08
1854,3.1173985892696265e-08,3.4810952342922974e-08
1855,2.812676669350367e-08,3.237231638308913e-08
1856,4.141751297481733e-08,2.847454005916461e-08
1857,3.5635016715218626e-08,5.125584490173196e-08
1858,3.425573202875398e-08,6.019221387987272e-08
1859,3.870051634713434e-08,6.212451397757945e-08
1860,3.982150076353719e-08,4.3483247225140076e-08
1861,7.026785819874704e-08,3.395493930469229e-08
1862,3.7047488632424574e-08,3.298130146767164e-08
1863,2.6970952582416885e-08,4.6449973312157056e-08
1864,4.075518655888288e-08,3.5480986260161274e-08
1865,3.1535857258901956e-08,2.588764447253311e-08
1866,2.0435575009969398e-08,3.21130452229923e-08
1867,2.038180824115443e-08,4.31900204489466e-08
1868,2.2723420922687865e-08,3.359114320033996e-08
1869,4.981189460906421e-08,6.25090454953181e-08
1870,3.55511033944822e-08,4.3578770370089615e-08
1871,3.398776571295059e-08,1.0833600860848946e-07
1872,2.660829334644177e-08,3.5679302179403294e-08
1873,3.35216265301419e-08,4.309923118395176e-08
1874,3.226288780577846e-08,3.345780963392997e-08
1875,3.718992758194872e-08,3.032409345848919e-08
1876,3.808989301745669e-08,2.7207066377599176e-08
1877,2.783167152298205e-08,3.7727377666385564e-08
1878,1.751335776400964e-08,4.166971345753723e-08
1879,2.9324761063875826e-08,3.1157558311178946e-08
1880,3.337280074511284e-08,2.1820677265083077e-08
1881,1.4642265622200057e-08,1.1156012336144272e-08
1882,4.1263389150003604e-08,2.7287078374627072e-08
1883,3.6020231242162026e-08,4.2339571848515334e-08
1884,3.366865275467035e-08,3.564916273290919e-08
1885,5.349877718607843e-08,3.093905087681037e-08
1886,4.388355584472592e-08,3.09766259309896e-08
1887,3.852065688647599e-08,2.6768590455361618e-08
1888,1.902184343371971e-08,2.853276592773568e-08
1889,2.0048436688568927e-08,1.9421923624918236e-08
1890,2.5562107985876992e-08,2.818386235503567e-08
1891,4.525696351009856e-08,3.505821055682645e-08
1892,5.8924017665162864e-08,3.5103669304703544e-08
1893,4.3724758036489675e-08,2.0322775018399852e-08
1894,3.213785060296459e-08,2.7096618282484997e-08
1895,4.032471712100971e-08,4.5741469278937075e-08
1896,4.304831335844028e-08,2.8305739085965342e-08
1897,2.4472196269442748e-08,1.514945524583311e-08
1898,5.318853713021099e-08,2.489676231842708e-08
1899,4.643165851803133e-08,2.3215829259015663e-08
1900,3.633737033492679e-08,2.7512581546318415e-08
1901,3.3532433940663964e-08,3.520905433873622e-08
1902,2.8970674414985353e-08,1.8659078282468045e-08
1903,2.7541123825969294e-08,1.8900770948349077e-08
1904,4.2997001514777367e-08,2.3110888314192835e-08
1905,3.251278091198628e-08,3.354493216534138e-08
1906,2.3148829852992492e-08,4.372556716703002e-08
1907,4.0628461484004674e-08,2.5199931918962193e-08
1908,4.174680778845641e-08,2.7994917051188395e-08
1909,2.9705311543892776e-08,2.7504917454734823e-08
1910,3.901230094527364e-08,2.7255168344453296e-08
1911,3.990280550425496e-08,2.074945948393747e-08
1912,2.2921453179947093e-08,4.53219644036551e-08
1913,3.712092899732511e-08,3.181793917228504e-08
1914,2.276892896446725e-08,2.1429580776555213e-08
1915,4.005458986711119e-08,2.1205371236732162e-08
1916,4.504859507648007e-08,4.9443578120644815e-08
1917,4.934891040253575e-08,3.180263075108769e-08
1918,2.2972752589112133e-08,4.824278043713548e-08
1919,4.6960026978126734e-08,3.222746935982457e-08
1920,3.7861159096763686e-08,3.710393370326415e-08
1921,2.0446417448027887e-08,2.7261891411001216e-08
1922,2.803615561930428e-08,3.6889677090812256e-08
1923,2.3355086753440446e-08,2.0170301429089932e-08
1924,4.3831523188764265e-08,2.1915761205804074e-08
1925,3.739380560752181e-08,2.0896537833436923e-08
1926,2.89799594321849e-08,2.6750731407787498e-08
1927,4.3481975797732275e-08,3.6792441981958746e-08
1928,3.656333324997263e-08,2.5137290471377582e-08
1929,2.2280811862174232e-08,3.007909721297608e-08
1930,3.151081084951102e-08,2.5208648724017735e-08
1931,2.9653926425510235e-08,3.763767608688795e-08
1932,1.8631212572728373e-08,2.6302887423668153e-08
1933,2.638252261100149e-08,2.0647191734113335e-08
1934,4.313368862085554e-08,2.516131836216573e-08
1935,1.795242532409702e-08,2.8723881051462286e-08
1936,2.9099315845826368e-08,1.9399542861009422e-08
1937,2.6441348222050465e-08,2.2664012888640173e-08
1938,3.24130358109187e-08,3.630260092535309e-08
1939,1.5294050470515685e-08,4.5882150523368637e-08
1940,2.2822046474857416e-08,3.0429395003750415e-08
1941,3.541802984230458e-08,3.541802984230458e-08
1942,5.158159899210091e-08,5.76500234217292e-08
1943,2.0322646676618206e-08,6.677441000135786e-08
1944,1.927911696952833e-08,3.855823393905666e-08
1945,5.2284097940002994e-08,3.0499057501742755e-08
1946,2.7842207650508044e-08,3.062643028073353e-08
1947,3.337843779149807e-08,3.933887415819015e-08
1948,3.4790040182031134e-08,2.6092531246746375e-08
1949,4.319483593029361e-08,3.043272478464587e-08
1950,2.7651940293083044e-08,2.765193918286002e-08
1951,3.5182624813501207e-08,2.3455084541268434e-08
1952,1.7926166329118587e-08,2.9525451417100612e-08
1953,2.3702420914872846e-08,3.5553631150264664e-08
1954,1.759056478256582e-08,2.8340354951694735e-08
1955,2.3464019616170617e-08,2.7218263642936336e-08
1956,2.703553914074064e-08,1.657016923672927e-08
1957,2.1204090039361745e-08,1.767007518083119e-08
1958,1.4890038535497752e-08,1.7371711014124713e-08
1959,2.1702094787912074e-08,2.325224324195574e-08
1960,2.5607083564693767e-08,3.94487482680006e-08
1961,1.181187059273725e-08,2.848745284111942e-08
1962,2.8538804208722013e-08,2.663621767595714e-08
1963,1.2932106496776896e-08,2.3277792138287623e-08
1964,2.6769460870212924e-08,2.372747665013719e-08
1965,1.3680108157387849e-08,2.954903344232207e-08
1966,2.880318783482494e-08,3.21266337977022e-08
1967,2.1693475904527304e-08,3.4019314476552154e-08
