year,des_DET humeurs_NOUN,des_DET tumeurs_NOUN
1800,9.778351781619676e-07,5.911029248295563e-07
1801,1.57872405281978e-06,1.631110023936344e-06
1802,1.4210285144145018e-06,9.80173950893004e-07
1803,1.583675395266937e-06,1.7670073830799993e-06
1804,1.2779468896439994e-06,1.253228418818253e-06
1805,1.2309660668563538e-06,1.3560526355149705e-06
1806,8.21275698115187e-07,6.224405124655163e-07
1807,6.320240402146737e-07,8.512395943682804e-07
1808,6.91152547194207e-07,6.118399760168813e-07
1809,6.79968170658185e-07,8.042148600395649e-07
1810,6.552354978595076e-07,1.029655743778335e-06
1811,1.0103519514359505e-06,6.217550208020839e-07
1812,7.921608498051569e-07,3.398023181944154e-06
1813,1.0093853148873677e-06,2.8095996356114483e-06
1814,1.0793102518391606e-06,1.3719512099719111e-06
1815,1.5050507078395725e-06,2.303428868088986e-06
1816,8.297021665271131e-07,1.5898762768529195e-06
1817,7.581973262560382e-07,1.7732788215596429e-06
1818,1.5795559846765173e-06,1.9205016528189844e-06
1819,7.483809305597333e-07,1.2700738452053884e-06
1820,8.330269833933812e-07,1.1391821956863168e-06
1821,8.046974649955629e-07,1.4969739723369457e-06
1822,5.273474101841202e-07,9.544386188053977e-07
1823,4.842516561076593e-07,8.192747689150792e-07
1824,4.749507702683786e-07,9.456909779714806e-07
1825,3.900811229584633e-07,7.87206602126389e-07
1826,3.3206099914195875e-07,8.940104052612696e-07
1827,3.8067337726488404e-07,5.023413702787138e-07
1828,4.5769782719418117e-07,1.2887083613577488e-06
1829,4.7666860192308036e-07,1.0364969682541414e-06
1830,3.0684297502858726e-07,9.925431143642527e-07
1831,4.2096255370438485e-07,9.479453382255087e-07
1832,3.3148424982698543e-07,1.2082263012302974e-06
1833,3.1623306995243183e-07,1.2556652890793885e-06
1834,3.4164383810875165e-07,1.1126760597335306e-06
1835,7.124428833549246e-07,1.2705988012839953e-06
1836,4.308000791652944e-07,1.1237093779925544e-06
1837,4.098197621260624e-07,1.8292295393962377e-06
1838,3.5979322410284453e-07,1.0983162042066397e-06
1839,3.0972233666659577e-07,1.7884193610484544e-06
1840,3.1721049786881395e-07,1.368846113791733e-06
1841,4.494383887276854e-07,1.8170152458196753e-06
1842,3.3340076877053093e-07,1.3906233213845098e-06
1843,3.6681916393277447e-07,1.1057737232533782e-06
1844,3.4029080397957046e-07,1.7442647930465682e-06
1845,2.7510523903373496e-07,1.8721664218901424e-06
1846,3.020922711982621e-07,1.4232292500082622e-06
1847,1.7959434472913927e-07,9.35724301598384e-07
1848,3.0089130426125266e-07,1.152075711274847e-06
1849,2.714930329439369e-07,1.441259378509585e-06
1850,2.6137634723255587e-07,1.3184230027718513e-06
1851,2.986090144041498e-07,2.0315732598419345e-06
1852,2.506559915183004e-07,1.3450786440216689e-06
1853,5.464317762715609e-07,1.6906538888861178e-06
1854,3.299246980059678e-07,1.6465060284076571e-06
1855,3.852836414353078e-07,2.0686440720396604e-06
1856,4.322953017776854e-07,1.1384638831657412e-06
1857,2.489569599362085e-07,1.1725385391514465e-06
1858,3.538127892888099e-07,1.255227928709246e-06
1859,2.1743579647903744e-07,1.2608221169330136e-06
1860,2.2977463753903749e-07,1.6674681191375385e-06
1861,2.6739513536711e-07,1.2129459179277546e-06
1862,2.841813473430932e-07,1.2862706597616125e-06
1863,2.6521436691240297e-07,7.481942247977713e-07
1864,3.135752191241181e-07,1.236080862554445e-06
1865,2.7676244629404323e-07,1.3645141336837696e-06
1866,2.5398499059470225e-07,1.949164570191897e-06
1867,3.663872778503219e-07,2.044489434638308e-06
1868,2.603313529192519e-07,2.0722771694181574e-06
1869,2.1243308623297708e-07,3.0927325980201203e-06
1870,3.3372165253453545e-07,1.705879512314823e-06
1871,2.952687323531933e-07,1.760991189314609e-06
1872,2.3221782186055862e-07,1.4912738777184131e-06
1873,3.89688878499328e-07,2.3399292103931657e-06
1874,3.100822230095446e-07,1.765496982386594e-06
1875,1.922433152667935e-07,1.6495163137619784e-06
