year,vingt - six août
1800,0.0
1801,1.0459931587547544e-08
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,3.114948521343308e-09
1808,4.980296175460808e-09
1809,7.412877423007558e-09
1810,2.5642903356271063e-09
1811,2.7593034523931692e-09
1812,0.0
1813,9.441196269222019e-09
1814,3.4393789372089145e-08
1815,8.869252887677703e-09
1816,7.599422424675595e-09
1817,1.8767359555305063e-08
1818,7.819937586361903e-09
1819,2.2612181016512523e-09
1820,0.0
1821,7.560225334657389e-09
1822,0.0
1823,1.0795871752122821e-08
1824,9.187538507759996e-10
1825,4.805352116221684e-09
1826,0.0
1827,4.024261812674013e-09
1828,1.6036972638744373e-08
1829,9.365493713886508e-09
1830,3.424176275856894e-09
1831,2.0537378020435426e-08
1832,1.4826272431989196e-09
1833,0.0
1834,4.091497363134522e-09
1835,0.0
1836,3.6717449081180575e-09
1837,1.1386481979513974e-08
1838,6.882243108741193e-10
1839,2.3691993700225566e-08
1840,1.113366276950245e-08
1841,1.4741559972719642e-08
1842,0.0
1843,1.1617521167295308e-08
1844,1.436153734823975e-08
1845,1.2200809251794453e-08
1846,1.4735190956294275e-08
1847,8.246839655612348e-09
1848,2.114163955013737e-08
1849,2.2018106782262237e-08
1850,1.0402092964767462e-08
1851,1.1999566673637219e-08
1852,2.1400596295073626e-09
1853,1.4381492441373211e-08
1854,1.5344596926425424e-08
1855,9.308460668933094e-09
1856,2.8355700010251894e-09
1857,3.2098184110651573e-09
1858,4.824888932830618e-09
1859,1.6722780937783455e-09
1860,1.3548551613951076e-08
1861,4.6474594173062655e-09
1862,0.0
1863,1.6447839756850158e-09
1864,3.6746778953045123e-09
1865,2.5798027603052276e-09
1866,2.1357224877505132e-09
1867,2.6616659987155344e-09
1868,2.704955703869416e-09
1869,6.428775067846004e-09
1870,3.14164427805963e-09
1871,0.0
1872,2.6534046071446937e-09
1873,6.560424425927636e-10
1874,3.933098291497572e-09
1875,1.0059152566466167e-08
1876,1.9922493654789264e-09
1877,6.807560071209195e-10
1878,4.652786156356115e-09
1879,2.0161587954703464e-09
1880,2.1200949884558895e-09
1881,0.0
1882,7.327633499976116e-10
1883,6.966609511493971e-10
1884,0.0
1885,1.4204167841924686e-09
1886,1.1378340047940583e-08
1887,1.440524810547572e-09
1888,4.193411839992223e-09
1889,6.91406210062695e-10
1890,3.6144873760690643e-09
1891,0.0
1892,2.7668753954657177e-09
1893,2.037882529393187e-09
1894,5.567047711707573e-09
1895,2.656783015808628e-09
1896,7.154789649632676e-09
1897,5.797657465222983e-09
1898,2.497037021598203e-09
1899,3.66024610620741e-09
1900,4.015203280971491e-09
1901,0.0
1902,1.0814305007045277e-09
1903,5.364893196357912e-09
1904,5.93522675451652e-10
1905,2.8489479664273176e-09
1906,7.945920366125847e-09
1907,5.115320722559602e-09
1908,2.1699457786183984e-09
1909,3.0330327138727853e-09
1910,3.539015080988861e-09
1911,1.1743620298432234e-08
1912,5.7477218540213926e-09
1913,9.361760255899298e-09
1914,6.647934203130035e-09
1915,1.9482145674487583e-08
1916,1.3302696721950724e-08
1917,6.0305116456049745e-09
1918,5.055078577953509e-09
1919,1.2161935458721018e-08
1920,1.6686753090411344e-09
1921,1.6713919137600897e-09
1922,4.071943227046404e-09
1923,4.692565891417644e-09
1924,1.424905637925633e-09
1925,6.092593096695964e-09
1926,8.641992010893773e-09
1927,3.702804063365761e-09
1928,2.5303301676160572e-09
1929,4.937050768205609e-09
1930,3.022706351885063e-08
1931,5.051418394685925e-09
1932,6.064410307260459e-09
1933,2.5375954670892042e-09
1934,1.3274176202671129e-09
1935,0.0
1936,0.0
1937,4.184277369034817e-09
1938,2.8688222908357375e-09
1939,0.0
1940,0.0
1941,0.0
1942,3.3643954289175326e-09
1943,0.0
1944,7.098901022573045e-09
1945,0.0
1946,1.5397358943403106e-09
1947,6.583914080593445e-09
1948,3.609619714239898e-09
1949,6.489645043572523e-09
1950,5.881382048045225e-09
1951,2.359811901442299e-09
1952,1.1680282296921973e-09
