year,es_VERB en_PRON,es_VERB tant_ADV
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,1.1905912700171939e-08
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,9.751696339321825e-09,0.0
1804,0.0,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,4.680253518074551e-09
1811,0.0,5.0141535368197765e-09
1812,0.0,5.3344164641089264e-09
1813,0.0,0.0
1814,0.0,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,4.670620334934483e-09
1818,1.1921177378582115e-09,1.9073883805731384e-08
1819,0.0,1.6561680027393777e-08
1820,0.0,4.746592452420373e-09
1821,0.0,1.97229765852569e-09
1822,0.0,5.012807946513931e-09
1823,0.0,4.941343334508019e-09
1824,0.0,4.210556348027694e-09
1825,0.0,0.0
1826,8.807984341885344e-10,4.403992281964975e-09
1827,0.0,9.217273055917019e-10
1828,0.0,9.172301251858528e-10
1829,0.0,8.57317605795771e-10
1830,0.0,2.0873671680021744e-09
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,5.791814139399776e-09
1834,0.0,0.0
1835,0.0,3.025235173481633e-09
1836,0.0,6.72075017860152e-09
1837,6.957890930081589e-10,1.8090515752078318e-08
1838,6.312161904276081e-10,5.049729523420865e-09
1839,0.0,0.0
1840,1.9109065441114126e-09,1.9109065441114126e-09
1841,6.420548537278137e-10,2.5682194149112547e-09
1842,0.0,1.2074877098200432e-08
1843,0.0,1.7720733769266417e-09
1844,0.0,1.6465684371524958e-09
1845,0.0,5.580227946389016e-10
1846,5.854501328173001e-10,1.7563503984519002e-09
1847,1.6179670936367074e-09,3.235934187273415e-09
1848,8.045221711050488e-10,4.02261068899179e-09
1849,0.0,0.0
1850,2.7155984128057753e-09,2.0366988096043315e-09
1851,0.0,4.514607354622058e-09
1852,1.9531636308300904e-09,0.0
1853,5.971931837933653e-10,1.7915795513800958e-09
1854,0.0,2.5978321716024766e-09
1855,0.0,5.306937111981824e-09
1856,1.0354378465748937e-09,1.5531567143511893e-09
1857,0.0,1.4644527812635033e-09
1858,1.468102750479261e-09,9.787352039936081e-10
1859,1.5276520048956854e-09,5.601390462572908e-09
1860,0.0,4.119465657481669e-09
1861,0.0,1.4147891747029462e-09
1862,0.0,0.0
1863,4.994620828036034e-10,2.4973103585068657e-09
1864,6.233146443435089e-09,1.9178911792039344e-09
