year,vingt - deux août
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,3.475924970075539e-08
1807,9.34484578607453e-09
1808,3.4862072340047234e-08
1809,2.4709592150173876e-09
1810,5.1285806712542126e-09
1811,8.277909913090298e-09
1812,2.920916841731014e-09
1813,0.0
1814,3.439378781777691e-09
1815,0.0
1816,4.306339373982837e-08
1817,1.7061235757509507e-09
1818,3.649304147756993e-08
1819,1.469791810482235e-08
1820,2.589745307091107e-09
1821,0.0
1822,4.385904972536991e-09
1823,5.397936098106015e-09
1824,0.0
1825,3.844281781795189e-09
1826,7.688472969391569e-09
1827,2.0121309063370063e-09
1828,1.0023107899215233e-09
1829,1.3111691732348163e-08
1830,2.282784183904596e-09
1831,0.0
1832,0.0
1833,2.534755960681423e-09
1834,1.0228743407836305e-09
1835,0.0
1836,0.0
1837,1.5181975676625825e-08
1838,9.635140130193065e-09
1839,9.171094550453063e-09
1840,1.0437808395380443e-08
1841,5.615832243677232e-09
1842,7.335207996561621e-10
1843,8.390431460725267e-09
1844,4.7871790975762e-09
1845,1.6471092934011722e-08
1846,1.0250567117342513e-08
1847,4.0645137033834544e-08
1848,1.4094426070698773e-08
1849,1.743100241924367e-08
1850,7.430066562008619e-10
1851,2.823427491804864e-09
1852,1.426706419671575e-09
1853,1.9611126056418016e-09
1854,4.546547138772894e-09
1855,1.047201825254973e-08
1856,7.372482180301176e-09
1857,0.0
1858,1.0721975529648375e-09
1859,5.574260497631656e-10
1860,1.0035964059795788e-08
1861,1.394237791885189e-08
1862,2.9706509474536347e-09
1863,1.6447839756850158e-09
1864,4.724585611626253e-09
1865,9.803250655693319e-09
1866,4.8053755419275035e-09
1867,5.323331997431069e-09
1868,3.78693787439488e-09
1869,5.357312371501166e-10
1870,4.398301722829956e-09
1871,0.0
1872,6.633511517861734e-10
1873,3.936254877601186e-09
1874,0.0
1875,5.029576310988659e-09
1876,7.304914451111699e-09
1877,0.0
1878,5.317469908838746e-09
1879,6.048476164366434e-09
1880,7.066983109815794e-10
1881,7.684392566709164e-10
1882,5.862106966514347e-09
1883,4.1799657068963825e-09
1884,7.274842506177492e-09
1885,6.391875528866109e-09
1886,4.978023770974005e-09
1887,1.8006559354688534e-08
1888,5.591215490596824e-09
1889,2.074218630188085e-09
1890,4.337384673647193e-09
1891,8.432648357370454e-09
1892,1.2450939113062276e-08
1893,8.151530117572747e-09
1894,9.742333162421346e-09
1895,2.656783015808628e-09
1896,6.504354277403479e-10
1897,6.441841504667423e-10
1898,2.4970369660870517e-09
1899,4.270287123908645e-09
1900,2.2944017796788785e-09
1901,3.0836730391392564e-09
1902,5.407152503522639e-09
1903,5.364893196357912e-09
1904,6.52874931894587e-09
1905,5.128106383978093e-09
1906,5.6756569999372175e-09
1907,2.841844759515766e-09
1908,3.7974051680933485e-09
1909,9.09909836366296e-09
1910,4.718686774651815e-09
1911,2.3487241040953677e-09
