year,serez_VERB au_ADP,serez_VERB tôt_ADV
1800,7.860410988769218e-08,6.288328968651058e-09
1801,1.7858869227893592e-07,4.7623651688866175e-09
1802,7.608656460433849e-08,0.0
1803,1.5407680109547073e-07,3.900678446910888e-09
1804,1.1123329102247226e-07,2.4718509461507665e-09
1805,1.051864728651708e-07,0.0
1806,1.556101381083863e-07,0.0
1807,7.686778502602465e-08,3.4163463169534225e-08
1808,4.985362878073829e-08,2.2660739062985158e-08
1809,5.6475762733043666e-08,2.259030518203531e-09
1810,8.190443878675069e-08,2.106114038724627e-08
1811,7.52123057168319e-08,5.0141535368197765e-09
1812,5.601137331723294e-08,0.0
1813,1.2940837734731758e-07,1.1502966579257645e-08
1814,7.552024783308298e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,1.0892738089296472e-07,4.6352077731626196e-09
1817,1.292204956371279e-07,1.556873407970727e-09
1818,1.3590141634267638e-07,0.0
1819,1.1075623262968293e-07,1.035105001712111e-09
1820,1.59010852485153e-07,2.3732962262101864e-09
1821,1.784929395398649e-07,9.86148829262845e-10
1822,1.1529458276982041e-07,2.90742860897808e-08
1823,1.4231069656034379e-07,1.9765373782121287e-09
1824,1.0779024250950897e-07,1.6842225392110777e-09
1825,9.5979331149465e-08,5.283265824829186e-09
1826,9.160303449107232e-08,2.642395191543301e-09
1827,1.0784209791836474e-07,9.217273055917019e-10
1828,9.630916508740484e-08,2.7516904310687096e-09
1829,9.601956918459109e-08,8.57317605795771e-10
1830,8.036363396968227e-08,3.1310507520032616e-09
1831,1.6058942264862708e-07,1.5591206103948707e-09
1832,1.0282776941039629e-07,1.3529969367098715e-09
1833,8.456049016558609e-08,4.6334514003376626e-09
1834,1.3815105148751172e-07,2.8003592777992026e-09
1835,1.194967893525245e-07,7.563087933704082e-10
1836,1.0013917517426307e-07,2.016224964762614e-09
1837,1.5168201628057432e-07,6.262101948095733e-09
1838,9.405120948713375e-08,7.574594285131298e-09
1839,1.0067724076634477e-07,2.0974426639952526e-09
1840,1.0255198645836572e-07,1.9109065441114126e-09
1841,1.1043343306482711e-07,6.420548537278137e-10
1842,7.71450459069456e-08,2.683306021822318e-09
1843,9.923610377882142e-08,5.906911071384968e-10
1844,1.438003067733007e-07,3.841992946007622e-09
1845,1.0714038012338278e-07,5.580227946389016e-10
1846,1.4226438338482694e-07,0.0
1847,7.172987182002544e-08,5.393223645455691e-10
1848,6.757986170669028e-08,0.0
1849,1.1647387054836145e-07,9.217356655710773e-09
1850,6.517436190733861e-08,6.1100964288129944e-09
1851,6.44943867200709e-08,2.579775504329973e-09
1852,8.984552835045179e-08,6.510545436100301e-10
1853,9.077336216023468e-08,4.777545470346922e-09
1854,9.300239156573298e-08,6.234797567117312e-09
1855,9.97704177052583e-08,1.0613874223963649e-09
1856,8.645906035553708e-08,2.5885946719483854e-09
1857,6.150701636897793e-08,2.4407544874094356e-09
1858,1.1353328233099091e-07,5.3830437884982985e-09
1859,7.485494535330872e-08,1.018434669930457e-09
1860,9.749401641556688e-08,9.15436793036406e-09
1861,1.1176834391335433e-07,4.2443675241088386e-09
1862,1.5090074612089666e-07,9.035972525772706e-10
1863,1.0438757414021893e-07,1.4983863039219614e-09
1864,8.678457419364349e-08,2.3973640850272204e-09
1865,1.0260920646487648e-07,7.530950973944073e-09
1866,9.877194173668613e-08,1.4596839292835284e-09
1867,9.220342178650753e-08,2.426405742994575e-09
1868,9.632754682797895e-08,4.93987406535723e-10
1869,8.25314714347769e-08,2.9301114867763545e-09
1870,9.747883211730368e-08,1.7202146374017957e-09
1871,6.585129597169725e-08,0.0
1872,5.865918950576088e-08,6.047339295989218e-10
1873,8.32054638522095e-08,1.1972008939764578e-09
1874,7.05003913026303e-08,5.377148060148329e-09
1875,9.955456903298909e-08,4.005069165202713e-09
1876,1.1789728660005494e-07,1.0882827083946722e-08
1877,8.782438953858218e-08,5.566334504436554e-09
1878,5.737134145533673e-08,1.2078177347163432e-09
1879,7.636656818021947e-08,0.0
1880,8.407378260244514e-08,2.5671385017744797e-09
1881,7.94865897546515e-08,1.3945015142624584e-09
1882,6.988154410692005e-08,1.9966155395678697e-09
1883,7.709593319304986e-08,6.319338941018771e-10
1884,6.073561564789998e-08,2.6406787867472303e-09
1885,8.701608322780885e-08,5.80107206715752e-09
1886,5.6145136539953455e-08,5.162771099520569e-09
1887,5.6801642500659e-08,6.528924623161458e-10
1888,5.896771781976895e-08,0.0
1889,7.079604813498008e-08,6.891650361495749e-09
1890,7.078737240817645e-08,1.9663159989136147e-09
1891,6.629188931128738e-08,5.099376032546843e-09
1892,4.952124754709075e-08,6.8953633913793055e-09
1893,3.695049954899332e-08,3.079208221734575e-09
1894,6.427570298228602e-08,0.0
1895,4.754705429377282e-08,4.814891596538473e-09
1896,7.784078093209246e-08,1.179405795248556e-09
1897,6.118049356018673e-08,5.826713556089658e-10
1898,5.035935757291554e-08,5.6583548957434e-10
1899,6.246163763989898e-08,1.6582735185011188e-09
1900,4.879590065343109e-08,4.15284251431558e-09
1901,5.085752263767063e-08,5.588738916095792e-10
1902,4.2228439411928775e-08,9.820567692386817e-10
1903,3.888158772724637e-08,2.1600881083827517e-09
1904,4.5146851590516235e-08,1.0749250378694342e-09
1905,6.605771574186292e-08,4.64468330463319e-09
1906,5.452835694086389e-08,1.0288369045596824e-09
1907,6.222840198688573e-08,1.028568674676933e-09
1908,5.451641982290312e-08,9.822778146428846e-10
1909,5.886052534265218e-08,2.7504918342913243e-09
1910,4.008112952647025e-08,1.6032452032632705e-09
1911,5.2671705219609066e-08,5.320374141248863e-10
1912,5.782457535019603e-08,2.0837684910901544e-09
1913,6.151468312509678e-08,6.893886794756554e-09
1914,4.68772043404897e-08,6.696743715117748e-10
1915,2.9451904026700504e-08,0.0
1916,6.702352095544484e-08,0.0
1917,3.838248474608008e-08,3.289927441585405e-09
1918,2.2972752589112133e-08,1.1486376294556067e-09
1919,4.9722380879302364e-08,9.207848372660976e-10
1920,5.6034515694136644e-08,7.572231730534895e-10
1921,5.9067428281878165e-08,9.087297137000405e-09
1922,6.64014194740048e-08,2.951174193910333e-09
1923,6.688047449188161e-08,2.1231896241147297e-09
1924,9.024137170854374e-08,1.289162443462999e-09
1925,1.0448268739082778e-07,0.0
1926,7.356451448004009e-08,0.0
1927,7.358488574027433e-08,0.0
1928,4.570416578530967e-08,2.2852082448565625e-09
1929,6.350031611646045e-08,6.684243825105796e-09
1930,3.571225093423891e-08,1.0503603542488804e-09
1931,5.2464642408267537e-08,1.1405356659111021e-09
1932,6.13734059129456e-08,2.1919073223131136e-09
1933,6.079451253526713e-08,2.2941324395731044e-09
1934,6.470052937856963e-08,0.0
1935,4.787313656606784e-08,0.0
1936,6.911087524485993e-08,3.6374143697059935e-09
1937,5.5400921183945684e-08,5.0364472592434595e-09
1938,3.630260181353151e-08,2.5930428915188486e-09
1939,5.6587985852729616e-08,0.0
1940,5.5787225505810056e-08,2.5357829169792012e-09
1941,5.017554371988808e-08,0.0
1942,4.5513175450651033e-08,3.034211770724937e-09
1943,7.83873517207212e-08,5.806470415592457e-09
1944,8.996921252446555e-08,3.2131861615880553e-09
1945,5.8819608739213436e-08,4.357008087652048e-09
1946,8.213451252458981e-08,1.3921104269343232e-09
1947,7.748565877818692e-08,2.3841741914054637e-09
1948,5.6533817627268945e-08,1.0871887834440486e-09
1949,7.853606831531579e-08,9.817008317369869e-10
1950,6.912984673590472e-08,4.2541445921528975e-09
1951,7.782823274737893e-08,0.0
1952,5.377849987553418e-08,4.2179215675730575e-09
1953,5.8178667217134716e-08,1.0773827385790469e-09
1954,6.645324646115114e-08,0.0
1955,5.819076775992471e-08,2.815682353940474e-09
1956,7.412970148834575e-08,1.744228317335228e-09
1957,5.03597163969971e-08,4.417518795207798e-09
1958,7.114129374485856e-08,1.6544486891589827e-09
1959,7.673240531858028e-08,7.750747821333448e-10
1960,5.6750835142338474e-08,3.460416619915918e-09
1961,7.642974964028326e-08,6.948159270159238e-10
1962,7.737186535905494e-08,1.9025869768540815e-09
1963,5.302163685882988e-08,1.2932106496776896e-09
1964,6.509846173230471e-08,1.2167936658258327e-09
1965,5.034279837445865e-08,2.73602163147757e-09
1966,6.646889971761993e-08,0.0
1967,6.360132687177611e-08,3.451234853457663e-09
1968,5.075299824852664e-08,3.5931326802796093e-09
1969,5.7226149152711514e-08,0.0
1970,4.690699384468644e-08,9.197450023812337e-10
1971,4.8300936583700604e-08,5.138397485282553e-10
1972,5.4379555081141007e-08,1.5390440033513642e-09
1973,5.402939606824475e-08,0.0
1974,2.925297337696975e-08,1.1251143350321513e-09
1975,4.3407247574123176e-08,5.711480177694739e-10
1976,3.713792295911844e-08,1.142705374768127e-09
1977,5.641710743020667e-08,2.938390863960194e-09
1978,5.8217796805593025e-08,2.3762365408686037e-09
1979,4.447499790671827e-08,1.7555920051037788e-09
1980,4.60497204812782e-08,1.7055452605774235e-09
1981,4.491140259688109e-08,6.325549528618524e-10
1982,4.407326770206055e-08,1.8622506869903077e-09
1983,4.862793190341108e-08,1.89459470334441e-09
1984,4.291266364475632e-08,1.739702604197646e-09
1985,4.090579608373446e-08,6.015558051686298e-10
1986,3.2969669661042644e-08,1.1988970927134801e-09
1987,4.522004459772688e-08,6.110816852533674e-10
1988,4.61734650514245e-08,1.798966087207532e-09
1989,4.280735410588932e-08,0.0
1990,3.596109721115681e-08,1.6345953479657283e-09
1991,4.278869525364826e-08,0.0
1992,3.856960972825618e-08,2.7549720282848966e-09
1993,3.545092752688106e-08,1.1078414852150331e-09
1994,3.270454485004848e-08,1.0549853213248639e-09
1995,3.199246023655178e-08,2.1689803286761844e-09
1996,3.096093337262573e-08,1.067618438099771e-09
1997,3.5482219828963935e-08,0.0
1998,3.480734278582531e-08,4.291316191284977e-09
1999,4.20458512451205e-08,2.285100553223174e-09
2000,4.1971297548570874e-08,0.0
2001,5.5641390162008975e-08,4.3812117822561447e-10
2002,3.417352800738627e-08,4.38122149670761e-10
2003,3.875238263617575e-08,0.0
2004,3.171449591832243e-08,1.3214374039449694e-09
2005,4.2785622156316094e-08,1.8014998381943315e-09
2006,5.270899094966808e-08,4.117890028965121e-09
2007,7.110173783075879e-08,7.988958938831558e-10
2008,5.875266850807748e-08,2.554463751636149e-09
2009,7.247652433761687e-08,1.430457752249481e-09
2010,8.833492870508053e-08,2.3618964561933353e-09
2011,1.701667571296639e-07,5.7359579308524644e-09
2012,1.8757432940219587e-07,2.7234021704458655e-09
2013,1.4698689199121873e-07,3.904775169871755e-09
2014,1.6305801864291425e-07,3.681256854903836e-09
2015,1.7510946292986773e-07,2.438232948875907e-09
2016,1.7357830017772358e-07,3.314144070287739e-09
2017,1.433898404457068e-07,2.7671724911471074e-09
2018,1.6650460565870162e-07,2.0651733656507076e-09
2019,1.6887538833998406e-07,2.2958890344426663e-09
