year,mais_CONJ elles_PRON,mais_CONJ telle_DET
1800,2.2402171111934877e-05,3.898764049381498e-07
1801,1.803031500458019e-05,4.690929671369304e-07
1802,2.0223361843818566e-05,3.4462738085494493e-07
1803,2.5409019940525468e-05,3.335079981070521e-07
1804,2.0733885605750402e-05,4.2515835474432606e-07
1805,1.896767957987322e-05,4.207459056715379e-07
1806,1.8759665465495345e-05,2.478235359149039e-07
1807,1.9276733723927464e-05,3.8718589223663e-07
1808,1.9275224588000128e-05,3.0365391978648404e-07
1809,2.0778562657142174e-05,2.891559134354793e-07
1810,1.8447218621986394e-05,2.527336846469552e-07
1811,1.7479338850989734e-05,2.9583505067876104e-07
1812,1.7318182187864295e-05,2.987273148846725e-07
1813,1.883610798358859e-05,5.147577581965379e-07
1814,1.733819146920723e-05,3.618678761085903e-07
1815,1.7793583651837253e-05,3.45244615118645e-07
1816,2.109483045842353e-05,2.3407798721564177e-07
1817,1.935504934635901e-05,3.3939841159735806e-07
1818,1.800932238893438e-05,3.027979005310044e-07
1819,1.6631032110581145e-05,2.8051346134816413e-07
1820,1.5855992216984305e-05,3.346347767774205e-07
1821,1.572019857576379e-05,3.8361190490832087e-07
1822,1.548356112834881e-05,2.747018754689634e-07
1823,1.5179806666765217e-05,3.201990494972051e-07
1824,1.4203890884800785e-05,3.991607329112412e-07
1825,1.592552439433348e-05,3.707091451587985e-07
1826,1.533822364763182e-05,3.4967697359888916e-07
1827,1.4866539913782617e-05,3.548650227003236e-07
1828,1.6840344471802382e-05,2.971825523445659e-07
1829,1.5910100501059787e-05,4.106551401150682e-07
1830,1.5775277063312387e-05,3.77813449858877e-07
1831,1.4796054415455728e-05,3.5236126905147103e-07
1832,1.5516168843987543e-05,3.0983630239234117e-07
1833,1.6938739690885996e-05,3.741511989119317e-07
1834,1.546078362935077e-05,3.267085801894609e-07
1835,1.54097913878104e-05,3.751291615117225e-07
1836,1.5112278617834818e-05,3.488069211243783e-07
1837,1.6155526395777997e-05,3.8685874415023136e-07
1838,1.4801388829255302e-05,3.818857905457662e-07
1839,1.530713581132659e-05,4.173910639337919e-07
1840,1.4773218708796776e-05,4.286800390218559e-07
1841,1.5253297021899925e-05,4.674159299611347e-07
1842,1.4625359824549378e-05,4.876908548112624e-07
1843,1.5098655694600893e-05,4.117116958468614e-07
1844,1.4923398168775748e-05,4.330474894231884e-07
1845,1.490590477715159e-05,4.832477458194262e-07
1846,1.5467592106688244e-05,4.0571694626123644e-07
1847,1.4210605002062948e-05,4.934799591183037e-07
1848,1.4627822565671522e-05,3.660575913499997e-07
1849,1.4104231070177775e-05,4.34053703202153e-07
1850,1.4376378430824843e-05,4.555416381890609e-07
1851,1.4391277318281936e-05,3.5471913406581734e-07
1852,1.4799771975049225e-05,4.7331666053196386e-07
1853,1.5270229937414115e-05,4.62227518482905e-07
1854,1.4686584620449139e-05,4.063009697574671e-07
1855,1.4672088980205444e-05,4.510896474130277e-07
1856,1.4292148989625275e-05,4.260826784729943e-07
1857,1.4523953836942383e-05,3.988192815995717e-07
1858,1.433847103271546e-05,3.914940833738001e-07
1859,1.493992726864235e-05,4.4658358433480316e-07
1860,1.46703317795982e-05,3.8951834824274556e-07
1861,1.4337473203340778e-05,4.183059729712113e-07
1862,1.3912686881667469e-05,3.9306480914547137e-07
1863,1.327220587654665e-05,3.9657290074046614e-07
1864,1.4613851590183913e-05,3.749477315295735e-07
1865,1.4527204371006519e-05,3.6713386464271025e-07
1866,1.3929276633461996e-05,4.18442709815281e-07
1867,1.4215340684131661e-05,3.9550413077904523e-07
1868,1.4787018585593614e-05,3.951899145704374e-07
1869,1.4701346231049683e-05,3.9361165704576706e-07
1870,1.4927449456081376e-05,3.967961674788967e-07
1871,1.3941357337898808e-05,3.462503741502587e-07
1872,1.4445279020947055e-05,4.5294572714738024e-07
1873,1.5245754866555217e-05,4.076468940183986e-07
1874,1.4513520227410481e-05,3.029126816045391e-07
1875,1.3976546142657753e-05,4.4341834382066736e-07
1876,1.5257723021022684e-05,4.147566130541236e-07
1877,1.4525658684760856e-05,3.234658834116999e-07
1878,1.3930365867054206e-05,3.538905986033569e-07
1879,1.4045338616597292e-05,3.7205791159067303e-07
