year,diverses_ADJ humeurs_NOUN,diverses_ADJ tumeurs_NOUN
1800,1.540640539587912e-07,0.0
1801,1.04772034603684e-07,1.1191557902634486e-07
1802,8.951360541686881e-08,2.6854081625060644e-08
1803,2.281896911426884e-07,4.290746247193056e-08
1804,2.2988213288499537e-07,1.2359254952798437e-08
1805,1.904728037516179e-07,5.685755510853596e-08
1806,1.4696512096179504e-07,1.152667650217154e-08
1807,1.0249038240317532e-07,8.540865792383556e-09
1808,1.4729481279118772e-07,2.2660739951163578e-08
1809,4.292158095609011e-08,6.7770917766551975e-09
1810,1.2168659679900884e-07,4.680253340438867e-08
1811,1.2033968488367464e-07,5.0141535368197765e-09
1812,1.4936365744233626e-07,1.707013197460583e-07
1813,1.3803560250380542e-07,7.189354001013726e-08
1814,5.349351095418342e-08,9.440030979135372e-09
1815,2.751168146630789e-07,6.203614311139916e-08
1816,1.969963250303408e-07,4.1716869958463576e-08
1817,1.3544799060127843e-07,7.005930058312515e-08
1818,2.8253191430849256e-07,5.364529775953031e-08
1819,9.212434726180163e-08,6.210630232317271e-08
1820,2.942887231682789e-07,1.3053129244156025e-08
1821,1.291855014073917e-07,1.1636555941052507e-07
1822,1.6341753905635414e-07,3.107940926838637e-08
1823,1.0673301886754416e-07,1.8777104315859106e-08
1824,1.4484314192486636e-07,3.8737120178211626e-08
1825,6.251864448358901e-08,4.050503643604486e-08
1826,4.051672775062798e-08,4.7563114780047044e-08
1827,4.424290978022327e-08,2.0278000334439383e-08
1828,3.5771975603893225e-08,2.4765213879618386e-08
1829,5.572564276690173e-08,3.6007340942223465e-08
1830,7.097048637660919e-08,9.60188888399216e-08
1831,9.822460089736751e-08,5.14509785887185e-08
1832,5.141388470519814e-08,2.1647950543268735e-08
1833,5.21263281427764e-08,6.834340493533375e-08
1834,7.747660646373333e-08,3.827157701863371e-08
1835,6.277362984974388e-08,4.386591001548368e-08
1836,7.997692924588407e-08,5.847052397811581e-08
1837,1.0923888438263418e-07,4.870523617750422e-08
1838,7.385229139345029e-08,2.5248646728925905e-08
1839,3.985140750728533e-08,3.5656523067473245e-08
1840,2.6115722917552375e-08,5.159447907798764e-08
1841,6.035315447405765e-08,7.768863596879783e-08
