year,mêmes_ADJ erreurs_NOUN,mêmes_ADJ terreurs_NOUN
1800,2.641098149069876e-07,4.4018303668735825e-08
1801,3.166972817325586e-07,1.4287095950749062e-08
1802,3.60292261802897e-07,1.1189200677108602e-08
1803,2.632957887271914e-07,1.950339223455444e-09
1804,2.397695482159179e-07,4.449331569844617e-08
1805,3.8378848898901197e-07,1.7057265822018053e-08
1806,3.227469278499484e-07,1.4408345627714425e-08
1807,2.2490945639219717e-07,1.4234775136401367e-08
1808,2.4246992325061e-07,6.798221985349073e-09
1809,2.2364402241237258e-07,4.518061036407062e-09
1810,4.446240779998334e-07,4.680253518074551e-09
1811,3.209058263564657e-07,2.5070767684098882e-09
1812,2.453831484672264e-07,1.0668832928217853e-08
1813,2.645682286583906e-07,2.5881675469463516e-08
1814,2.8949429520253034e-07,2.2026739543434815e-08
1815,3.317584855722089e-07,1.8880564667256294e-08
1816,2.64206846622983e-07,2.7811246638975717e-08
1817,4.1257146676798584e-07,2.6466848268569265e-08
1818,4.172412104708201e-07,1.668964877410417e-08
1819,2.639517617808451e-07,4.5544620519422097e-08
1820,3.4531458936726267e-07,8.306536791735653e-09
1821,3.274014090948185e-07,3.0570614484304315e-08
1822,3.1380176324091735e-07,2.8071724500478012e-08
1823,2.6880908876592e-07,9.882686669016039e-09
1824,2.2147526124172146e-07,1.8526447931321854e-08
1825,3.7775350847368827e-07,2.993850500843109e-08
1826,3.6200816566633875e-07,2.1139161532346407e-08
1827,2.636139981859742e-07,4.7008093417844066e-08
1828,3.2378224545936973e-07,2.5682442839070063e-08
1829,2.8891602710245934e-07,1.7146351893870815e-08
1830,3.026682406925829e-07,8.349468672008697e-09
1831,4.4434938217818853e-07,1.7150327380477393e-08
1832,1.6912461830997927e-07,5.817886972181441e-08
1833,1.586957125709887e-07,2.20088942626262e-08
1834,2.6323377255721425e-07,3.267085801894609e-08
1835,2.662206952663837e-07,3.2521278114927554e-08
1836,2.143919317632026e-07,2.419469957715137e-08
1837,2.4352618765988154e-07,2.922314124020886e-08
1838,2.2471296290405007e-07,2.840472923537618e-08
1839,2.4959567213045375e-07,1.8177836125232716e-08
1840,2.8854688594037725e-07,3.567025785855549e-08
1841,3.171751075115026e-07,2.5040138851295524e-08
1842,2.790638404803758e-07,2.0795621225033756e-08
1843,2.8707589194709726e-07,3.721353891705803e-08
1844,3.0022431474208133e-07,2.25031016043431e-08
1845,2.9128790401955484e-07,2.1204865419122143e-08
1846,2.628671040838526e-07,2.4588905134237393e-08
1847,3.203574863164249e-07,3.55952778363644e-08
1848,2.8721441935886105e-07,2.574470947536156e-08
1849,3.4355602451796585e-07,5.279031256577582e-08
1850,2.797066258608538e-07,2.1724787302446202e-08
1851,3.714876584126614e-07,1.805842941848823e-08
1852,3.691479264489317e-07,8.463708844885787e-09
1853,2.7411167025093164e-07,7.763511611358354e-09
1854,2.176983429080792e-07,1.2989160858012383e-08
1855,2.8710530841635773e-07,3.02495415382964e-08
1856,2.334912352353058e-07,1.863788057221427e-08
1857,2.2259681031755463e-07,1.0739319655783675e-08
1858,3.0047169730096357e-07,2.2510910469009104e-08
1859,2.795603109007061e-07,1.782260738991681e-08
1860,1.9315716315304599e-07,2.1512764902809067e-08
1861,2.4287211886075966e-07,2.782418562219391e-08
1862,1.8207484231425042e-07,2.891511208247266e-08
1863,2.582218883162568e-07,1.897955925755923e-08
1864,3.078215229379566e-07,1.1986819536957682e-08
1865,2.6876080028159777e-07,1.1767110841276462e-08
1866,1.73702375150242e-07,1.3623716377253459e-08
1867,1.8586267458431394e-07,1.9896527092555516e-08
1868,2.766329600945028e-07,1.6301584082611953e-08
1869,2.6322169333070633e-07,1.904572499711321e-08
1870,2.2133428956294665e-07,1.6055336615750093e-08
1871,2.3685225869485294e-07,2.0180236148803488e-08
1872,1.9835272269119741e-07,1.269941218851045e-08
1873,1.8436894322348962e-07,2.095101514498765e-08
1874,1.905900290921636e-07,2.1508592240593316e-08
1875,2.0254205423952953e-07,3.3757011408397375e-08
1876,1.7352061831843457e-07,5.441413541973361e-09
1877,1.5523887952895166e-07,7.421779191219002e-09
1878,1.6486711729157832e-07,1.0870359723469392e-08
1879,1.979421426767658e-07,2.1993571408529533e-08
1880,1.9510252968757413e-07,1.1552122813895949e-08
1881,1.5269792186245468e-07,2.5101027034679646e-08
1882,1.5240831885421358e-07,2.2628309892525067e-08
1883,1.2891450751340017e-07,1.7694148368718743e-08
1884,1.868280179451176e-07,5.941527270181268e-09
1885,1.1602143956679356e-07,2.0626034213933053e-08
1886,1.8392371714526234e-07,1.0325542199041138e-08
1887,1.5604129544044554e-07,1.1752064210668323e-08
1888,1.5027256949906587e-07,2.3460273723685532e-08
1889,2.098820743867691e-07,1.8795409673089125e-08
1890,1.8286738168171723e-07,2.0974036729626278e-08
1891,1.338586201882208e-07,1.6572972327821844e-08
1892,1.1534062593909766e-07,9.402768341715273e-09
1893,1.4349110699640732e-07,1.4164357686752282e-08
1894,1.4619571686580457e-07,1.5123694296903523e-08
1895,1.3842813473274873e-07,1.0833506536300774e-08
1896,1.7691087350613088e-07,1.592197840238896e-08
1897,1.3809311383283784e-07,4.661370844871726e-09
1898,1.7767234794519027e-07,5.092519295146758e-09
1899,1.5753597892853577e-07,9.949641111006713e-09
1900,1.8168685755881597e-07,1.7130474816440255e-08
1901,1.274232488412963e-07,1.676621685930968e-08
1902,1.1293652590893544e-07,8.347482705062248e-09
1903,1.5498632421895309e-07,1.5660639007819555e-08
1904,1.5586412871471111e-07,4.837162670412454e-09
1905,1.656603672017809e-07,8.773290538499623e-09
1906,1.2757577394495456e-07,3.240836221607424e-08
1907,1.7485668024619372e-07,9.771402353919711e-09
1908,1.9301758413803327e-07,1.4734167663732478e-08
1909,1.512770495537552e-07,9.901770070541716e-09
1910,1.3841349755239207e-07,4.275320542035388e-09
1911,1.5269473863099847e-07,1.0640748726586935e-08
1912,1.7451560552217416e-07,8.335073964360618e-09
1913,2.0628630181818153e-07,1.2727175757731857e-08
1914,1.727759837422127e-07,1.808120764223986e-08
1915,1.8377988908468978e-07,5.890381071793627e-09
1916,2.582053468813683e-07,9.888715624128963e-09
1917,2.4126134690050094e-07,1.0966424435210342e-09
1918,1.4472834664047696e-07,5.743188147278033e-09
1919,1.9888952351720945e-07,4.603924352863942e-09
