year,vingt - trois août
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,2.8100116011842147e-08
1806,2.211952221387037e-08
1807,0.0
1808,0.0
1809,0.0
1810,2.5642903356271063e-09
1811,0.0
1812,0.0
1813,0.0
1814,2.063627335679996e-08
1815,2.9564175552110328e-09
1816,1.0132563232900793e-08
1817,1.8767359222238156e-08
1818,1.0426583152423063e-08
1819,1.9220353308924132e-08
1820,0.0
1821,1.1880353589788228e-08
1822,8.771809945073983e-09
1823,4.31834878966697e-09
1824,1.8375077015519992e-09
1825,6.727493340186186e-09
1826,4.805295716892033e-09
1827,0.0
1828,2.0046215798430467e-09
1829,3.746197574372445e-09
1830,7.98974486571069e-09
1831,3.422896410754106e-09
1832,4.447881618574456e-09
1833,6.336889901703557e-09
1834,6.137246266746388e-09
1835,3.319842178939325e-09
1836,8.81218742421197e-09
1837,9.868284411851391e-09
1838,2.752897243496477e-09
1839,1.5285157584088438e-09
1840,2.0875616790760887e-09
1841,7.721769446078497e-09
1842,2.2005623989684864e-09
1843,3.227089262480831e-09
1844,2.9919868804739735e-09
1845,5.490364163307504e-09
1846,1.0250567505920571e-08
1847,1.884991895906296e-08
1848,7.047213090860538e-09
1849,7.339369112457916e-09
1850,1.4860133124017239e-09
1851,1.411713745902432e-09
1852,7.133532098357875e-10
1853,1.9611126056418016e-09
1854,1.7049551770398352e-09
1855,4.072451431635926e-09
1856,7.939596535777582e-09
1857,0.0
1858,3.752691490888083e-09
1859,0.0
1860,7.025175108310577e-09
1861,1.704068530727909e-08
1862,2.475542437707645e-09
1863,2.7413067371639954e-09
1864,5.774493772037204e-09
1865,1.1351132478409909e-08
1866,4.2714449755010264e-09
1867,1.0646663994862138e-08
1868,4.327929015168763e-09
1869,2.1429249486004665e-09
1870,1.256657666814931e-09
1871,2.3329851384090716e-09
1872,3.980106910717041e-09
1873,6.560424425927636e-10
1874,1.3110328378473923e-09
1875,5.029576310988659e-09
1876,1.3281662436526176e-09
1877,4.765292160868739e-09
1878,1.329367504965262e-09
1879,6.720529022175015e-09
1880,1.6254061208087478e-08
1881,2.305317714501598e-09
1882,7.327633610998419e-09
1883,1.3933219022987942e-09
1884,0.0
1885,2.8408335683849373e-09
1886,4.2668775179777185e-09
1887,0.0
1888,2.795607745298412e-09
1889,1.38281242012539e-09
1890,2.1686923368235966e-09
1891,1.4054414299025098e-09
1892,3.4585942998432984e-09
1893,2.7171767058575824e-09
1894,2.7835238558537867e-09
1895,1.99258720634532e-09
1896,4.553048160715889e-09
1897,5.153473203733938e-09
1898,4.369814732285704e-09
1899,9.76065628321976e-09
1900,1.0324807675488046e-08
1901,3.0836730946504076e-09
1902,2.1628610014090555e-09
1903,4.768793804288407e-09
1904,1.1276930500514482e-08
1905,3.418737737348465e-09
1906,1.248644543316857e-08
1907,1.3072486315657272e-08
1908,9.22226939259474e-09
1909,8.492491598843799e-09
1910,1.0027209285112804e-08
