year,telles_ADJ erreurs_NOUN,telles_ADJ terreurs_NOUN
1800,3.144164395507687e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,6.265952379180817e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,7.168367943677367e-08,0.0
1805,9.665784261869703e-08,0.0
1806,5.76333825108577e-08,0.0
1807,4.27043254092041e-08,0.0
1808,5.6651849433819734e-08,1.3596443970698147e-08
1809,3.388545621874073e-08,0.0
1810,3.7442028144596406e-08,0.0
1811,5.515568801683912e-08,0.0
1812,2.400487453257938e-08,1.600324850414836e-08
1813,1.0352670187785407e-07,0.0
1814,2.2026739543434815e-08,0.0
1815,1.0519171667056071e-07,0.0
1816,6.025770460382773e-08,0.0
1817,9.029865566390072e-08,0.0
1818,1.1205906957911793e-07,0.0
1819,1.0454560595007933e-07,1.035105001712111e-09
1820,6.882559233645225e-08,1.1866481131050932e-09
1821,5.1279737789400315e-08,1.97229765852569e-09
1822,5.012807946513931e-08,0.0
1823,4.348382276475604e-08,1.9765373782121287e-09
1824,5.9789897477458e-08,0.0
1825,7.04435478837695e-08,0.0
1826,5.9013494535520294e-08,0.0
1827,1.640674582858992e-07,0.0
1828,4.953042775923677e-08,0.0
1829,6.944272712416932e-08,6.001223074036943e-09
1830,6.366470017837855e-08,2.0873671680021744e-09
1831,9.510635834431014e-08,0.0
1832,8.659180394943178e-08,1.3529969367098715e-09
1833,7.41352224054026e-08,0.0
1834,7.841006066655609e-08,3.733812370398937e-09
1835,3.781543966852041e-08,7.563087933704082e-10
1836,8.333729795140243e-08,1.3441500135158435e-09
1837,7.305785487687899e-08,1.3915781860163179e-09
1838,9.973215497893761e-08,3.1560809521380406e-09
1839,4.754203075663099e-08,2.0974426639952526e-09
1840,8.407989326997267e-08,2.5478754661634184e-09
1841,7.897274656443187e-08,3.2102742686390684e-09
1842,6.708265232191479e-08,4.024959032733477e-09
1843,9.923610377882142e-08,1.1813822142769936e-09
1844,7.135129465041246e-08,2.7442805805577564e-09
1845,8.537748641401777e-08,5.580227946389016e-10
1846,1.2235908286584163e-07,7.025401593807601e-09
