year,leurs_DET oies_NOUN,leurs_DET toits_NOUN
1800,6.288328968651058e-09,4.904896813151538e-07
1801,0.0,1.8096987908222673e-07
1802,2.2378401354217203e-09,1.7007585029205075e-07
1803,2.3404069793286908e-08,3.0035224796165494e-07
1804,4.943701892301533e-09,4.6223613736628977e-07
1805,5.685755422035754e-09,3.2408805239469984e-07
1806,0.0,1.7866348045458835e-07
1807,2.8469551160981155e-09,2.8184856404323e-07
1808,2.2660739951163578e-09,3.4897540190925724e-07
1809,3.6144488291256494e-08,2.801197922508436e-07
1810,1.1700633351097167e-08,3.884610357829388e-07
1811,0.0,2.4318644165077785e-07
1812,5.3344164641089264e-09,2.933929081905262e-07
1813,8.627225156487839e-09,2.501895242090768e-07
1814,0.0,3.7130791596950985e-07
1815,0.0,2.265667742307187e-07
1816,0.0,1.5759707139295642e-07
1817,1.556873407970727e-09,2.304172648237568e-07
1818,2.384235386898581e-08,3.302166264873563e-07
1819,0.0,2.463549924058839e-07
1820,3.322614716694261e-08,3.0378191695490386e-07
1821,1.2819934447350079e-08,2.0906354780692027e-07
1822,2.0051231786055723e-09,2.095353721642823e-07
1823,8.894418535021487e-09,2.2532526466889635e-07
1824,1.431589158329416e-08,3.4189717545984877e-07
1825,7.924898959288385e-09,3.416511891174423e-07
1826,3.5231937367541377e-09,2.0522604016193213e-07
1827,1.3825909306319772e-08,2.1660591142946828e-07
1828,1.4675682002973645e-08,1.9445278565122237e-07
1829,3.3435387791769244e-08,1.8518060135308545e-07
1830,2.0873671680021744e-09,1.9934356920714436e-07
1831,1.5591206103948707e-09,3.055876369728594e-07
1832,5.411987746839486e-09,1.9483155977439992e-07
1833,3.4750886612755494e-09,3.718344654402017e-07
1834,5.600718555598405e-09,3.78981942716905e-07
1835,0.0,3.6075928733225737e-07
1836,3.36037508930076e-09,2.3455417785811505e-07
1837,5.5663127440652715e-09,2.3169777474407738e-07
1838,1.3886756633496589e-08,2.436494526136812e-07
1839,9.788065469251706e-09,2.467990762866634e-07
1840,0.0,2.293087888460832e-07
1841,3.852329122366882e-09,3.1781714682210804e-07
1842,0.0,2.649764558881884e-07
1843,1.7720733769266417e-09,2.120581142350808e-07
1844,5.488561272137815e-10,1.9703935638659686e-07
1845,6.138250796539069e-09,2.4497200623585513e-07
1846,5.269050973311096e-09,1.7329323598325175e-07
1847,8.089835468183537e-09,2.3029065499002854e-07
1848,2.172209789819135e-08,2.0434863556850758e-07
1849,0.0,1.9691624686402065e-07
1850,6.788996032014438e-10,2.41688258739714e-07
1851,7.739326512989919e-09,3.0183373844749894e-07
1852,2.278690836021724e-08,1.862015941433981e-07
1853,1.0749477752369785e-08,2.0662884736566411e-07
1854,6.754363734984281e-09,1.8704392568125172e-07
1855,4.2455496895854594e-09,1.7672100582899475e-07
1856,3.6240324075009767e-09,1.459967353678593e-07
1857,3.905207268672939e-09,2.1429824226260052e-07
1858,7.34051397444091e-09,1.840022167964861e-07
1859,2.036869339860914e-09,2.540994592514778e-07
